D_TEMPORAL_0;D_EPD_TAMANOEMPRESA_0;D_CNAE09_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008;38434;6949;3143;Total de empresas;377729.3639577;A
2009;38434;6949;3143;Total de empresas;358026.72402162;A
2010;38434;6949;3143;Total de empresas;342447.14233431;A
2011;38434;6949;3143;Total de empresas;340286.2271719;A
2012;38434;6949;3143;Total de empresas;335844.3245715;A
2013;38434;6949;3143;Total de empresas;316329.0;A
2014;38434;6949;3143;Total de empresas;314950.939687;A
2015;38434;6949;3143;Total de empresas;318709.237591;A
2016;38434;6949;3143;Total de empresas;339309.1756398;A
2017;38434;6949;3143;Total de empresas;344912.1894922;A
2018;38434;6949;3143;Total de empresas;345029.411674;A
2019;38434;6949;3143;Total de empresas;356425.5627139;A
2020;38434;6949;3143;Total de empresas;366614.024853;A
2008;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;1.547309508390381;A
2009;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;1.7527812722217488;A
2010;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;3.0655407647559194;A
2011;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;2.881008316139562;A
2012;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;2.5723679651941707;A
2013;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;3.1821299975658253;A
2014;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;3.508697480624196;A
2015;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;4.779674418834659;A
2016;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;4.9799627570749285;A
2017;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;4.28445409202744;A
2018;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;6.991111571175569;A
2019;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;9.133808482370785;A
2020;38434;6949;3143;% de empresas que han realizado ventas por comercio electrónico;7.164399783541196;A
2008;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;9.477208701627141;A
2009;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;7.86090439181866;A
2010;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;11.485340117250377;A
2011;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;11.880332099006086;A
2012;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;7.869869742840642;A
2013;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;6.750882783431174;A
2014;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;11.15232592600193;A
2015;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;16.385745868532904;A
2016;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;17.398208468364068;A
2017;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;19.975384692618434;A
2018;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;15.692417311037033;A
2019;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;15.804461866478576;A
2020;38434;6949;3143;% de empresas que han realizado compras por comercio electrónico;16.31274740648008;A
