TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2009;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;63.69458808844558;A
2010;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;60.809775033426305;A
2011;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;65.56154440533226;A
2012;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;67.24693272567703;A
2013;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;69.97067370417984;A
2014;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;67.5951184493898;A
2015;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;75.30105207988656;A
2016;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;72.31466077709582;A
2017;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;71.6532919018362;A
2018;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;79.64318895908787;A
2019;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;74.09294619791515;A
2020;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;83.17726912333451;A
2021;6949;ES61;38434;PCT_EMPR_QUE_DISP_ORDE;82.22174588488969;A
2009;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;20.077142907110694;A
2010;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;20.076133631000666;A
2011;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;24.103542273867028;A
2012;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;22.90589968325598;A
2013;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;20.581094416257773;A
2014;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;17.462155497986828;A
2015;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_LAN;28.4953909522831;A
2009;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;9.168705979319778;A
2010;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;9.522052280440494;A
2011;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;12.952354551143832;A
2012;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;13.34523405782132;A
2013;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;14.895904464734;A
2014;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;14.32223227940947;A
2015;6949;ES61;38434;PCT_EMPR_QUE_DISP_RED_AREA_LOCA_SIN_HILO;22.49546405815166;A
2009;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;65.86996766425148;A
2010;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;65.24985871177513;A
2011;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;68.89938598496538;A
2012;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;65.34005014549045;A
2013;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;73.97661126230491;A
2014;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;79.11139548675052;A
2015;6949;ES61;38434;PCT_EMPR_QUE_DISP_TELE_MOVI;75.93614319537517;A
2009;6949;ES61;38434;PCT_EMPR_QUE_DISP_OTRA_TECN_GPS_TPV_ETC;17.127728280491368;A
2010;6949;ES61;38434;PCT_EMPR_QUE_DISP_OTRA_TECN_GPS_TPV_ETC;12.917651202901478;A
2011;6949;ES61;38434;PCT_EMPR_QUE_DISP_OTRA_TECN_GPS_TPV_ETC;15.43263659379793;A
2012;6949;ES61;38434;PCT_EMPR_QUE_DISP_OTRA_TECN_GPS_TPV_ETC;19.14125713125614;A
2013;6949;ES61;38434;PCT_EMPR_QUE_DISP_OTRA_TECN_GPS_TPV_ETC;22.957917781564056;A
2009;6949;ES61;38434;PCT_PERS_QUE_UTIL_ORDE_AL_MENO_UNA_VEZ_SEMA;52.43306159797798;A
2010;6949;ES61;38434;PCT_PERS_QUE_UTIL_ORDE_AL_MENO_UNA_VEZ_SEMA;52.240830360176126;A
2011;6949;ES61;38434;PCT_PERS_QUE_UTIL_ORDE_AL_MENO_UNA_VEZ_SEMA;58.97962532174036;A
