TEMPORAL;CNAE09;TERRITORIO;TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2018;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D;1.540427112426003;A
2020;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D;3.0004985733541303;A
2018;6949;ES61;38434;PCT_EMPR_QUE_USAR_IMPR_3D_PROP_A;24.633119993190686;A
2020;6949;ES61;38434;PCT_EMPR_QUE_USAR_IMPR_3D_PROP_A;15.18440181081673;A
2018;6949;ES61;38434;PCT_EMPR_QUE_USAR_SERV_IMPR_3D_PROP_OTRA_EMPR_A;80.73559192563758;A
2020;6949;ES61;38434;PCT_EMPR_QUE_USAR_SERV_IMPR_3D_PROP_OTRA_EMPR_A;93.77266148968955;A
2018;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_MODE_O_PROT_VENT_A;35.39805124189118;A
2020;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_MODE_O_PROT_VENT_A;8.0580179585022;A
2018;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_MODE_O_PROT_USO_INTE_A;41.485137480725804;A
2020;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_MODE_O_PROT_USO_INTE_A;15.803005681802565;A
2018;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_PROD_VENT_EXCL_PROT_O_MODE_A;8.851119643855888;A
2020;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_PROD_VENT_EXCL_PROT_O_MODE_A;12.85262823482179;A
2018;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_PROD_USO_INTE_EXCL_PROT_O_MODE_A;16.692508901342272;A
2020;6949;ES61;38434;PCT_EMPR_CON_IMPR_3D_PROD_USO_INTE_EXCL_PROT_O_MODE_A;38.453824708276905;A
