TEMPORAL;EPD_TAMANOEMPRESA;CNAE09;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;38434;6949;ES61;TOTA_EMPR;377729.3639577;A
2009;38434;6949;ES61;TOTA_EMPR;358026.72402162;A
2010;38434;6949;ES61;TOTA_EMPR;342447.14233431;A
2011;38434;6949;ES61;TOTA_EMPR;340286.2271719;A
2012;38434;6949;ES61;TOTA_EMPR;335844.3245715;A
2013;38434;6949;ES61;TOTA_EMPR;316329.0;A
2014;38434;6949;ES61;TOTA_EMPR;314950.939687;A
2015;38434;6949;ES61;TOTA_EMPR;318709.237591;A
2016;38434;6949;ES61;TOTA_EMPR;339309.1756398;A
2017;38434;6949;ES61;TOTA_EMPR;344912.1894922;A
2018;38434;6949;ES61;TOTA_EMPR;345029.411674;A
2019;38434;6949;ES61;TOTA_EMPR;356425.5627139;A
2020;38434;6949;ES61;TOTA_EMPR;366614.024853;A
2008;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;1.547309508390381;A
2009;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;1.7527812722217488;A
2010;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;3.0655407647559194;A
2011;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;2.881008316139562;A
2012;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;2.5723679651941707;A
2013;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;3.1821299975658253;A
2014;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;3.508697480624196;A
2015;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;4.779674418834659;A
2016;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;4.9799627570749285;A
2017;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;4.28445409202744;A
2018;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;6.991111571175569;A
2019;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;9.133808482370785;A
2020;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_VENT_COME_ELEC;7.164399783541196;A
2008;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;9.477208701627141;A
2009;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;7.86090439181866;A
2010;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;11.485340117250377;A
2011;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;11.880332099006086;A
2012;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;7.869869742840642;A
2013;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;6.750882783431174;A
2014;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;11.15232592600193;A
2015;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;16.385745868532904;A
2016;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;17.398208468364068;A
2017;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;19.975384692618434;A
2018;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;15.692417311037033;A
2019;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;15.804461866478576;A
2020;38434;6949;ES61;PCT_EMPR_QUE_HAN_REAL_COMP_COME_ELEC;16.31274740648008;A
