ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
7290;Total;(Total) Duración del emprendimiento (Supervivientes);Duración del emprendimiento (Supervivientes);;0
516605;P1_00;(00) TOTAL;TOTAL;;1
516633;0;(0) Nº de altas en el año;Nº de altas en el año;516605;0
516606;1;(1) Sobreviven 1 año;Sobreviven 1 año;516605;1
516607;2;(2) Sobreviven 2 años;Sobreviven 2 años;516605;2
516608;3;(3) Sobreviven 3 años;Sobreviven 3 años;516605;3
516609;4;(4) Sobreviven 4 años;Sobreviven 4 años;516605;4
516610;5;(5) Sobreviven 5 años;Sobreviven 5 años;516605;5
516611;6;(6) Sobreviven 6 años;Sobreviven 6 años;516605;6
516612;7;(7) Sobreviven 7 años;Sobreviven 7 años;516605;7
516613;8;(8) Sobreviven 8 años;Sobreviven 8 años;516605;8
516614;9;(9) Sobreviven 9 años;Sobreviven 9 años;516605;9
516615;10;(10) Sobreviven 10 años o más;Sobreviven 10 años o más;516605;10
