ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
7291;Total;(Total) Multivariable;Multivariable;;0
516632;P1_00;(00) Total;Total;;1
516616;0101;(0101) Hombres;Hombres;516632;1
516617;0106;(0106) Mujeres;Mujeres;516632;2
516618;0201;(0201) Nacidos en Andalucía;Nacidos en Andalucía;516632;3
516619;0202;(0202) Nacidos en el resto de España;Nacidos en el resto de España;516632;4
516620;0203;(0203) Nacidos fuera de España;Nacidos fuera de España;516632;5
516621;0299;(0299) No consta;No consta;516632;6
516622;0301;(0301) Autónomos personas físicas;Autónomos personas físicas;516632;7
516623;0302;(0302) Socio de sociedad cooperativa o empresa colectiva;Socio de sociedad cooperativa o empresa colectiva;516632;8
516624;0303;(0303) Miembro de órgano de administración;Miembro de órgano de administración;516632;9
516625;0304;(0304) Otros;Otros;516632;10
516626;0401;(0401) Agricultura;Agricultura;516632;11
516627;0402;(0402) Industria;Industria;516632;12
516628;0403;(0403) Construcción;Construcción;516632;13
516629;0404;(0404) Comercio y hostelería;Comercio y hostelería;516632;14
516630;0405;(0405) Otros servicios;Otros servicios;516632;15
516631;0406;(0406) Resto de servicios;Resto de servicios;516632;16
