ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
7196;Total;(Total) Situación previa al inicio del último emprendimiento (otros ocupados);Situación previa al inicio del último emprendimiento (otros ocupados);;0
515798;00;(00) Estaba afiliado;Estaba afiliado;;1
518711;01;(01) No estaba afiliado;No estaba afiliado;;2
518715;02;(02) Sin este tipo de emprendimientos;Sin este tipo de emprendimientos;;3
518710;3;(3) Cobrando prestación o subsidio por desempleo;Cobrando prestación o subsidio por desempleo;515798;2
515799;1;(1) Ocupado-Otra cotización;Ocupado-Otra cotización;515798;3
515803;03;(03) Otra cotización;Otra cotización;515799;7
518712;011;(011) Es su primer empleo;Es su primer empleo;518711;1
518713;012;(012) Interrupción laboral sin prestación;Interrupción laboral sin prestación;518711;2
518714;013;(013) Agotó la prestación;Agotó la prestación;518711;3
515804;11;(11) Es su primer empleo;Es su primer empleo;518712;0
515805;12;(12) Interrupción laboral sin prestación;Interrupción laboral sin prestación;518713;0
515806;13;(13) Agotó la prestación;Agotó la prestación;518714;0
518716;021;(021) Sin este tipo de emprendimientos;Sin este tipo de emprendimientos;518715;1
516589;;(NA) Sin este tipo de emprendimientos;Sin este tipo de emprendimientos;518716;0
_Z;No aplica;No aplica;No aplica;;
