ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
7206;Total;(Total) Territorio Autónomos (Provincias);Territorio Autónomos (Provincias);;0
515854;00;(00) TOTAL;TOTAL;;1
515902;RE;(RE) Residentes en el resto de España;Residentes en el resto de España;515854;2
515892;RA;(RA) Residentes en Andalucía;Residentes en Andalucía;515854;3
515903;RE0;(RE0) Residentes en el resto de España;Residentes en el resto de España;515902;4
515904;RE00;(RE00) Residentes en el Resto de España. Nacidos fuera de Andalucía;Residentes en el Resto de España. Nacidos fuera de Andalucía;515903;8
515905;RE01;(RE01) Residentes en el Resto de España. Nacidos en Andalucía;Residentes en el Resto de España. Nacidos en Andalucía;515903;9
516728;04;(04) Almería;Almería;515892;1
516748;11;(11) Cádiz;Cádiz;515892;2
516749;14;(14) Córdoba;Córdoba;515892;3
516750;18;(18) Granada;Granada;515892;4
516751;21;(21) Huelva;Huelva;515892;5
516752;23;(23) Jaén;Jaén;515892;6
516753;29;(29) Málaga;Málaga;515892;7
516754;41;(41) Sevilla;Sevilla;515892;8
515855;04013;(04013) Almería;Almería;516728;0
515869;04902;(04902) Ejido, El;Ejido, El;516728;1
515868;04079;(04079) Roquetas de Mar;Roquetas de Mar;516728;2
515893;04000;(04000) Otros municipios de Almería;Otros municipios de Almería;516728;3
515856;11004;(11004) Algeciras;Algeciras;516748;0
515857;11012;(11012) Cádiz;Cádiz;516748;1
515870;11015;(11015) Chiclana de la Frontera;Chiclana de la Frontera;516748;3
515858;11020;(11020) Jerez de la Frontera;Jerez de la Frontera;516748;4
515871;11022;(11022) Línea de la Concepción, La;Línea de la Concepción, La;516748;5
515872;11027;(11027) Puerto de Santa María, El;Puerto de Santa María, El;516748;6
515873;11028;(11028) Puerto Real;Puerto Real;516748;7
515874;11031;(11031) San Fernando;San Fernando;516748;8
515875;11032;(11032) Sanlúcar de Barrameda;Sanlúcar de Barrameda;516748;9
515894;11000;(11000) Otros municipios de Cádiz;Otros municipios de Cádiz;516748;10
515859;14021;(14021) Córdoba;Córdoba;516749;0
515876;14038;(14038) Lucena;Lucena;516749;1
515895;14000;(14000) Otros municipios de Córdoba;Otros municipios de Córdoba;516749;2
515860;18087;(18087) Granada;Granada;516750;0
515877;18140;(18140) Motril;Motril;516750;1
515896;18000;(18000) Otros municipios de Granada;Otros municipios de Granada;516750;2
515861;21041;(21041) Huelva;Huelva;516751;0
515897;21000;(21000) Otros municipios de Huelva;Otros municipios de Huelva;516751;1
515862;23050;(23050) Jaén;Jaén;516752;0
515878;23055;(23055) Linares;Linares;516752;1
515898;23000;(23000) Otros municipios de Jaén;Otros municipios de Jaén;516752;2
518510;29007;(29007) Alhaurín de la Torre;Alhaurín de la Torre;516753;0
515879;29015;(29015) Antequera;Antequera;516753;1
515880;29025;(29025) Benalmádena;Benalmádena;516753;2
515881;29051;(29051) Estepona;Estepona;516753;3
515882;29054;(29054) Fuengirola;Fuengirola;516753;4
515863;29067;(29067) Málaga;Málaga;516753;5
515864;29069;(29069) Marbella;Marbella;516753;6
515883;29070;(29070) Mijas;Mijas;516753;7
515884;29082;(29082) Rincón de la Victoria;Rincón de la Victoria;516753;8
515886;29901;(29901) Torremolinos;Torremolinos;516753;9
515885;29094;(29094) Vélez-Málaga;Vélez-Málaga;516753;10
515899;29000;(29000) Otros municipios de Málaga;Otros municipios de Málaga;516753;11
515887;41004;(41004) Alcalá de Guadaíra;Alcalá de Guadaíra;516754;0
515865;41038;(41038) Dos Hermanas;Dos Hermanas;516754;1
515888;41039;(41039) Écija;Écija;516754;2
515866;41091;(41091) Sevilla;Sevilla;516754;3
515889;41059;(41059) Mairena del Aljarafe;Mairena del Aljarafe;516754;4
515890;41095;(41095) Utrera;Utrera;516754;5
515900;41000;(41000) Otros municipios de Sevilla;Otros municipios de Sevilla;516754;6
