ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
504;;() Zonas de turismo_ parques;Zonas de turismo_ parques;;0
55151;00;(00) Total;Total;;1
55125;51;(51) Parque Nacional Sierra Nevada;Parque Nacional Sierra Nevada;55151;2
55126;52;(52) Parque Nacional Doñana;Parque Nacional Doñana;55151;3
55127;53;(53) Parque Natural Sierra de Huétor;Parque Natural Sierra de Huétor;55151;4
55128;54;(54) Parque Natural Sierra de las Nieves;Parque Natural Sierra de las Nieves;55151;5
55129;55;(55) Parque Natural Montes de Málaga;Parque Natural Montes de Málaga;55151;6
55130;56;(56) Parque Natural Sierras Subbéticas;Parque Natural Sierras Subbéticas;55151;7
55131;57;(57) Parque Natural Sierra de Andújar;Parque Natural Sierra de Andújar;55151;8
55132;58;(58) Parque Natural De la Breña y Marismas del Barbate;Parque Natural De la Breña y Marismas del Barbate;55151;9
55133;59;(59) Parque Natural Cabo de Gata-Níjar;Parque Natural Cabo de Gata-Níjar;55151;10
55134;60;(60) Parque Natural Sierra María-Los Vélez;Parque Natural Sierra María-Los Vélez;55151;11
55135;61;(61) Parque Natural de Doñana;Parque Natural de Doñana;55151;12
55136;62;(62) Parque Natural Sierra de Grazalema;Parque Natural Sierra de Grazalema;55151;13
55137;63;(63) Parque Natural Bahía de Cádiz;Parque Natural Bahía de Cádiz;55151;14
55138;64;(64) Parque Natural del Estrecho;Parque Natural del Estrecho;55151;15
55139;65;(65) Parque Natural Sierra de Cardeña y Montoro;Parque Natural Sierra de Cardeña y Montoro;55151;16
55140;66;(66) Parque Natural Sierra de Hornachuelos;Parque Natural Sierra de Hornachuelos;55151;17
55141;67;(67) Parque Natural Sierra de Castril;Parque Natural Sierra de Castril;55151;18
55142;68;(68) Parque Natural Sierra de Aracena y Picos de Aroche;Parque Natural Sierra de Aracena y Picos de Aroche;55151;19
55143;69;(69) Parque Natural Despeñaperros;Parque Natural Despeñaperros;55151;20
55144;70;(70) Parque Natural Sierra de Cazorla, Segura y las Villas;Parque Natural Sierra de Cazorla, Segura y las Villas;55151;21
55145;71;(71) Parque Natural Sierra Norte de Sevilla;Parque Natural Sierra Norte de Sevilla;55151;22
55146;72;(72) Parque Natural Sierra Nevada;Parque Natural Sierra Nevada;55151;23
55147;73;(73) Parque Natural Sierras de Tejeda, Almijara y Alhama;Parque Natural Sierras de Tejeda, Almijara y Alhama;55151;24
55148;74;(74) Parque Natural Los Alcornocales;Parque Natural Los Alcornocales;55151;25
55149;75;(75) Parque Natural Sierra Mágina;Parque Natural Sierra Mágina;55151;26
55150;76;(76) Parque Natural Sierra de Baza;Parque Natural Sierra de Baza;55151;27
_Z;No aplica;No aplica;No aplica;;
