ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
582;Total;(Total) CIE10;CIE10;;0
57628;00;(00) Total;Total;;1
56093;001;(001) I. Ciertas enfermedades infecciosas y parasitarias;I. Ciertas enfermedades infecciosas y parasitarias;57628;1
56232;002;(002) II. Tumores;II. Tumores;57628;2
56266;003;(003) III. Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;III. Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;57628;3
56338;004;(004) IV. Enfermedades endocrinas, nutricionales y metabólicas;IV. Enfermedades endocrinas, nutricionales y metabólicas;57628;4
56416;005;(005) V. Trastornos mentales y del comportamiento;V. Trastornos mentales y del comportamiento;57628;5
56536;006;(006) VI-VIII. Enfermedades del sistema nervioso y de los órganos de los sentidos;VI-VIII. Enfermedades del sistema nervioso y de los órganos de los sentidos;57628;6
56604;009;(009) IX. Enfermedades del sistema circulatorio;IX. Enfermedades del sistema circulatorio;57628;9
56669;010;(010) X. Enfermedades del sistema respiratorio;X. Enfermedades del sistema respiratorio;57628;10
56737;011;(011) XI. Enfermedades del sistema digestivo;XI. Enfermedades del sistema digestivo;57628;11
56805;012;(012) XII. Enfermedades de la piel y del tejido subcutáneo;XII. Enfermedades de la piel y del tejido subcutáneo;57628;12
56873;013;(013) XIII. Enfermedades del sistema osteomuscular y del tejido conjuntivo;XIII. Enfermedades del sistema osteomuscular y del tejido conjuntivo;57628;13
56947;014;(014) XIV. Enfermedades del sistema genitourinario;XIV. Enfermedades del sistema genitourinario;57628;14
57018;015;(015) XV. Embarazo, parto y puerperio;XV. Embarazo, parto y puerperio;57628;15
57078;016;(016) XVI. Afecciones originadas en el período perinatal;XVI. Afecciones originadas en el período perinatal;57628;16
57167;017;(017) XVII. Malformaciones congénitas, deformidades y anomalías cromosómicas;XVII. Malformaciones congénitas, deformidades y anomalías cromosómicas;57628;17
57258;018;(018) XVIII. Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;XVIII. Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;57628;18
57627;020;(020) XX. Causas externas de mortalidad;XX. Causas externas de mortalidad;57628;20
56607;00NC;(00NC) No consta;No consta;57628;21
818508;PC00;(PC00) En proceso de codificación;En proceso de codificación;57628;100
55921;01;(01) I. Ciertas enfermedades infecciosas y parasitarias;I. Ciertas enfermedades infecciosas y parasitarias;56093;1
518590;U071;(U071) U071. Covid-19 Virus identificado;U071. Covid-19 Virus identificado;55921;0
518591;U072;(U072) U072. Covid-19 Virus no identificado (sospechoso);U072. Covid-19 Virus no identificado (sospechoso);55921;1
838663;U10;(U10) U10. Síndrome inflamatorio multisistémico asociado con COVID-19;U10. Síndrome inflamatorio multisistémico asociado con COVID-19;55921;2
55922;A00;(A00) A00. Cólera;A00. Cólera;55921;3
55923;A01;(A01) A01. Fiebres tifoidea y paratifoidea;A01. Fiebres tifoidea y paratifoidea;55921;4
55924;A02;(A02) A02. Otras infecciones debidas a Salmonella;A02. Otras infecciones debidas a Salmonella;55921;5
55925;A03;(A03) A03. Shigelosis;A03. Shigelosis;55921;6
55926;A04;(A04) A04. Otras infecciones intestinales bacterianas;A04. Otras infecciones intestinales bacterianas;55921;7
55927;A05;(A05) A05. Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte;A05. Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte;55921;8
55928;A06;(A06) A06. Amebiasis;A06. Amebiasis;55921;9
55929;A07;(A07) A07. Otras enfermedades intestinales debidas a protozoarios;A07. Otras enfermedades intestinales debidas a protozoarios;55921;10
55930;A08;(A08) A08. Infecciones intestinales debidas a virus y otros organismos especificados;A08. Infecciones intestinales debidas a virus y otros organismos especificados;55921;11
55931;A09;(A09) A09. Otras gastroenteritis y colitis de origen infeccioso y no especificado;A09. Otras gastroenteritis y colitis de origen infeccioso y no especificado;55921;12
55932;A15;(A15) A15. Tuberculosis respiratoria, confirmada bacteriológica e histológicamente;A15. Tuberculosis respiratoria, confirmada bacteriológica e histológicamente;55921;13
55933;A16;(A16) A16. Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente;A16. Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente;55921;14
55934;A17;(A17) A17. Tuberculosis del sistema nervioso;A17. Tuberculosis del sistema nervioso;55921;15
55935;A18;(A18) A18. Tuberculosis de otros órganos;A18. Tuberculosis de otros órganos;55921;16
55936;A19;(A19) A19. Tuberculosis miliar;A19. Tuberculosis miliar;55921;17
55937;A20;(A20) A20. Peste;A20. Peste;55921;18
55938;A21;(A21) A21. Tularemia;A21. Tularemia;55921;19
55939;A22;(A22) A22. Carbunco;A22. Carbunco;55921;20
55940;A23;(A23) A23. Brucelosis;A23. Brucelosis;55921;21
55941;A24;(A24) A24. Muermo y melioidosis;A24. Muermo y melioidosis;55921;22
55942;A25;(A25) A25. Fiebres por mordedura de rata;A25. Fiebres por mordedura de rata;55921;23
55943;A26;(A26) A26. Erisipeloide;A26. Erisipeloide;55921;24
55944;A27;(A27) A27. Leptospirosis;A27. Leptospirosis;55921;25
55945;A28;(A28) A28. Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte;A28. Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte;55921;26
55946;A30;(A30) A30. Lepra;A30. Lepra;55921;27
55947;A31;(A31) A31. Infecciones debidas a otras micobacterias;A31. Infecciones debidas a otras micobacterias;55921;28
55948;A32;(A32) A32. Listeriosis;A32. Listeriosis;55921;29
55949;A33;(A33) A33. Tétanos neonatal;A33. Tétanos neonatal;55921;30
55950;A34;(A34) A34. Tétanos obstétrico;A34. Tétanos obstétrico;55921;31
55951;A35;(A35) A35. Otros tétanos;A35. Otros tétanos;55921;32
55952;A36;(A36) A36. Difteria;A36. Difteria;55921;33
55953;A37;(A37) A37. Tos ferina;A37. Tos ferina;55921;34
55954;A38;(A38) A38. Escarlatina;A38. Escarlatina;55921;35
55955;A39;(A39) A39. Enfermedad meningocócica;A39. Enfermedad meningocócica;55921;36
55956;A40;(A40) A40. Septicemia estreptocócica;A40. Septicemia estreptocócica;55921;37
55957;A41;(A41) A41. Otras septicemias;A41. Otras septicemias;55921;38
55958;A42;(A42) A42. Actinomicosis;A42. Actinomicosis;55921;39
55959;A43;(A43) A43. Nocardiosis;A43. Nocardiosis;55921;40
55960;A44;(A44) A44. Bartonelosis;A44. Bartonelosis;55921;41
55961;A46;(A46) A46. Erisipela;A46. Erisipela;55921;42
55962;A48;(A48) A48. Otras enfermedades bacterianas, no clasificadas en otra parte;A48. Otras enfermedades bacterianas, no clasificadas en otra parte;55921;43
55963;A49;(A49) A49. Infección bacteriana de sitio no especificado;A49. Infección bacteriana de sitio no especificado;55921;44
55964;A50;(A50) A50. Sífilis congénita;A50. Sífilis congénita;55921;45
55965;A51;(A51) A51. Sífilis precoz;A51. Sífilis precoz;55921;46
55966;A52;(A52) A52. Sífilis tardía;A52. Sífilis tardía;55921;47
55967;A53;(A53) A53. Otras sífilis y las no especificadas;A53. Otras sífilis y las no especificadas;55921;48
55968;A54;(A54) A54. Infección gonocócica;A54. Infección gonocócica;55921;49
55969;A55;(A55) A55. Linfogranuloma (venéreo) por clamidias;A55. Linfogranuloma (venéreo) por clamidias;55921;50
55970;A56;(A56) A56. Otras enfermedades de transmisión sexual debidas a clamidias;A56. Otras enfermedades de transmisión sexual debidas a clamidias;55921;51
55971;A57;(A57) A57. Chancro blando;A57. Chancro blando;55921;52
55972;A58;(A58) A58. Granuloma inguinal;A58. Granuloma inguinal;55921;53
55973;A59;(A59) A59. Tricomoniasis;A59. Tricomoniasis;55921;54
55974;A60;(A60) A60. Infección anogenital debida a virus del herpes;A60. Infección anogenital debida a virus del herpes;55921;55
55975;A63;(A63) A63. Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte;A63. Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte;55921;56
55976;A64;(A64) A64. Enfermedad de transmisión sexual no especificada;A64. Enfermedad de transmisión sexual no especificada;55921;57
55977;A65;(A65) A65. Sífilis no venérea;A65. Sífilis no venérea;55921;58
55978;A66;(A66) A66. Frambesia;A66. Frambesia;55921;59
55979;A67;(A67) A67. Pinta;A67. Pinta;55921;60
55980;A68;(A68) A68. Fiebres recurrentes;A68. Fiebres recurrentes;55921;61
55981;A69;(A69) A69. Otras infecciones causadas por espiroquetas;A69. Otras infecciones causadas por espiroquetas;55921;62
55982;A70;(A70) A70. Infección debida a Chlamydia psittaci;A70. Infección debida a Chlamydia psittaci;55921;63
55983;A71;(A71) A71. Tracoma;A71. Tracoma;55921;64
55984;A74;(A74) A74. Otras enfermedades causadas por clamidias;A74. Otras enfermedades causadas por clamidias;55921;65
55985;A75;(A75) A75. Tifus;A75. Tifus;55921;66
55986;A77;(A77) A77. Fiebre maculosa;A77. Fiebre maculosa;55921;67
55987;A78;(A78) A78. Fiebre Q;A78. Fiebre Q;55921;68
55988;A79;(A79) A79. Otras rickettsiosis;A79. Otras rickettsiosis;55921;69
55989;A80;(A80) A80. Poliomielitis aguda;A80. Poliomielitis aguda;55921;70
