ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
583;Total;(Total) G102 (Covid-Resto);G102 (Covid-Resto);;0
838410;0;(0) 00A. Covid-19 Virus identificado;00A. Covid-19 Virus identificado;;0
838411;1;(1) 00B. Covid-19 Virus no identificado (sospechoso);00B. Covid-19 Virus no identificado (sospechoso);;2
57731;00;(00) Otras causas;Otras causas;;3
518592;00A;(00A) 00A. Covid-19 Virus identificado;00A. Covid-19 Virus identificado;838410;0
518593;00B;(00B) 00B. Covid-19 Virus no identificado (sospechoso);00B. Covid-19 Virus no identificado (sospechoso);838411;0
57629;001;(001) 001. Enfermedades infecciosas intestinales;001. Enfermedades infecciosas intestinales;57731;4
57630;002;(002) 002. Tuberculosis y sus efectos tardíos;002. Tuberculosis y sus efectos tardíos;57731;5
57631;003;(003) 003. Enfermedad meningocócica;003. Enfermedad meningocócica;57731;6
57632;004;(004) 004. Septicemia;004. Septicemia;57731;7
57633;005;(005) 005. Hepatitis vírica;005. Hepatitis vírica;57731;8
57634;006;(006) 006. SIDA;006. SIDA;57731;9
57635;007;(007) 007. VIH+ (portador, evidencias de laboratorio del VIH,...);007. VIH+ (portador, evidencias de laboratorio del VIH,...);57731;10
57636;008;(008) 008. Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;008. Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;57731;11
57637;009;(009) 009. Tumor maligno del labio, de la cavidad bucal y de la faringe;009. Tumor maligno del labio, de la cavidad bucal y de la faringe;57731;12
57638;010;(010) 010. Tumor maligno del esófago;010. Tumor maligno del esófago;57731;13
57639;011;(011) 011. Tumor maligno del estómago;011. Tumor maligno del estómago;57731;14
57640;012;(012) 012. Tumor maligno del colon;012. Tumor maligno del colon;57731;15
57641;013;(013) 013. Tumor maligno del recto, de la porción rectosigmoide y del ano;013. Tumor maligno del recto, de la porción rectosigmoide y del ano;57731;16
57642;014;(014) 014. Tumor maligno del hígado y vías biliares intrahepáticas;014. Tumor maligno del hígado y vías biliares intrahepáticas;57731;17
57643;015;(015) 015. Tumor maligno del páncreas;015. Tumor maligno del páncreas;57731;18
