ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;TOTAL;(TOTAL) Andalucía/Provincias Andalucía (usar en consultas provinciales);Andalucía/Provincias Andalucía (usar en consultas provinciales);;0
3143;C01;(C01) Andalucía;Andalucía;;1
2352;04;(04) Almería;Almería;3143;2
2402;11;(11) Cádiz;Cádiz;3143;3
2482;14;(14) Córdoba;Córdoba;3143;4
2713;18;(18) Granada;Granada;3143;5
2797;21;(21) Huelva;Huelva;3143;6
2911;23;(23) Jaén;Jaén;3143;7
3023;29;(29) Málaga;Málaga;3143;8
3142;41;(41) Sevilla;Sevilla;3143;9
3144;C01NC;(C01NC) Provincia sin especificar;Provincia sin especificar;3143;10
