ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;;() TOTAL/Andalucía/Resto España/Provincias Andalucía/Municipios;TOTAL/Andalucía/Resto España/Provincias Andalucía/Municipios;;0
3676;00;(00) TOTAL;TOTAL;;1
3143;C01;(C01) Andalucía;Andalucía;3676;2
3341;RE00;(RE00) Resto de España;Resto de España;3676;3
2352;04;(04) Almería;Almería;3143;4
2402;11;(11) Cádiz;Cádiz;3143;5
2482;14;(14) Córdoba;Córdoba;3143;6
2713;18;(18) Granada;Granada;3143;7
2797;21;(21) Huelva;Huelva;3143;8
2911;23;(23) Jaén;Jaén;3143;9
3023;29;(29) Málaga;Málaga;3143;10
3142;41;(41) Sevilla;Sevilla;3143;11
2241;04001;(04001) Abla;Abla;2352;13
2242;04002;(04002) Abrucena;Abrucena;2352;14
2243;04003;(04003) Adra;Adra;2352;15
2244;04004;(04004) Albanchez;Albanchez;2352;16
2245;04005;(04005) Alboloduy;Alboloduy;2352;17
2246;04006;(04006) Albox;Albox;2352;18
2247;04007;(04007) Alcolea;Alcolea;2352;19
2248;04008;(04008) Alcóntar;Alcóntar;2352;20
2249;04009;(04009) Alcudia de Monteagud;Alcudia de Monteagud;2352;21
2250;04010;(04010) Alhabia;Alhabia;2352;22
2251;04011;(04011) Alhama de Almería;Alhama de Almería;2352;23
2252;04012;(04012) Alicún;Alicún;2352;24
2253;04013;(04013) Almería (capital);Almería (capital);2352;25
2254;04014;(04014) Almócita;Almócita;2352;26
2255;04015;(04015) Alsodux;Alsodux;2352;27
2256;04016;(04016) Antas;Antas;2352;28
2257;04017;(04017) Arboleas;Arboleas;2352;29
2258;04018;(04018) Armuña de Almanzora;Armuña de Almanzora;2352;30
2259;04019;(04019) Bacares;Bacares;2352;31
9563;04904;(04904) Balanegra;Balanegra;2352;32
2260;04020;(04020) Bayárcal;Bayárcal;2352;33
2261;04021;(04021) Bayarque;Bayarque;2352;34
2262;04022;(04022) Bédar;Bédar;2352;35
2263;04023;(04023) Beires;Beires;2352;36
2264;04024;(04024) Benahadux;Benahadux;2352;37
2265;04025;(04025) Benínar;Benínar;2352;38
2266;04026;(04026) Benitagla;Benitagla;2352;39
2267;04027;(04027) Benizalón;Benizalón;2352;40
2268;04028;(04028) Bentarique;Bentarique;2352;41
2269;04029;(04029) Berja;Berja;2352;42
2270;04030;(04030) Canjáyar;Canjáyar;2352;43
2271;04031;(04031) Cantoria;Cantoria;2352;44
2272;04032;(04032) Carboneras;Carboneras;2352;45
2273;04033;(04033) Castro de Filabres;Castro de Filabres;2352;46
2277;04036;(04036) Chercos;Chercos;2352;47
