ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
33;;() Duración del matrimonio;Duración del matrimonio;;0
5215;00;(00) Total;Total;;1
5114;0;(0) Menos de 1 año;Menos de 1 año;5215;1
5126;1;(1) 1;1;5215;2
5137;2;(2) 2;2;5215;3
5148;3;(3) 3;3;5215;4
5159;4;(4) 4;4;5215;5
5170;5;(5) 5;5;5215;6
5181;6;(6) 6;6;5215;7
5192;7;(7) 7;7;5215;8
5203;8;(8) 8;8;5215;9
5214;9;(9) 9;9;5215;10
5116;10;(10) 10;10;5215;11
5117;11;(11) 11;11;5215;12
5118;12;(12) 12;12;5215;13
5119;13;(13) 13;13;5215;14
5120;14;(14) 14;14;5215;15
5121;15;(15) 15;15;5215;16
5122;16;(16) 16;16;5215;17
5123;17;(17) 17;17;5215;18
5124;18;(18) 18;18;5215;19
5125;19;(19) 19;19;5215;20
5127;20;(20) 20;20;5215;21
5128;21;(21) 21;21;5215;22
5129;22;(22) 22;22;5215;23
5130;23;(23) 23;23;5215;24
5131;24;(24) 24;24;5215;25
5132;25;(25) 25;25;5215;26
5133;26;(26) 26;26;5215;27
5134;27;(27) 27;27;5215;28
5135;28;(28) 28;28;5215;29
5136;29;(29) 29;29;5215;30
5138;30;(30) 30;30;5215;31
5139;31;(31) 31;31;5215;32
5140;32;(32) 32;32;5215;33
5141;33;(33) 33;33;5215;34
5142;34;(34) 34;34;5215;35
5143;35;(35) 35;35;5215;36
5144;36;(36) 36;36;5215;37
5145;37;(37) 37;37;5215;38
5146;38;(38) 38;38;5215;39
5147;39;(39) 39;39;5215;40
5149;40;(40) 40;40;5215;41
5150;41;(41) 41;41;5215;42
5151;42;(42) 42;42;5215;43
5152;43;(43) 43;43;5215;44
5153;44;(44) 44;44;5215;45
5154;45;(45) 45;45;5215;46
5155;46;(46) 46;46;5215;47
5156;47;(47) 47;47;5215;48
5157;48;(48) 48;48;5215;49
5158;49;(49) 49;49;5215;50
5160;50;(50) 50;50;5215;51
5161;51;(51) 51;51;5215;52
5162;52;(52) 52;52;5215;53
5163;53;(53) 53;53;5215;54
5164;54;(54) 54;54;5215;55
5165;55;(55) 55;55;5215;56
5166;56;(56) 56;56;5215;57
5167;57;(57) 57;57;5215;58
5168;58;(58) 58;58;5215;59
5169;59;(59) 59;59;5215;60
5171;60;(60) 60;60;5215;100
5172;61;(61) 61;61;5215;101
5173;62;(62) 62;62;5215;102
5174;63;(63) 63;63;5215;103
5175;64;(64) 64;64;5215;104
5176;65;(65) 65;65;5215;105
5177;66;(66) 66;66;5215;106
5178;67;(67) 67;67;5215;107
5179;68;(68) 68;68;5215;108
5180;69;(69) 69;69;5215;109
5182;70;(70) 70;70;5215;110
5183;71;(71) 71;71;5215;111
5184;72;(72) 72;72;5215;112
5185;73;(73) 73;73;5215;113
5186;74;(74) 74;74;5215;114
5187;75;(75) 75;75;5215;115
5188;76;(76) 76;76;5215;116
5189;77;(77) 77;77;5215;117
5190;78;(78) 78;78;5215;118
5191;79;(79) 79;79;5215;119
5193;80;(80) 80;80;5215;120
5194;81;(81) 81;81;5215;121
5195;82;(82) 82;82;5215;122
5196;83;(83) 83;83;5215;123
5197;84;(84) 84;84;5215;124
5198;85;(85) 85;85;5215;125
5199;86;(86) 86;86;5215;126
5200;87;(87) 87;87;5215;127
5201;88;(88) 88;88;5215;128
5202;89;(89) 89;89;5215;129
5204;90;(90) 90;90;5215;130
5205;91;(91) 91;91;5215;131
5206;92;(92) 92;92;5215;132
5207;93;(93) 93;93;5215;133
5208;94;(94) 94;94;5215;134
5209;95;(95) 95;95;5215;135
5210;96;(96) 96;96;5215;136
5211;97;(97) 97;97;5215;137
5212;98;(98) 98;98;5215;138
5213;99;(99) 99;99;5215;139
5115;100;(100) 100;100;5215;140
5216;NC;(NC) No consta;No consta;5215;141
_Z;No aplica;No aplica;No aplica;;
