ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
35;;() Nacionalidad de los cónyuges;Nacionalidad de los cónyuges;;0
5630;00;(00) TOTAL;TOTAL;;1
5622;11;(11) Ambos cónyuges españoles;Ambos cónyuges españoles;5630;1
5629;22;(22) Algún cónyuge extranjero;Algún cónyuge extranjero;5630;2
5631;NC00;(NC00) No consta nacionalidad de alguno de los cónyuges;No consta nacionalidad de alguno de los cónyuges;5630;3
5621;10;(10) Ambos cónyuges españoles;Ambos cónyuges españoles;5622;1
5620;1;(1) Ambos cónyuges españoles;Ambos cónyuges españoles;5621;1
5625;20;(20) Uno de los cónyuges extranjero;Uno de los cónyuges extranjero;5629;1
5628;30;(30) Ambos cónyuges extranjeros;Ambos cónyuges extranjeros;5629;2
5623;2;(2) c1 español y c2 extranjero;c1 español y c2 extranjero;5625;1
5624;3;(3) c1 extranjero y c2 español;c1 extranjero y c2 español;5625;2
5626;4;(4) Misma nacionalidad;Misma nacionalidad;5628;1
5627;5;(5) Distinta nacionalidad;Distinta nacionalidad;5628;2
5632;NC0;(NC0) No consta nacionalidad de alguno de los cónyuges;No consta nacionalidad de alguno de los cónyuges;5631;1
277889;6;(6) c1 extranjero, nacionalidad del c2 desconocida;c1 extranjero, nacionalidad del c2 desconocida;5632;1
277890;7;(7) c2 extranjero, nacionalidad del c1 desconocida;c2 extranjero, nacionalidad del c1 desconocida;5632;2
5633;NC;(NC) No consta;No consta;5632;3
_Z;No aplica;No aplica;No aplica;;
