ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3474;;() Actividad (Industria-Comercio-Servicios)_2;Actividad (Industria-Comercio-Servicios)_2;;0
272538;A1;(A1) A1. CNAE 05, 06, 07, 08, 09, 19, 35, 36, 37, 38, 39. Industrias extractivas, energía, agua y residuos;A1. CNAE 05, 06, 07, 08, 09, 19, 35, 36, 37, 38, 39. Industrias extractivas, energía, agua y residuos;;1
272539;A2;(A2) A2. CNAE 10, 11, 12. Alimentación, bebidas y tabaco;A2. CNAE 10, 11, 12. Alimentación, bebidas y tabaco;;2
272540;A3;(A3) A3. CNAE 13, 14, 15. Textil, confección, cuero y calzado;A3. CNAE 13, 14, 15. Textil, confección, cuero y calzado;;3
272541;A4;(A4) A4. CNAE 16, 17, 18. Madera y corcho, papel y artes gráficas;A4. CNAE 16, 17, 18. Madera y corcho, papel y artes gráficas;;4
272542;A5;(A5) A5. CNAE 20, 21. Industria química y farmacéutica;A5. CNAE 20, 21. Industria química y farmacéutica;;5
272543;A6;(A6) A6. CNAE 22. Caucho y materias plásticas;A6. CNAE 22. Caucho y materias plásticas;;6
272544;A7;(A7) A7. CNAE 23. Productos minerales no metálicos diversos;A7. CNAE 23. Productos minerales no metálicos diversos;;7
272545;A8;(A8) A8. CNAE 24, 25. Metalurgia y frabricación de productos metálicos, excepto maquinaria y equipo;A8. CNAE 24, 25. Metalurgia y frabricación de productos metálicos, excepto maquinaria y equipo;;8
272546;A9;(A9) A9. CNAE 26, 27. Material y equipo eléctrico, electrónico y óptico;A9. CNAE 26, 27. Material y equipo eléctrico, electrónico y óptico;;9
272535;A10;(A10) A10. CNAE 28. Maquinaria y equipo mecánico;A10. CNAE 28. Maquinaria y equipo mecánico;;10
272536;A11;(A11) A11. CNAE 29, 30. Material de transporte;A11. CNAE 29, 30. Material de transporte;;11
272537;A12;(A12) A12. CNAE 31, 32, 33. Industrias manufactureras diversas, reparación e instalación de maquinaria y equipo;A12. CNAE 31, 32, 33. Industrias manufactureras diversas, reparación e instalación de maquinaria y equipo;;12
272566;SA1;(SA1) SA1. CNAE 05, 06, 07, 08, 09, 19. Industrias extractivas y del petróleo;SA1. CNAE 05, 06, 07, 08, 09, 19. Industrias extractivas y del petróleo;;13
272567;SA2;(SA2) SA2. CNAE 10. Alimentación;SA2. CNAE 10. Alimentación;;14
272568;SA3;(SA3) SA3. CNAE 11, 12. Bebidas y tabaco;SA3. CNAE 11, 12. Bebidas y tabaco;;15
