ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
2467;Total;(Total) Disciplina científica;Disciplina científica;;0
215132;00;(00) TOTAL;TOTAL;;1
215126;1;(1) Ciencias exactas y naturales;Ciencias exactas y naturales;215132;1
215127;2;(2) Ingeniería y tecnología;Ingeniería y tecnología;215132;2
215128;3;(3) Ciencias Médicas;Ciencias Médicas;215132;3
215129;4;(4) Ciencias de la agricultura y veterinaria;Ciencias de la agricultura y veterinaria;215132;4
215130;5;(5) Ciencias Sociales;Ciencias Sociales;215132;5
215131;6;(6) Humanidades y las Artes;Humanidades y las Artes;215132;6
215133;NC;(NC) No consta;No consta;215132;7
_Z;No aplica;No aplica;No aplica;;
