ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
2471;Total;(Total) Estudios;Estudios;;0
215159;00;(00) TOTAL;TOTAL;;1
215160;1;(1) Doctorado universitario;Doctorado universitario;215159;1
215161;2;(2) Grado de más de 240 ECTS, Licenciatura y equivalentes;Grado de más de 240 ECTS, Licenciatura y equivalentes;215159;2
215162;3;(3) Grado de 240 ECTS, Diplomatura y equivalentes;Grado de 240 ECTS, Diplomatura y equivalentes;215159;3
215163;4;(4) Ciclo Formativo de Grado Superior, FPII y equivalentes;Ciclo Formativo de Grado Superior, FPII y equivalentes;215159;4
215164;5;(5) Bachillerato, Ciclo Formativo de Grado Medio, FPI y similares;Bachillerato, Ciclo Formativo de Grado Medio, FPI y similares;215159;5
215165;6;(6) Otros estudios;Otros estudios;215159;6
215166;NC;(NC) No consta;No consta;215159;7
_Z;No aplica;No aplica;No aplica;;
