ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
2466;Total;(Total) Tipo de empresa_reducido;Tipo de empresa_reducido;;0
215125;00;(00) TOTAL;TOTAL;;1
215117;10;(10) Sector Administración Pública;Sector Administración Pública;215125;2
215120;20;(20) Sector Enseñanza Superior;Sector Enseñanza Superior;215125;3
215122;30;(30) Sector Instituciones Privadas Sin Fines de Lucro;Sector Instituciones Privadas Sin Fines de Lucro;215125;4
215124;40;(40) Sector Empresas;Sector Empresas;215125;5
215114;1;(1) Administración del estado;Administración del estado;215117;6
215115;2;(2) Administración autonómica y local;Administración autonómica y local;215117;7
215116;3;(3) Otros centros de la administración pública;Otros centros de la administración pública;215117;8
215118;4;(4) Universidades públicas;Universidades públicas;215120;9
215119;5;(5) Otros centros de enseñanza superior;Otros centros de enseñanza superior;215120;10
215121;6;(6) Instituciones privadas sin fines de lucro;Instituciones privadas sin fines de lucro;215122;1
215123;7;(7) Empresas;Empresas;215124;12
_Z;No aplica;No aplica;No aplica;;
