ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
1049;;() Categorías de los establecimientos hoteleros_agrupada;Categorías de los establecimientos hoteleros_agrupada;;0
62149;00;(00) Total;Total;;1
62145;01;(01) 1 estrella de oro;1 estrella de oro;62149;1
62148;02;(02) 2 estrellas de oro;2 estrellas de oro;62149;2
264446;03;(03) 3 estrellas de oro;3 estrellas de oro;62149;3
264447;04;(04) 5 y 4 estrellas de oro;5 y 4 estrellas de oro;62149;4
264449;05;(05) 1 estrella de plata;1 estrella de plata;62149;5
264450;06;(06) 2 estrellas de plata;2 estrellas de plata;62149;6
62150;NC0;(NC0) No consta;No consta;62149;7
62140;0101;(0101) 1 estrella de oro;1 estrella de oro;62145;5
62141;0102;(0102) 2 estrellas de oro;2 estrellas de oro;62148;10
62142;0103;(0103) 3 estrellas de oro;3 estrellas de oro;264446;0
62143;0104;(0104) 4 estrellas de oro;4 estrellas de oro;264447;0
62144;0105;(0105) 5 estrellas de oro;5 estrellas de oro;264447;1
62146;0201;(0201) 1 estrella de plata;1 estrella de plata;264449;0
62147;0202;(0202) 2 estrellas de plata;2 estrellas de plata;264450;0
62151;NC;(NC) No consta;No consta;62150;12
_Z;No aplica;No aplica;No aplica;;
