ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
503;;() Puntos turismo hoteles;Puntos turismo hoteles;;0
55123;00;(00) Total;Total;;1
70665;04013;(04013) Almería;Almería;55123;2
70666;04032;(04032) Carboneras;Carboneras;55123;3
70668;04902;(04902) El Ejido;El Ejido;55123;4
55107;04064;(04064) Mojácar;Mojácar;55123;5
55108;04066;(04066) Níjar;Níjar;55123;6
70667;04079;(04079) Roquetas de Mar;Roquetas de Mar;55123;7
269774;04100;(04100) Vera;Vera;55123;8
70669;11004;(11004) Algeciras;Algeciras;55123;9
70670;11006;(11006) Arcos de la Frontera;Arcos de la Frontera;55123;10
55109;11007;(11007) Barbate;Barbate;55123;11
70671;11012;(11012) Cádiz;Cádiz;55123;12
70672;11015;(11015) Chiclana de la Frontera;Chiclana de la Frontera;55123;13
70673;11016;(11016) Chipiona;Chipiona;55123;14
55110;11014;(11014) Conil de la Frontera;Conil de la Frontera;55123;15
70675;11027;(11027) El Puerto de Santa María;El Puerto de Santa María;55123;16
70674;11020;(11020) Jerez de la Frontera;Jerez de la Frontera;55123;17
278910;11030;(11030) Rota;Rota;55123;18
278911;11032;(11032) Sanlúcar de Barrameda;Sanlúcar de Barrameda;55123;19
55111;11035;(11035) Tarifa;Tarifa;55123;20
55112;11039;(11039) Vejer de la Frontera;Vejer de la Frontera;55123;21
55113;14021;(14021) Córdoba;Córdoba;55123;22
838202;11033;(11033) San Roque;San Roque;55123;22
55114;18017;(18017) Almuñécar;Almuñécar;55123;23
55115;18087;(18087) Granada;Granada;55123;24
70676;18134;(18134) Monachil;Monachil;55123;25
70677;21005;(21005) Almonte;Almonte;55123;26
55221;21007;(21007) Aracena;Aracena;55123;27
70678;21010;(21010) Ayamonte;Ayamonte;55123;28
282055;21021;(21021) Cartaya;Cartaya;55123;29
70679;21041;(21041) Huelva;Huelva;55123;30
55117;21042;(21042) Isla Cristina;Isla Cristina;55123;31
70680;21044;(21044) Lepe;Lepe;55123;32
302612;21050;(21050) Moguer;Moguer;55123;33
269776;21060;(21060) Punta Umbría;Punta Umbría;55123;34
278109;23009;(23009) Baeza;Baeza;55123;35
70681;23028;(23028) Cazorla;Cazorla;55123;36
70682;23050;(23050) Jaén;Jaén;55123;38
269777;23047;(23047) La Iruela;La Iruela;55123;39
70683;23092;(23092) Ubeda;Ubeda;55123;40
70684;29015;(29015) Antequera;Antequera;55123;41
70685;29025;(29025) Benalmádena;Benalmádena;55123;42
70686;29051;(29051) Estepona;Estepona;55123;43
70687;29054;(29054) Fuengirola;Fuengirola;55123;44
70688;29067;(29067) Málaga;Málaga;55123;45
55120;29069;(29069) Marbella;Marbella;55123;46
70689;29075;(29075) Nerja;Nerja;55123;47
55121;29084;(29084) Ronda;Ronda;55123;48
70690;29901;(29901) Torremolinos;Torremolinos;55123;49
55122;29094;(29094) Velez Málaga;Velez Málaga;55123;50
70691;41091;(41091) Sevilla;Sevilla;55123;51
70692;NC;(NC) No consta;No consta;55123;52
_Z;No aplica;No aplica;No aplica;;
