ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
126;Total;(Total) CNAE09 (EPA1);CNAE09 (EPA1);;0
6949;00;(00) TOTAL;TOTAL;;1
6980;S1;(S1) Agricultura;Agricultura;6949;2
7057;S2;(S2) Industria;Industria;6949;3
7662;S3;(S3) Construcción;Construcción;6949;4
7715;S4;(S4) Servicios;Servicios;6949;5
6962;NP_1;(NP_1) No procede;No procede;6949;6
6956;NC_1;(NC_1) No consta;No consta;6949;7
6968;NS_1;(NS_1) No sabe;No sabe;6949;8
8450;SC_1;(SC_1) Sin clasificar;Sin clasificar;6949;9
8456;U+1_1;(U+1_1) Hace más de 1 año desde su último empleo;Hace más de 1 año desde su último empleo;6949;10
6950;BPE_1;(BPE_1) Busca primer empleo;Busca primer empleo;6949;11
6974;NTA_1;(NTA_1) No ha trabajado antes;No ha trabajado antes;6949;12
261718;U+3_1;(U+3_1) Hace más de tres años desde su último empleo;Hace más de tres años desde su último empleo;6949;13
6981;S10;(S10) Agricultura, ganadería, silvicultura y pesca;Agricultura, ganadería, silvicultura y pesca;6980;14
7056;A;(A) A. Agricultura, ganadería, silvicultura y pesca;A. Agricultura, ganadería, silvicultura y pesca;6981;30
7058;S20;"(S20) Industrias extractivas; Suministro de energía eléctrica, gas, vapor y aire acondicionado; Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación";"Industrias extractivas; Suministro de energía eléctrica, gas, vapor y aire acondicionado; Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación";7057;15
276449;CC;(CC) Industrial manufacturera;Industrial manufacturera;7057;16
7109;B;(B) B. Industrias extractivas;B. Industrias extractivas;7058;31
7627;D;(D) D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;7058;33
7661;E;(E) E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;7058;34
7605;C;(C) C. Industria manufacturera;C. Industria manufacturera;276449;0
7663;S30;(S30) Construcción;Construcción;7662;16
7714;F;(F) F. Construcción;F. Construcción;7663;35
7716;S41;"(S41) Comercio al por mayor y al por menor; Reparación de vehículos de motor y motocicletas; Transporte y almacenamiento; Hostelería";"Comercio al por mayor y al por menor; Reparación de vehículos de motor y motocicletas; Transporte y almacenamiento; Hostelería";7715;17
7889;S42;(S42) Información y comunicaciones;Información y comunicaciones;7715;18
276450;KK;(KK) Actividades financieras y de seguros;Actividades financieras y de seguros;7715;19
276451;LL;(LL) Actividades inmobiliarias;Actividades inmobiliarias;7715;20
8032;S43;"(S43) Actividades profesionales, científicas y técnicas; Actividades administrativas y servicios auxiliares";"Actividades profesionales, científicas y técnicas; Actividades administrativas y servicios auxiliares";7715;21
8256;S44;"(S44) Administración Pública y defensa; Seguridad social obligatoria; Educación; Actividades sanitarias y de servicios; Actividades de organizaciones y organismos extraterritoriales";"Administración Pública y defensa; Seguridad social obligatoria; Educación; Actividades sanitarias y de servicios; Actividades de organizaciones y organismos extraterritoriales";7715;22
