ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
887;Total;(Total) Nivel de formación CNED2014 (Extranjeros);Nivel de formación CNED2014 (Extranjeros);;0
61283;00;(00) TOTAL;TOTAL;;1
61298;A;(A) Primera etapa de educación secundaria e inferior;Primera etapa de educación secundaria e inferior;61283;2
61311;B;(B) Segunda etapa de educación secundaria y educación postsecundaria no superior;Segunda etapa de educación secundaria y educación postsecundaria no superior;61283;3
61332;C;(C) Educación superior;Educación superior;61283;4
61333;NC000;(NC000) No consta;No consta;61283;5
61337;NP000;(NP000) No procede;No procede;61283;6
61284;0;(0) Menos de primaria;Menos de primaria;61298;7
61288;1;(1) Educación primaria;Educación primaria;61298;8
61291;2;(2) Primera etapa de educación secundaria y similar;Primera etapa de educación secundaria y similar;61298;9
61287;AA;(AA) Menos de primaria;Menos de primaria;61284;18
61285;01;(01) Analfabetos;Analfabetos;61287;33
61290;AB;(AB) Educación primaria;Educación primaria;61288;19
61286;02;(02) Estudios primarios incompletos;Estudios primarios incompletos;61290;35
61289;10;(10) Educación primaria;Educación primaria;61290;36
61294;AC;(AC) Primera etapa de educación secundaria y similar, con orientación general;Primera etapa de educación secundaria y similar, con orientación general;61291;20
61297;AD;(AD) Primera etapa de educación secundaria y similar, con orientación profesional;Primera etapa de educación secundaria y similar, con orientación profesional;61291;21
61292;21;(21) Primera etapa de educación secundaria sin título de graduado en ESO y similar;Primera etapa de educación secundaria sin título de graduado en ESO y similar;61294;36
61293;22;(22) Primera etapa de educación secundaria con título de graduado en ESO y equivalentes;Primera etapa de educación secundaria con título de graduado en ESO y equivalentes;61294;37
61295;23;(23) Certificados de profesionalidad de nivel 1 y similares;Certificados de profesionalidad de nivel 1 y similares;61297;38
61296;24;(24) Certificados de profesionalidad de nivel 2 y similares;Certificados de profesionalidad de nivel 2 y similares;61297;39
61299;3;(3) Segunda etapa de educación secundaria y similar;Segunda etapa de educación secundaria y similar;61311;10
61308;4;(4) Educación postsecundaria no superior;Educación postsecundaria no superior;61311;11
61301;BE;(BE) Segunda etapa de educación secundaria, con orientación general;Segunda etapa de educación secundaria, con orientación general;61299;22
61303;BF;(BF) Segunda etapa de educación secundaria, con orientación profesional (y continuidad en la educación superior);Segunda etapa de educación secundaria, con orientación profesional (y continuidad en la educación superior);61299;23
61307;BG;(BG) Segunda etapa de educación secundaria, con orientación profesional (sin continuidad en la educación superior);Segunda etapa de educación secundaria, con orientación profesional (sin continuidad en la educación superior);61299;24
61300;32;(32) Bachillerato y similares;Bachillerato y similares;61301;40
61302;33;(33) Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado medio y similares;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado medio y similares;61303;41
61304;34;(34) Enseñanzas profesionales de música y danza y similares;Enseñanzas profesionales de música y danza y similares;61307;42
61305;35;(35) Certificados de las escuelas oficiales de idiomas de nivel avanzado y similares;Certificados de las escuelas oficiales de idiomas de nivel avanzado y similares;61307;43
61306;38;(38) Formación profesional básica;Formación profesional básica;61307;44
61310;BH;(BH) Educación postsecundaria no superior;Educación postsecundaria no superior;61308;25
61309;41;"(41) Certificados de profesionalidad de nivel 3; programas de corta duración que requieren segunda etapa de secundaria y similares";"Certificados de profesionalidad de nivel 3; programas de corta duración que requieren segunda etapa de secundaria y similares";61310;45
61312;5;"(5) Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años";"Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años";61332;12
61316;6;(6) Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;61332;13
61321;7;(7) Grados universitarios de más de 240 créditos ECTS, licenciados, másteres y especialidades en Ciencias de la Salud por el sistema de residencia, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados, másteres y especialidades en Ciencias de la Salud por el sistema de residencia, y similares;61332;14
61329;8;(8) Enseñanzas de doctorado;Enseñanzas de doctorado;61332;15
61315;CI;"(CI) Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años";"Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes; títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años";61312;26
61313;51;(51) Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;61315;46
61314;52;(52) Títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;61315;47
61320;CJ;(CJ) Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;61316;27
61317;61;(61) Grados universitarios de 240 créditos ECTS y equivalentes;Grados universitarios de 240 créditos ECTS y equivalentes;61320;48
61318;62;(62) Diplomados universitarios y equivalentes;Diplomados universitarios y equivalentes;61320;49
61319;63;(63) Títulos propios universitarios de experto o especialista, de menos de 60 créditos ECTS, cuyo acceso requiera ser titulado universitario;Títulos propios universitarios de experto o especialista, de menos de 60 créditos ECTS, cuyo acceso requiera ser titulado universitario;61320;50
61324;CK;(CK) Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;61321;28
