ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
87;TOTAL;(TOTAL) Ocupación (Nivel 1);Ocupación (Nivel 1);;0
6727;000;(000) TOTAL;TOTAL;;1
6038;1;(1) Directores y gerentes;Directores y gerentes;6727;1
6203;2;(2) Técnicos y profesionales científicos e intelectuales;Técnicos y profesionales científicos e intelectuales;6727;2
6333;3;"(3) Técnicos; profesionales de apoyo";"Técnicos; profesionales de apoyo";6727;3
6375;4;(4) Empleados contables, administrativos y otros empleados de oficina;Empleados contables, administrativos y otros empleados de oficina;6727;4
6463;5;(5) Trabajadores de los servicios de restauración, personales, protección y vendedores;Trabajadores de los servicios de restauración, personales, protección y vendedores;6727;5
6489;6;(6) Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;6727;6
6601;7;(7) Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);6727;7
6667;8;(8) Operadores de instalaciones y maquinaria, y montadores;Operadores de instalaciones y maquinaria, y montadores;6727;8
6726;9;(9) Ocupaciones elementales;Ocupaciones elementales;6727;9
5989;0;(0) Ocupaciones militares;Ocupaciones militares;6727;10
6736;NP000;(NP000) No procede;No procede;6727;11
6732;NC000;(NC000) No consta;No consta;6727;12
6728;BPE000;(BPE000) Busca primer empleo;Busca primer empleo;6727;13
6744;U+1000;(U+1000) Hace más de 1 año desde su último empleo;Hace más de 1 año desde su último empleo;6727;14
6740;NTA000;(NTA000) No ha trabajado antes;No ha trabajado antes;6727;15
261714;U+3000;(U+3000) Hace más de tres años desde su último empleo;Hace más de tres años desde su último empleo;6727;100
_Z;No aplica;No aplica;No aplica;;
