ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
350;Total;(Total) Situación de inactividad 1;Situación de inactividad 1;;0
47523;00;(00) TOTAL;TOTAL;;1
47522;990;(990) No refiere estado de inactividad;No refiere estado de inactividad;47523;1
47511;010;(010) Estudiante;Estudiante;47523;2
47515;020;(020) Jubilado, perceptor de pensión distinta de jubilación, incapacitado permanente;Jubilado, perceptor de pensión distinta de jubilación, incapacitado permanente;47523;3
47517;030;(030) Labores del hogar;Labores del hogar;47523;4
47520;040;(040) Realizó trabajos sin remuneración, otras;Realizó trabajos sin remuneración, otras;47523;5
47526;NP0;(NP0) No procede;No procede;47523;6
47524;NC0;(NC0) No consta;No consta;47523;7
47521;99;(99) No refiere estado de inactividad;No refiere estado de inactividad;47522;1
47510;01;(01) Estudiante;Estudiante;47511;1
47512;0201;(0201) Percibiendo una pensión de jubilación;Percibiendo una pensión de jubilación;47515;1
47513;0202;(0202) Incapacitado permanente;Incapacitado permanente;47515;2
47514;0203;(0203) Percibiendo pensión distinta a jubilación;Percibiendo pensión distinta a jubilación;47515;3
47516;03;(03) Labores del hogar;Labores del hogar;47517;1
47518;0401;(0401) Realizó trabajos sin remuneración;Realizó trabajos sin remuneración;47520;1
47519;0402;(0402) Otras;Otras;47520;2
47527;NP;(NP) No procede;No procede;47526;1
47525;NC;(NC) No consta;No consta;47524;1
_Z;No aplica;No aplica;No aplica;;
