ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
354;Total;(Total) Estructura del hogar;Estructura del hogar;;0
49007;00;(00) TOTAL;TOTAL;;1
48981;01;(01) Unipersonales;Unipersonales;49007;1
48983;020;(020) Sin núcleo;Sin núcleo;49007;2
48989;03;(03) Monoparental;Monoparental;49007;3
48992;04;(04) Pareja sin hijos;Pareja sin hijos;49007;4
48994;050;(050) Pareja sin hijos + otros;Pareja sin hijos + otros;49007;5
49000;06;(06) Pareja con hijos;Pareja con hijos;49007;6
49006;07;(07) Pareja con hijos y otros;Pareja con hijos y otros;49007;7
49008;NC0;(NC0) No consta;No consta;49007;8
48978;0101;(0101) 15-29 años;15-29 años;48981;1
48979;0102;(0102) 30-64 años;30-64 años;48981;2
48980;0103;(0103) 65 y más años;65 y más años;48981;3
48982;02;(02) Sin núcleo;Sin núcleo;48983;1
48984;0301;(0301) Hijo menor de 3 años;Hijo menor de 3 años;48989;1
48985;0302;(0302) Hijo 3-5 años;Hijo 3-5 años;48989;2
48986;0303;(0303) Hijo 6-15 años;Hijo 6-15 años;48989;3
48987;0304;(0304) Hijo 16-22 años;Hijo 16-22 años;48989;4
48988;0305;(0305) Hijo 23 y más años;Hijo 23 y más años;48989;5
48990;0401;(0401) Con mujer menor de 50 años;Con mujer menor de 50 años;48992;1
48991;0402;(0402) Sin mujer menor de 50 años;Sin mujer menor de 50 años;48992;2
48993;05;(05) Pareja sin hijos + otros;Pareja sin hijos + otros;48994;1
48995;0601;(0601) Hijo menor de 3 años;Hijo menor de 3 años;49000;1
48996;0602;(0602) Hijo 3-5 años;Hijo 3-5 años;49000;2
48997;0603;(0603) Hijo 6-15 años;Hijo 6-15 años;49000;3
48998;0604;(0604) Hijo 16-22 años;Hijo 16-22 años;49000;4
48999;0605;(0605) Hijo 23 y más años;Hijo 23 y más años;49000;5
49001;0701;(0701) Hijo menor de 3 años y otros;Hijo menor de 3 años y otros;49006;1
49002;0702;(0702) Hijo 3-5 años y otros;Hijo 3-5 años y otros;49006;2
49003;0703;(0703) Hijo 6-15 años y otros;Hijo 6-15 años y otros;49006;3
49004;0704;(0704) Hijo 16-22 años y otros;Hijo 16-22 años y otros;49006;4
49005;0705;(0705) Hijo 23 y más años y otros;Hijo 23 y más años y otros;49006;5
49009;NC;(NC) No consta;No consta;49008;1
_Z;No aplica;No aplica;No aplica;;
