ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
352;Total;(Total) Relación con la actividad;Relación con la actividad;;0
48952;00;(00) Población;Población;;1
48940;01;(01) Activos;Activos;48952;1
48946;02;(02) Inactivos;Inactivos;48952;2
48951;03;(03) Población contada aparte;Población contada aparte;48952;3
48953;NP00;(NP00) No procede;No procede;48952;4
48936;0101;(0101) Ocupados;Ocupados;48940;1
48939;0102;(0102) Parados;Parados;48940;2
48934;010101;(010101) Ocupados subempleados;Ocupados subempleados;48936;1
48935;010102;(010102) Resto de ocupados;Resto de ocupados;48936;2
48937;010201;(010201) Parados que buscan 1er empleo;Parados que buscan 1er empleo;48939;1
48938;010202;(010202) Parados que han trabajado antes;Parados que han trabajado antes;48939;2
48943;0201;(0201) Activos potenciales;Activos potenciales;48946;1
48945;0202;(0202) Inactivos3;Inactivos3;48946;2
48941;020101;(020101) Desanimados;Desanimados;48943;1
48942;020102;(020102) Resto de activos potenciales;Resto de activos potenciales;48943;2
48944;020201;(020201) Inactivos3;Inactivos3;48945;1
48948;0000010;(0000010) Población contada aparte que trabaja;Población contada aparte que trabaja;48951;1
48950;0000020;(0000020) Población contada aparte que no trabaja;Población contada aparte que no trabaja;48951;2
48947;000001;(000001) Población contada aparte que trabaja;Población contada aparte que trabaja;48948;1
48949;000002;(000002) Población contada aparte que no trabaja;Población contada aparte que no trabaja;48950;1
48954;NP0;(NP0) No procede;No procede;48953;1
48955;NP;(NP) No procede;No procede;48954;1
_Z;No aplica;No aplica;No aplica;;
