ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
355;Total;(Total) Tipología de la actividad del hogar;Tipología de la actividad del hogar;;0
49023;00;(00) TOTAL;TOTAL;;1
49014;01;(01) Hogares inactivos;Hogares inactivos;49023;1
49017;02;(02) Hogares ocupados;Hogares ocupados;49023;2
49022;03;(03) Hogares parados;Hogares parados;49023;3
49024;NC0;(NC0) No consta;No consta;49023;4
49010;0101;(0101) Inactivos sin ingresos;Inactivos sin ingresos;49014;1
49011;0102;(0102) Inactivos con prestaciones por desempleo;Inactivos con prestaciones por desempleo;49014;2
49012;0103;(0103) Inactivos con prestaciones y pensiones;Inactivos con prestaciones y pensiones;49014;3
49013;0104;(0104) Inactivos con pensiones;Inactivos con pensiones;49014;4
49015;0201;(0201) Ocupados sin parados;Ocupados sin parados;49017;1
49016;0202;(0202) Ocupados y parados;Ocupados y parados;49017;2
49018;0301;(0301) Parados sin ocupados, con prestaciones por desempleo;Parados sin ocupados, con prestaciones por desempleo;49022;1
49019;0302;(0302) Parados sin ocupados, con prestaciones y pensiones;Parados sin ocupados, con prestaciones y pensiones;49022;2
49020;0303;(0303) Parados sin ocupados con pensiones;Parados sin ocupados con pensiones;49022;3
49021;0304;(0304) Parados sin ingresos;Parados sin ingresos;49022;4
49025;NC;(NC) No consta;No consta;49024;1
_Z;No aplica;No aplica;No aplica;;
