ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
81;TOTAL;(TOTAL) Relación con la actividad (discapacidad);Relación con la actividad (discapacidad);;0
5883;00;(00) TOTAL;TOTAL;;1
5870;1;(1) Activos;Activos;5883;1
5882;2;(2) Inactivos;Inactivos;5883;2
5865;10;(10) Ocupados;Ocupados;5870;1
5869;11;(11) Parados;Parados;5870;2
5861;101;(101) Asalariados;Asalariados;5865;1
5864;102;(102) No asalariados;No asalariados;5865;2
5860;01_01;(01_01) Asalariados;Asalariados;5861;1
5862;01_02;(01_02) Trabajadores por cuenta propia;Trabajadores por cuenta propia;5864;1
5863;01_03;(01_03) Otros ocupados;Otros ocupados;5864;2
5868;111;(111) Parados;Parados;5869;1
5866;02_01;(02_01) Parados que buscan primer empleo;Parados que buscan primer empleo;5868;1
5867;02_02;(02_02) Otros parados;Otros parados;5868;2
5881;21;(21) Inactivos;Inactivos;5882;1
5872;211;(211) Estudiantes;Estudiantes;5881;1
5874;212;(212) Jubilados;Jubilados;5881;2
5876;213;(213) Labores del hogar;Labores del hogar;5881;3
5878;214;(214) Incapacidad para trabajar;Incapacidad para trabajar;5881;4
5880;215;(215) Otros inactivos;Otros inactivos;5881;5
5871;03_01;(03_01) Estudiantes;Estudiantes;5872;1
5873;03_02;(03_02) Jubilados;Jubilados;5874;1
5875;03_03;(03_03) Labores del hogar;Labores del hogar;5876;1
5877;03_04;(03_04) Incapacidad para trabajar;Incapacidad para trabajar;5878;1
5879;03_05;(03_05) Otros inactivos;Otros inactivos;5880;1
