ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;;() Territorio planificación (Países);Territorio planificación (Países);;0
3676;P4_00;(00) TOTAL;TOTAL;;1
2240;P3_108;(108) España;España;3676;2
3675;P3_66;(66) Extranjero;Extranjero;3676;3
3683;P3_NP000;(NP000) No procede;No procede;3676;4
3677;P3_NC000;(NC000) No consta;No consta;3676;5
3143;P2_C01;(C01) Andalucía;Andalucía;2240;6
2352;P1_04;(04) Almería;Almería;3143;16
2402;P1_11;(11) Cádiz;Cádiz;3143;17
2482;P1_14;(14) Córdoba;Córdoba;3143;18
2713;P1_18;(18) Granada;Granada;3143;19
2797;P1_21;(21) Huelva;Huelva;3143;20
2911;P1_23;(23) Jaén;Jaén;3143;21
3023;P1_29;(29) Málaga;Málaga;3143;22
3142;P1_41;(41) Sevilla;Sevilla;3143;23
2349;04NC;(04NC) Municipio de Almería sin especificar;Municipio de Almería sin especificar;2352;61
2399;11NC;(11NC) Municipio de Cádiz sin especificar;Municipio de Cádiz sin especificar;2402;62
2479;14NC;(14NC) Municipio de Córdoba sin especificar;Municipio de Córdoba sin especificar;2482;63
2710;18NC;(18NC) Municipio de Granada sin especificar;Municipio de Granada sin especificar;2713;64
2794;21NC;(21NC) Municipio de Huelva sin especificar;Municipio de Huelva sin especificar;2797;65
2908;23NC;(23NC) Municipio de Jaén sin especificar;Municipio de Jaén sin especificar;2911;66
3020;29NC;(29NC) Municipio de Málaga sin especificar;Municipio de Málaga sin especificar;3023;67
3139;41NC;(41NC) Municipio de Sevilla sin especificar;Municipio de Sevilla sin especificar;3142;68
3403;P2_6601;(6601) Europa;Europa;3675;7
3481;P2_6602;(6602) África;África;3675;8
3545;P2_6603;(6603) América;América;3675;9
3614;P2_6604;(6604) Asia;Asia;3675;10
3664;P2_6605;(6605) Oceanía;Oceanía;3675;11
3669;P2_66555;(66555) Apátridas;Apátridas;3675;12
3674;P2_66NC00;(66NC00) No consta;No consta;3675;13
3375;P1_0101;(0101) Unión Europea;Unión Europea;3403;24
3402;P1_0102;(0102) Resto de Países Europeos;Resto de Países Europeos;3403;25
273834;UE27NRU;(UE27NRU) Unión Europea 27 (desde 2020);Unión Europea 27 (desde 2020);3375;69
273823;UE28;(UE28) Unión Europea 28 (2013-2020);Unión Europea 28 (2013-2020);3375;70
273839;UE27;(UE27) Unión Europea 27 (2007-2013);Unión Europea 27 (2007-2013);3375;71
273840;EA19;(EA19) Zona Euro 19 (desde 2015);Zona Euro 19 (desde 2015);3375;72
273841;EA18;(EA18) Zona Euro 18 (2014);Zona Euro 18 (2014);3375;73
