ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3754;Total;(Total) Sector de actividad-CNAE;Sector de actividad-CNAE;;0
273721;00;(00) TOTAL;TOTAL;;1
273722;10;(10) Agricultura;Agricultura;273721;1
273723;20;(20) Industria;Industria;273721;2
273724;30;(30) Construcción;Construcción;273721;3
273725;40;(40) Servicios públicos;Servicios públicos;273721;4
273726;50;(50) Otros;Otros;273721;5
273727;NA0;(NA0) No consta;No consta;273721;6
273728;1;(1) Agricultura;Agricultura;273722;1
273729;2;(2) Industria;Industria;273723;2
273730;3;(3) Construcción;Construcción;273724;3
273732;5;(5) Servicios públicos;Servicios públicos;273725;1
273733;4;(4) Comercio y hostelería;Comercio y hostelería;273726;1
273734;6;(6) Otros;Otros;273726;2
273735;;(NA) No consta;No consta;273727;1
_Z;No aplica;No aplica;No aplica;;
