ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3756;Total;(Total) Tipo de hogar (MCVL);Tipo de hogar (MCVL);;0
273747;00;(00) TOTAL;TOTAL;;1
273748;10;(10) Hogares con un único adulto (16+);Hogares con un único adulto (16+);273747;1
273749;20;(20) Hogares con dos adultos (16+);Hogares con dos adultos (16+);273747;2
273750;30;(30) Hogares con tres o más adultos (16+);Hogares con tres o más adultos (16+);273747;3
273861;NA0;(NA0) No consta;No consta;273747;4
273751;1;(1) Un adulto solo, edad 16-64                       ;Un adulto solo, edad 16-64                       ;273748;1
273752;2;(2) Un adulto solo, edad 65+                         ;Un adulto solo, edad 65+                         ;273748;2
273753;3;(3) Un adulto con niños (menores de 16)              ;Un adulto con niños (menores de 16)              ;273748;3
273754;4;(4) Dos adultos solos, ambos de edad 16-64            ;Dos adultos solos, ambos de edad 16-64            ;273749;4
273755;5;(5) Dos adultos solos, al menos uno de edad 65+       ;Dos adultos solos, al menos uno de edad 65+       ;273749;5
273756;6;(6) Dos adultos con niños. Edad del más jóven 0-4 años;Dos adultos con niños. Edad del más jóven 0-4 años;273749;6
273757;7;(7) Dos adultos con niños. Edad del más jóven 5-15 año;Dos adultos con niños. Edad del más jóven 5-15 año;273749;7
273758;8;(8) Tres o más adultos solos                           ;Tres o más adultos solos                           ;273750;8
273759;9;(9) Tres o más adultos, con niños (menores de 16);Tres o más adultos, con niños (menores de 16);273750;9
273862;;(NA) No consta;No consta;273861;1
_Z;No aplica;No aplica;No aplica;;
