ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
511;TOTAL;(TOTAL) Tipo de pensión (MCVL);Tipo de pensión (MCVL);;0
55193;00;(00) TOTAL;TOTAL;;1
55189;14;(14) Un único tipo de prestación;Un único tipo de prestación;55193;1
55192;56;(56) Dos o más tipos de prestación;Dos o más tipos de prestación;55193;2
55194;NA0;(NA0) No pensionista;No pensionista;55193;3
55185;1;(1) Incapacidad;Incapacidad;55189;1
55186;2;(2) Jubilación;Jubilación;55189;2
55187;3;(3) Viudedad;Viudedad;55189;3
55188;4;(4) Orfandad y a favor de familiares;Orfandad y a favor de familiares;55189;4
55190;5;(5) Jubilación y viudedad;Jubilación y viudedad;55192;5
55191;6;(6) Otras combinaciones de dos o más tipos de prestación;Otras combinaciones de dos o más tipos de prestación;55192;6
55195;;(NA) No pensionista;No pensionista;55194;7
_Z;No aplica;No aplica;No aplica;;
