ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
1137;;() Multiplicidad;Multiplicidad;;0
69549;00;(00) TOTAL;TOTAL;;1
69536;001;(001) Secillo;Secillo;69549;1
69548;002;(002) Múltiple;Múltiple;69549;2
69535;1;(1) Sencillos;Sencillos;69536;1
69533;01;(01) Sencillo:1 Niño;Sencillo:1 Niño;69535;1
69534;02;(02) Sencillo:1 Niña;Sencillo:1 Niña;69535;2
69540;2;(2) Dobles;Dobles;69548;2
69545;3;(3) Triples;Triples;69548;3
69547;4;(4) Cuádruples y más;Cuádruples y más;69548;4
69537;03;(03) Doble:2 Niños;Doble:2 Niños;69540;1
69538;04;(04) Doble:1 Niño y 1 Niña;Doble:1 Niño y 1 Niña;69540;2
69539;05;(05) Doble:2 Niñas;Doble:2 Niñas;69540;3
69541;06;(06) Triple:3 Niños;Triple:3 Niños;69545;1
69542;07;(07) Triple:2 Niños y 1 Niña;Triple:2 Niños y 1 Niña;69545;2
69543;08;(08) Triple:2 Niñas y 1 Niño;Triple:2 Niñas y 1 Niño;69545;3
69544;09;(09) Triple:3 Niñas;Triple:3 Niñas;69545;4
69546;10;(10) Cuádruples o más;Cuádruples o más;69547;1
_Z;No aplica;No aplica;No aplica;;
