ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
24;;() Edad;Edad;;0
4306;00;(00) TOTAL;TOTAL;;1
4172;000014;(000014) De 0 a 14 años;De 0 a 14 años;4306;1
4191;015029;(015029) De 15 a 29 años;De 15 a 29 años;4306;2
4210;030044;(030044) De 30 a 44 años;De 30 a 44 años;4306;3
4235;045064;(045064) De 45 a 64 años;De 45 a 64 años;4306;4
4305;065100;(065100) De 65 y más años;De 65 y más años;4306;5
4310;NP00;(NP00) No procede;No procede;4306;6
4307;NC00;(NC00) No consta;No consta;4306;7
4313;NS00;(NS00) No sabe;No sabe;4306;8
4159;000004;(000004) De 0 a 4 años;De 0 a 4 años;4172;1
4165;005009;(005009) De 5 a 9 años;De 5 a 9 años;4172;2
4171;010014;(010014) De 10 a 14 años;De 10 a 14 años;4172;3
4154;0;(0) De 0 años;De 0 años;4159;1
4155;1;(1) De 1 años;De 1 años;4159;2
4156;2;(2) De 2 años;De 2 años;4159;3
4157;3;(3) De 3 años;De 3 años;4159;4
4158;4;(4) De 4 años;De 4 años;4159;5
4160;5;(5) De 5 años;De 5 años;4165;1
4161;6;(6) De 6 años;De 6 años;4165;2
4162;7;(7) De 7 años;De 7 años;4165;3
4163;8;(8) De 8 años;De 8 años;4165;4
4164;9;(9) De 9 años;De 9 años;4165;5
4166;10;(10) De 10 años;De 10 años;4171;1
4167;11;(11) De 11 años;De 11 años;4171;2
4168;12;(12) De 12 años;De 12 años;4171;3
4169;13;(13) De 13 años;De 13 años;4171;4
4170;14;(14) De 14 años;De 14 años;4171;5
4178;015019;(015019) De 15 a 19 años;De 15 a 19 años;4191;1
4184;020024;(020024) De 20 a 24 años;De 20 a 24 años;4191;2
4190;025029;(025029) De 25 a 29 años;De 25 a 29 años;4191;3
4173;15;(15) De 15 años;De 15 años;4178;1
4174;16;(16) De 16 años;De 16 años;4178;2
4175;17;(17) De 17 años;De 17 años;4178;3
4176;18;(18) De 18 años;De 18 años;4178;4
4177;19;(19) De 19 años;De 19 años;4178;5
4179;20;(20) De 20 años;De 20 años;4184;1
4180;21;(21) De 21 años;De 21 años;4184;2
4181;22;(22) De 22 años;De 22 años;4184;3
4182;23;(23) De 23 años;De 23 años;4184;4
4183;24;(24) De 24 años;De 24 años;4184;5
4185;25;(25) De 25 años;De 25 años;4190;1
