ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
481;;() Lugar de nacimiento (Pob Ext);Lugar de nacimiento (Pob Ext);;0
54888;00;(00) TOTAL;TOTAL;;1
54887;66;(66) Extranjero;Extranjero;54888;2
54893;NP000;(NP000) No procede;No procede;54888;3
54889;NC000;(NC000) No consta;No consta;54888;4
54682;6601;(6601) Europa;Europa;54887;5
54745;6602;(6602) África;África;54887;6
54795;6603;(6603) América;América;54887;7
54852;6604;(6604) Asia;Asia;54887;8
54880;6605;(6605) Oceanía;Oceanía;54887;9
54883;66555;(66555) Apátridas;Apátridas;54887;10
54886;66NC00;(66NC00) Extranjero;Extranjero;54887;11
261754;0103;(0103) UE15;UE15;54682;0
54681;0102;(0102) Resto de Europa;Resto de Europa;54682;15
54646;126;(126) Alemania;Alemania;261754;0
54629;102;(102) Austria;Austria;261754;1
54630;103;(103) Bélgica;Bélgica;261754;2
54633;107;(107) Dinamarca;Dinamarca;261754;3
54634;109;(109) Finlandia;Finlandia;261754;4
54635;110;(110) Francia;Francia;261754;5
54636;111;(111) Grecia;Grecia;261754;6
54638;113;(113) Irlanda;Irlanda;261754;7
54639;115;(115) Italia;Italia;261754;8
54640;117;(117) Luxemburgo;Luxemburgo;261754;9
54642;121;(121) Países Bajos;Países Bajos;261754;10
54644;123;(123) Portugal;Portugal;261754;11
54645;125;(125) Reino Unido;Reino Unido;261754;12
54648;131;(131) Suecia;Suecia;261754;13
54631;104;(104) Bulgaria;Bulgaria;54681;77
54632;106;(106) Chipre;Chipre;54681;78
54653;144;(144) República Eslovaca;República Eslovaca;54681;79
54655;147;(147) Eslovenia;Eslovenia;54681;80
54650;141;(141) Estonia;Estonia;54681;81
54637;112;(112) Hungría;Hungría;54681;82
54649;136;(136) Letonia;Letonia;54681;83
54651;142;(142) Lituania;Lituania;54681;84
54641;118;(118) Malta;Malta;54681;85
54643;122;(122) Polonia;Polonia;54681;86
54652;143;(143) República Checa;República Checa;54681;87
54647;128;(128) Rumanía;Rumanía;54681;88
54654;146;(146) Croacia;Croacia;54681;89
54660;114;(114) Islandia;Islandia;54681;90
54663;120;(120) Noruega;Noruega;54681;91
54675;154;(154) Rusia;Rusia;54681;92
54667;132;(132) Suiza;Suiza;54681;93
54676;155;(155) Serbia y Montenegro;Serbia y Montenegro;54681;94
54658;101;(101) Albania;Albania;54681;95
54664;124;(124) Andorra;Andorra;54681;96
54674;148;(148) Armenia;Armenia;54681;97
54671;138;(138) Belarus;Belarus;54681;98
54673;145;(145) Bosnia-Herzegovina;Bosnia-Herzegovina;54681;99
54672;139;(139) Georgia;Georgia;54681;100
54661;116;(116) Liechtenstein;Liechtenstein;54681;101
54677;156;(156) Macedonia;Macedonia;54681;102
54670;137;(137) Moldava;Moldava;54681;103
54662;119;(119) Mónaco;Mónaco;54681;104
54665;129;(129) San Marino;San Marino;54681;105
54666;130;(130) Santa Sede;Santa Sede;54681;106
54669;135;(135) Ucrania;Ucrania;54681;107
54680;199;(199) Países de Europa sin relaciones diplomáticas;Países de Europa sin relaciones diplomáticas;54681;108
54657;001;(001) País de Europa no determinado;País de Europa no determinado;54681;109
54678;157;(157) Serbia;Serbia;54681;110
54679;158;(158) Montenegro;Montenegro;54681;111
54659;105;(105) Checoslovaquia;Checoslovaquia;54681;112
54668;133;(133) U.R.S.S. Unión Soviética;U.R.S.S. Unión Soviética;54681;113
54744;660206;(660206) África;África;54745;21
54683;203;(203) Argelia;Argelia;54744;106
54685;213;(213) Egipto;Egipto;54744;107
54687;228;(228) Marruecos;Marruecos;54744;108
54689;234;(234) Nigeria;Nigeria;54744;109
54691;248;(248) Túnez;Túnez;54744;110
54738;250;(250) República Democrática del Congo;República Democrática del Congo;54744;111
54695;202;(202) Angola;Angola;54744;112
54696;204;(204) Benin;Benin;54744;113
54697;205;(205) Botswana;Botswana;54744;114
54694;201;(201) Burkina Faso;Burkina Faso;54744;115
54698;206;(206) Burundi;Burundi;54744;116
54699;207;(207) Cabo Verde;Cabo Verde;54744;117
54700;208;(208) Camerún;Camerún;54744;118
54735;246;(246) Chad;Chad;54744;119
54701;209;(209) Comores;Comores;54744;120
54702;210;(210) Congo;Congo;54744;121
54703;211;(211) Costa de Marfil;Costa de Marfil;54744;122
54704;212;(212) Djibouti;Djibouti;54744;123
54741;253;(253) Eritrea;Eritrea;54744;124
54705;214;(214) Etiopía;Etiopía;54744;125
54706;215;(215) Gabón;Gabón;54744;126
54707;216;(216) Gambia;Gambia;54744;127
54708;217;(217) Ghana;Ghana;54744;128
54709;218;(218) Guinea;Guinea;54744;129
54710;219;(219) Guinea Bissau;Guinea Bissau;54744;130
54711;220;(220) Guinea Ecuatorial;Guinea Ecuatorial;54744;131
54712;221;(221) Kenia;Kenia;54744;132
54713;222;(222) Lesotho;Lesotho;54744;133
54714;223;(223) Liberia;Liberia;54744;134
54715;224;(224) Libia;Libia;54744;135
54716;225;(225) Madagascar;Madagascar;54744;136
54717;226;(226) Malawi;Malawi;54744;137
54718;227;(227) Mali;Mali;54744;138
54719;229;(229) Mauricio;Mauricio;54744;139
54720;230;(230) Mauritania;Mauritania;54744;140
54721;231;(231) Mozambique;Mozambique;54744;141
54722;232;(232) Namibia;Namibia;54744;142
54723;233;(233) Níger;Níger;54744;143
54724;235;(235) República Centroafricana;República Centroafricana;54744;144
54726;237;(237) Ruanda;Ruanda;54744;145
54727;238;(238) Santo Tomé y Príncipe;Santo Tomé y Príncipe;54744;146
54728;239;(239) Senegal;Senegal;54744;147
54729;240;(240) Seychelles;Seychelles;54744;148
54730;241;(241) Sierra Leona;Sierra Leona;54744;149
54731;242;(242) Somalia;Somalia;54744;150
54725;236;(236) Sudáfrica;Sudáfrica;54744;151
54732;243;(243) Sudán;Sudán;54744;152
54733;244;(244) Swazilandia;Swazilandia;54744;153
54734;245;(245) Tanzania;Tanzania;54744;154
54736;247;(247) Togo;Togo;54744;155
54737;249;(249) Uganda;Uganda;54744;156
54739;251;(251) Zambia;Zambia;54744;157
54740;252;(252) Zimbabwe;Zimbabwe;54744;158
54743;299;(299) Países de Africa sin relación diplomática;Países de Africa sin relación diplomática;54744;159
54693;004;(004) País de Africa no determinado;País de Africa no determinado;54744;160
54742;254;(254) Sudán del Sur;Sudán del Sur;54744;161
54767;660301;(660301) América Central;América Central;54795;22
54771;660302;(660302) América del Norte;América del Norte;54795;23
54786;660303;(660303) América del Sur;América del Sur;54795;24
54788;660304;(660304) Países de América sin relación diplomática;Países de América sin relación diplomática;54795;25
54751;315;(315) Cuba;Cuba;54767;157
54762;326;(326) República Dominicana;República Dominicana;54767;158
54746;310;(310) Antigua y Barbuda;Antigua y Barbuda;54767;159
54747;311;(311) Bahamas;Bahamas;54767;160
54748;312;(312) Barbados;Barbados;54767;161
54749;313;(313) Belice;Belice;54767;162
54750;314;(314) Costa Rica;Costa Rica;54767;163
54752;316;(316) Dominica;Dominica;54767;164
54753;317;(317) El Salvador;El Salvador;54767;165
54754;318;(318) Granada;Granada;54767;166
54755;319;(319) Guatemala;Guatemala;54767;167
54756;320;(320) Haití;Haití;54767;168
54757;321;(321) Honduras;Honduras;54767;169
54758;322;(322) Jamaica;Jamaica;54767;170
54759;323;(323) Nicaragua;Nicaragua;54767;171
54760;324;(324) Panamá;Panamá;54767;172
54761;325;(325) San Vicente y las Granadinas;San Vicente y las Granadinas;54767;173
54765;329;(329) San Cristóbal y Nieves;San Cristóbal y Nieves;54767;174
54764;328;(328) Santa Lucía;Santa Lucía;54767;175
54763;327;(327) Trinidad y Tobago;Trinidad y Tobago;54767;176
54766;390;(390) Puerto Rico;Puerto Rico;54767;177
54789;3331;(3331) Otros países y terrirorios dependientes en América Central y Caribe;Otros países y terrirorios dependientes en América Central y Caribe;54767;178
54768;301;(301) Canadá;Canadá;54771;178
54769;302;(302) Estados Unidos de América;Estados Unidos de América;54771;179
54770;303;(303) México;México;54771;180
54791;3332;(3332) Territorios dependientes en América del Norte;Territorios dependientes en América del Norte;54771;181
54772;340;(340) Argentina;Argentina;54786;181
54774;342;(342) Brasil;Brasil;54786;182
54783;351;(351) Venezuela;Venezuela;54786;183
54773;341;(341) Bolivia;Bolivia;54786;184
54776;344;(344) Chile;Chile;54786;185
54775;343;(343) Colombia;Colombia;54786;186
54777;345;(345) Ecuador;Ecuador;54786;187
54778;346;(346) Guyana;Guyana;54786;188
54779;347;(347) Paraguay;Paraguay;54786;189
54780;348;(348) Perú;Perú;54786;190
54781;349;(349) Surinam;Surinam;54786;191
54782;350;(350) Uruguay;Uruguay;54786;192
54784;391;(391) Aruba;Aruba;54786;193
54785;392;(392) Antillas Neerlandesas;Antillas Neerlandesas;54786;194
54793;3333;(3333) Otros países y terrirorios dependientes en Sudamérica;Otros países y terrirorios dependientes en Sudamérica;54786;195
54787;399;(399) Países de América sin relación diplomática;Países de América sin relación diplomática;54788;195
54851;660406;(660406) Asia;Asia;54852;34
54796;409;(409) Filipinas;Filipinas;54851;204
54798;415;(415) Japón;Japón;54851;205
54800;410;(410) India;India;54851;206
54802;411;(411) Indonesia;Indonesia;54851;207
54804;426;(426) Pakistán;Pakistán;54851;208
54806;401;(401) Afganistán;Afganistán;54851;209
54807;402;(402) Arabia Saudita;Arabia Saudita;54851;210
54840;442;(442) Azerbaiyán;Azerbaiyán;54851;211
54808;403;(403) Bahrein;Bahrein;54851;212
54809;404;(404) Bangladesh;Bangladesh;54851;213
54810;405;(405) Myanmar;Myanmar;54851;214
54837;439;(439) Brunei;Brunei;54851;215
54818;417;(417) Camboya;Camboya;54851;216
54812;407;(407) China;China;54851;217
54813;408;(408) Emiratos Árabes Unidos;Emiratos Árabes Unidos;54851;218
54814;412;(412) Irak;Irak;54851;219
54815;413;(413) Irán;Irán;54851;220
54838;440;(440) Islas Marshall;Islas Marshall;54851;221
54816;414;(414) Israel;Israel;54851;222
54817;416;(416) Jordania;Jordania;54851;223
54841;443;(443) Kazajstán;Kazajstán;54851;224
54844;444;(444) Kirgyistán;Kirgyistán;54851;225
54819;418;(418) Kuwait;Kuwait;54851;226
54820;419;(419) Laos;Laos;54851;227
54821;420;(420) Líbano;Líbano;54851;228
54822;421;(421) Malasia;Malasia;54851;229
54823;422;(422) Maldivas;Maldivas;54851;230
54824;423;(423) Mongolia;Mongolia;54851;231
54825;424;(424) Nepal;Nepal;54851;232
54826;425;(425) Omán;Omán;54851;233
54850;600;(600) Palestina;Palestina;54851;234
54827;427;(427) Qatar;Qatar;54851;235
54828;430;(430) República de Corea;República de Corea;54851;236
54829;431;(431) República Popular de Corea del Norte;República Popular de Corea del Norte;54851;237
54830;432;(432) Singapur;Singapur;54851;238
54831;433;(433) Siria;Siria;54851;239
54832;434;(434) Sri Lanka;Sri Lanka;54851;240
54833;435;(435) Tailandia;Tailandia;54851;241
54845;445;(445) Tadykistan;Tadykistan;54851;242
54846;446;(446) Turkmenistán;Turkmenistán;54851;243
54834;436;(436) Turquía;Turquía;54851;244
54836;438;(438) Taiwán;Taiwán;54851;245
54847;447;(447) Uzbekistán;Uzbekistán;54851;246
54835;437;(437) Vietnám;Vietnám;54851;247
54839;441;(441) Yemen;Yemen;54851;248
54811;406;(406) Bután;Bután;54851;249
54849;499;(499) Países de Asia sin relación diplomática;Países de Asia sin relación diplomática;54851;250
