ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
23;;() Nacionalidad extranjera continente y país;Nacionalidad extranjera continente y país;;0
4780;2;(2) TOTAL;TOTAL;;1
4442;01;(01) Europa;Europa;4780;4
4560;02;(02) África;África;4780;5
4616;03;(03) América;América;4780;6
4718;04;(04) Asia;Asia;4780;7
4767;05;(05) Oceanía;Oceanía;4780;8
4771;06;(06) Apátridas;Apátridas;4780;9
4779;966000;(966000) Antiguos territorios españoles;Antiguos territorios españoles;4780;10
4775;07000;(07000) Antártida;Antártida;4780;11
4788;NP000;(NP000) No procede;No procede;4780;12
4783;NC000;(NC000) No consta;No consta;4780;13
4363;0101;(0101) Unión Europea (27);Unión Europea (27);4442;14
4441;0103;(0103) Resto de Nacionalidades Europeas;Resto de Nacionalidades Europeas;4442;16
4336;010101;(010101) Unión Europea (15);Unión Europea (15);4363;57
4365;010201;(010201) Resto (UE27);Resto (UE27);4363;58
4335;126;(126) Alemania;Alemania;4336;243
4337;102;(102) Austria;Austria;4336;244
4339;103;(103) Bélgica;Bélgica;4336;245
4341;107;(107) Dinamarca;Dinamarca;4336;246
4343;109;(109) Finlandia;Finlandia;4336;247
4345;110;(110) Francia;Francia;4336;248
4347;111;(111) Grecia;Grecia;4336;249
4349;121;(121) Países Bajos;Países Bajos;4336;250
4351;113;(113) Irlanda;Irlanda;4336;251
4353;115;(115) Italia;Italia;4336;252
4355;117;(117) Luxemburgo;Luxemburgo;4336;253
4357;123;(123) Portugal;Portugal;4336;254
4359;125;(125) Reino Unido;Reino Unido;4336;255
4361;131;(131) Suecia;Suecia;4336;256
4378;128;(128) Rumanía;Rumanía;4365;257
4405;106;(106) Chipre;Chipre;4365;258
4366;144;(144) Eslovaquia;Eslovaquia;4365;260
4409;147;(147) Eslovenia;Eslovenia;4365;261
4411;141;(141) Estonia;Estonia;4365;262
4368;112;(112) Hungría;Hungría;4365;263
4415;136;(136) Letonia;Letonia;4365;264
4419;142;(142) Lituania;Lituania;4365;265
4423;118;(118) Malta;Malta;4365;266
4374;122;(122) Polonia;Polonia;4365;267
4376;143;(143) República Checa;República Checa;4365;268
4364;104;(104) Bulgaria;Bulgaria;4365;269
4396;010301;(010301) Resto de Nacionalidades Europeas;Resto de Nacionalidades Europeas;4441;85
4395;101;(101) Albania;Albania;4396;273
4397;124;(124) Andorra;Andorra;4396;274
4399;148;(148) Armenia;Armenia;4396;275
4401;138;(138) Bielorrusia;Bielorrusia;4396;276
4403;145;(145) Bosnia-Herzegovina;Bosnia-Herzegovina;4396;277
4407;146;(146) Croacia;Croacia;4396;278
4413;139;(139) Georgia;Georgia;4396;279
4370;114;(114) Islandia;Islandia;4396;280
