ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
4696;Total;(Total) Variable;Variable;;0
281595;P1_01;(01) Nacionalidad;Nacionalidad;;1
281601;P1_02;(02) Provincia de nacimiento;Provincia de nacimiento;;2
281606;P1_03;(03) Tamaño del municipio;Tamaño del municipio;;3
281611;P1_04;(04) Hijos;Hijos;;4
281615;P1_05;(05) Tipo de cotización;Tipo de cotización;;5
281620;P1_06;(06) Número de episodios de cotización en el año;Número de episodios de cotización en el año;;6
281626;P1_07;(07) Número de días de cotización en el año;Número de días de cotización en el año;;7
281631;P1_08;(08) Número de episodios de ocupación en el año;Número de episodios de ocupación en el año;;8
281637;P1_09;(09) Número de días ocupado en el año;Número de días ocupado en el año;;9
281644;P1_10;(10) Duración del último episodio de ocupación;Duración del último episodio de ocupación;;10
281651;P1_11;(11) Antigüedad en la empresa;Antigüedad en la empresa;;11
281658;P1_12;(12) Años de experiencia laboral;Años de experiencia laboral;;12
281663;P1_13;(13) Experiencia de desempleo;Experiencia de desempleo;;13
281669;P1_14;(14) Experiencia de ocupación por cuenta propia;Experiencia de ocupación por cuenta propia;;14
281675;P1_15;(15) Densidad25;Densidad25;;15
281681;P1_16;(16) Duración relativa del mayor episodio de ocupación de la vida laboral;Duración relativa del mayor episodio de ocupación de la vida laboral;;16
281687;P1_17;(17) Porcentaje de tiempo cotizado a tiempo parcial;Porcentaje de tiempo cotizado a tiempo parcial;;17
281693;P1_18;(18) Porcentaje de tiempo cotizado en desempleo;Porcentaje de tiempo cotizado en desempleo;;18
281699;P1_19;(19) Regimen de cotización;Regimen de cotización;;19
281708;P1_20;(20) Sector principal tvl;Sector principal tvl;;20
281710;P1_21;(21) Totales;Totales;;21
281593;0101;(0101) Española;Española;281595;1
281594;0102;(0102) Extranjera;Extranjera;281595;2
281592;0100;(0100) Total;Total;281595;3
281597;0201;(0201) Nacidos en Andalucía;Nacidos en Andalucía;281601;4
281598;0202;(0202) Nacidos en el resto España;Nacidos en el resto España;281601;5
281599;0203;(0203) Nacidos fuera de España;Nacidos fuera de España;281601;6
281600;0204;(0204) No consta;No consta;281601;7
281596;0200;(0200) Total;Total;281601;8
281603;0301;(0301) Municipios de menos de 40 mil habitantes;Municipios de menos de 40 mil habitantes;281606;9
281604;0302;(0302) Municipio entre 40 y 100 mil habitantes;Municipio entre 40 y 100 mil habitantes;281606;10
281605;0303;(0303) Municipio con más de 100 mil habitantes;Municipio con más de 100 mil habitantes;281606;11
281602;0300;(0300) Total;Total;281606;12
281608;0401;(0401) Sin hijos fiscales;Sin hijos fiscales;281611;13
281609;0402;(0402) Con hijos fiscales menores de 3 años;Con hijos fiscales menores de 3 años;281611;14
281610;0403;(0403) Con hijos fiscales mayores de 3 años;Con hijos fiscales mayores de 3 años;281611;15
281607;0400;(0400) Total;Total;281611;16
281735;04NC;(04NC) No consta;No consta;281611;17
281613;0501;(0501) Sólo episodios de ocupación en el año;Sólo episodios de ocupación en el año;281615;17
281614;0502;(0502) Episodios de ocupación y otros;Episodios de ocupación y otros;281615;18
281612;0500;(0500) Total;Total;281615;19
281617;0601;(0601) Un único episodio en el año;Un único episodio en el año;281620;20
281618;0602;(0602) Dos o tres episodios en el año;Dos o tres episodios en el año;281620;21
281619;0603;(0603) Cuatro o más episodios en el año;Cuatro o más episodios en el año;281620;22
281616;0600;(0600) Total;Total;281620;23
281622;0701;(0701) Menos de 1 mes;Menos de 1 mes;281626;24
281623;0702;(0702) Entre 1 y 3 meses;Entre 1 y 3 meses;281626;25
281624;0703;(0703) Entre 3 y 12 meses;Entre 3 y 12 meses;281626;26
281625;0704;(0704) El año completo;El año completo;281626;27
281621;0700;(0700) Total;Total;281626;28
281628;0801;(0801) Un único episodio en el año;Un único episodio en el año;281631;29
281629;0802;(0802) Dos o tres episodios en el año;Dos o tres episodios en el año;281631;30
281630;0803;(0803) Cuatro o más episodios en el año;Cuatro o más episodios en el año;281631;31
281627;0800;(0800) Total;Total;281631;32
281633;0901;(0901) Menos de 1 mes;Menos de 1 mes;281637;33
281634;0902;(0902) Entre 1 y 3 meses;Entre 1 y 3 meses;281637;34
281635;0903;(0903) Entre 3 y 12 meses;Entre 3 y 12 meses;281637;35
281636;0904;(0904) El año completo;El año completo;281637;36
281632;0900;(0900) Total;Total;281637;37
281639;1001;(1001) Menos de 6 meses;Menos de 6 meses;281644;38
281640;1002;(1002) De 6 meses a 1 año;De 6 meses a 1 año;281644;39
281641;1003;(1003) De 1 a 5 años;De 1 a 5 años;281644;40
281642;1004;(1004) De 5 a 10 años;De 5 a 10 años;281644;41
281643;1005;(1005) Más de 10 años;Más de 10 años;281644;42
281638;1000;(1000) Total;Total;281644;43
281646;1101;(1101) Menos de 6 meses;Menos de 6 meses;281651;44
281647;1102;(1102) De 6 meses a 1 año;De 6 meses a 1 año;281651;45
281648;1103;(1103) De 1 a 5 años;De 1 a 5 años;281651;46
281649;1104;(1104) De 5 a 10 años;De 5 a 10 años;281651;47
281650;1105;(1105) Más de 10 años;Más de 10 años;281651;48
281645;1100;(1100) Total;Total;281651;49
281653;1201;(1201) Menos de 1 año;Menos de 1 año;281658;50
281654;1202;(1202) De 1 a 5 años;De 1 a 5 años;281658;51
281655;1203;(1203) De 5 a 10 años;De 5 a 10 años;281658;52
281656;1204;(1204) De 10 a 15 años;De 10 a 15 años;281658;53
281657;1205;(1205) Más de 15 años;Más de 15 años;281658;54
281652;1200;(1200) Total;Total;281658;55
281660;1301;(1301) Nunca;Nunca;281663;56
281661;1302;(1302) Sí, en los últimos 5 años;Sí, en los últimos 5 años;281663;57
281662;1303;(1303) Sí, hace más de 5 años;Sí, hace más de 5 años;281663;58
281659;1300;(1300) Total;Total;281663;59
281665;1401;(1401) Nunca;Nunca;281669;60
281666;1402;(1402) Sí. En el último año;Sí. En el último año;281669;61
281667;1403;(1403) Sí. Hace entre 1 y 5 años;Sí. Hace entre 1 y 5 años;281669;62
281668;1404;(1404) Sí. Hace más de 5 años;Sí. Hace más de 5 años;281669;63
281664;1400;(1400) Total;Total;281669;64
281671;15NP;(15NP) Menores de 25 años;Menores de 25 años;281675;65
281672;1501;(1501) Menos de 60%;Menos de 60%;281675;66
281673;1502;(1502) Entre 60% y 90%;Entre 60% y 90%;281675;67
281674;1503;(1503) Más de 90%;Más de 90%;281675;68
281670;1500;(1500) Total;Total;281675;69
281677;1601;(1601) Menos 25% del tiempo ocupado;Menos 25% del tiempo ocupado;281681;70
281678;1602;(1602) Entre 25%-50% del tiempo ocupado;Entre 25%-50% del tiempo ocupado;281681;71
281679;1603;(1603) Entre 50%-75% del tiempo ocupado;Entre 50%-75% del tiempo ocupado;281681;72
281680;1604;(1604) Más del 75% del tiempo ocupado;Más del 75% del tiempo ocupado;281681;73
281676;1600;(1600) Total;Total;281681;74
281683;1701;(1701) Sin experiencia a tiempo parcial;Sin experiencia a tiempo parcial;281687;75
281684;1702;(1702) Menos 25% del tiempo ocupado;Menos 25% del tiempo ocupado;281687;76
281685;1703;(1703) Entre 25%-50% del tiempo ocupado;Entre 25%-50% del tiempo ocupado;281687;77
281686;1704;(1704) Entre 50%-75% del tiempo ocupado;Entre 50%-75% del tiempo ocupado;281687;78
281737;1705;(1705) Más del 75% del tiempo ocupado;Más del 75% del tiempo ocupado;281687;79
281682;1700;(1700) Total;Total;281687;80
281689;1801;(1801) Sin experiencia en desempleo;Sin experiencia en desempleo;281693;80
281690;1802;(1802) Menos del 10%;Menos del 10%;281693;81
281691;1803;(1803) Entre el 10% y el 20%;Entre el 10% y el 20%;281693;82
281692;1804;(1804) Más del 20%;Más del 20%;281693;83
281688;1800;(1800) Total;Total;281693;84
281695;1901;(1901) Sólo régimen general;Sólo régimen general;281699;85
281696;1902;(1902) Sólo régimen de autónomos;Sólo régimen de autónomos;281699;86
281697;1903;(1903) General y autónomos;General y autónomos;281699;87
281698;1904;(1904) Otros regímenes;Otros regímenes;281699;88
281694;1900;(1900) Total;Total;281699;89
281701;2001;(2001) Agricultura;Agricultura;281708;90
281702;2002;(2002) Industria;Industria;281708;91
281703;2003;(2003) Construcción;Construcción;281708;92
281704;2004;(2004) Comercio y hostelería;Comercio y hostelería;281708;93
281705;2005;(2005) Servicios públicos;Servicios públicos;281708;94
281706;2006;(2006) Otros;Otros;281708;95
281707;2007;(2007) No consta;No consta;281708;96
281700;2000;(2000) Total;Total;281708;97
281709;2100;(2100) Total;Total;281710;98
_Z;No aplica;No aplica;No aplica;;
