ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;TOTAL;(TOTAL) España/Andalucía/Provincias Andalucía;España/Andalucía/Provincias Andalucía;;0
2240;P2_108;(108) España;España;;1
3143;P1_C01;(C01) Andalucía;Andalucía;2240;2
2352;04;(04) Almería;Almería;3143;3
2402;11;(11) Cádiz;Cádiz;3143;4
2482;14;(14) Córdoba;Córdoba;3143;5
2713;18;(18) Granada;Granada;3143;6
2797;21;(21) Huelva;Huelva;3143;7
2911;23;(23) Jaén;Jaén;3143;8
3023;29;(29) Málaga;Málaga;3143;9
3142;41;(41) Sevilla;Sevilla;3143;10
3144;C01NC;(C01NC) Provincia sin especificar;Provincia sin especificar;3143;11
_Z;No aplica;No aplica;No aplica;;
