ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
541;;() Residencia de los viajeros;Residencia de los viajeros;;0
55698;00;(00) TOTAL;TOTAL;;1
55565;108;(108) España;España;55698;1
55697;66;(66) Extranjero;Extranjero;55698;2
313255;NC;(NC) No consta;No consta;55698;3
55564;0108;(0108) España;España;55565;1
55543;010;(010) Andalucía;Andalucía;55564;1
55563;020;(020) Resto de CCAA;Resto de CCAA;55564;2
512475;108NC;(108NC) No consta;No consta;55564;3
55542;01;(01) Andalucía;Andalucía;55543;1
55544;02;(02) Aragón;Aragón;55563;2
55545;03;(03) Principado de Asturias;Principado de Asturias;55563;3
55546;04;(04) Islas Baleares/Illes Balears;Islas Baleares/Illes Balears;55563;4
55547;05;(05) Canarias;Canarias;55563;5
55548;06;(06) Cantabria;Cantabria;55563;6
55549;07;(07) Castilla-La Mancha;Castilla-La Mancha;55563;7
55550;08;(08) Castilla y León;Castilla y León;55563;8
55551;09;(09) Cataluña/Catalunya;Cataluña/Catalunya;55563;9
55552;10;(10) Comunidad Valenciana/Comunitat Valenciana;Comunidad Valenciana/Comunitat Valenciana;55563;10
55553;11;(11) Extremadura;Extremadura;55563;11
55554;12;(12) Galicia;Galicia;55563;12
55555;13;(13) Comunidad de Madrid;Comunidad de Madrid;55563;14
55556;14;(14) Región de Murcia;Región de Murcia;55563;16
55557;15;(15) Comunidad Foral de Navarra;Comunidad Foral de Navarra;55563;17
55558;16;(16) País Vasco/Euskadi;País Vasco/Euskadi;55563;19
55559;17;(17) La Rioja;La Rioja;55563;20
55560;18;(18) Ciudades Autónomas de Ceuta y Melilla;Ciudades Autónomas de Ceuta y Melilla;55563;21
55561;19;(19) Ciudad autónoma de Ceuta;Ciudad autónoma de Ceuta;55563;23
55562;20;(20) Ciudad autónoma de Melilla;Ciudad autónoma de Melilla;55563;24
512476;108NC0;(108NC0) No consta;No consta;512475;1
55577;00126;(00126) Alemania;Alemania;55697;1
55568;00110;(00110) Francia;Francia;55697;2
55571;00121;(00121) Países Bajos;Países Bajos;55697;3
55574;00125;(00125) Reino Unido;Reino Unido;55697;4
55696;066;(066) Otros países;Otros países;55697;5
61806;66NC;(66NC) No consta;No consta;55697;60
55576;0126;(0126) Alemania;Alemania;55577;1
55575;126;(126) Alemania;Alemania;55576;1
55567;0110;(0110) Francia;Francia;55568;1
55566;110;(110) Francia;Francia;55567;2
55570;0121;(0121) Países Bajos;Países Bajos;55571;1
55569;121;(121) Países Bajos;Países Bajos;55570;1
55573;0125;(0125) Reino Unido;Reino Unido;55574;0
55572;125;(125) Reino Unido;Reino Unido;55573;1
55581;0102;(0102) Austria;Austria;55696;1
55583;0103;(0103) Bélgica;Bélgica;55696;2
55589;0107;(0107) Dinamarca;Dinamarca;55696;3
55591;0109;(0109) Finlandia;Finlandia;55696;4
55593;0111;(0111) Grecia;Grecia;55696;5
55597;0113;(0113) Irlanda;Irlanda;55696;6
55601;0115;(0115) Italia;Italia;55696;7
55605;0117;(0117) Luxemburgo;Luxemburgo;55696;8
55615;0123;(0123) Portugal;Portugal;55696;9
55625;0131;(0131) Suecia;Suecia;55696;10
55587;0106;(0106) Chipre;Chipre;55696;12
55645;0144;(0144) Eslovaquia;Eslovaquia;55696;13
55651;0147;(0147) Eslovenia;Eslovenia;55696;14
55639;0141;(0141) Estonia;Estonia;55696;15
55595;0112;(0112) Hungría;Hungría;55696;16
55631;0136;(0136) Letonia;Letonia;55696;17
55641;0142;(0142) Lituania;Lituania;55696;18
55607;0118;(0118) Malta;Malta;55696;19
55613;0122;(0122) Polonia;Polonia;55696;20
55643;0143;(0143) República Checa;República Checa;55696;21
55585;0104;(0104) Bulgaria;Bulgaria;55696;22
55619;0128;(0128) Rumanía;Rumanía;55696;23
55663;028;(028) Resto UE;Resto UE;55696;24
55599;0114;(0114) Islandia;Islandia;55696;25
55611;0120;(0120) Noruega;Noruega;55696;26
55655;0154;(0154) Rusia;Rusia;55696;27
55627;0132;(0132) Suiza;Suiza;55696;28
55657;0155;(0155) Yugoslavia;Yugoslavia;55696;29
55579;0101;(0101) Albania;Albania;55696;30
55617;0124;(0124) Andorra;Andorra;55696;31
55653;0148;(0148) Armenia;Armenia;55696;32
55635;0138;(0138) Bielorrusia;Bielorrusia;55696;33
55647;0145;(0145) Bosnia-Herzegovina;Bosnia-Herzegovina;55696;34
55649;0146;(0146) Croacia;Croacia;55696;35
55637;0139;(0139) Georgia;Georgia;55696;36
55603;0116;(0116) Liechtenstein;Liechtenstein;55696;37
55659;0156;(0156) Macedonia;Macedonia;55696;38
55633;0137;(0137) Moldova;Moldova;55696;39
55609;0119;(0119) Mónaco;Mónaco;55696;40
55621;0129;(0129) San Marino;San Marino;55696;41
55623;0130;(0130) Santa Sede;Santa Sede;55696;42
55629;0135;(0135) Ucrania;Ucrania;55696;43
55675;036;(036) Resto Europa;Resto Europa;55696;44
55667;0302;(0302) Estados Unidos;Estados Unidos;55696;45
55681;042;(042) Resto de América;Resto de América;55696;46
55685;043;(043) Países africanos;Países africanos;55696;47
55689;045;(045) Resto Países Africanos;Resto Países Africanos;55696;48
55691;049;(049) Resto de Asia;Resto de Asia;55696;49
55695;051;(051) Resto del mundo;Resto del mundo;55696;50
55661;0236;(0236) Sudáfrica;Sudáfrica;55696;51
55665;0301;(0301) Canadá;Canadá;55696;52
55669;0303;(0303) México;México;55696;53
55671;0340;(0340) Argentina;Argentina;55696;54
55673;0342;(0342) Brasil;Brasil;55696;55
55677;0407;(0407) China;China;55696;56
55679;0415;(0415) Japón;Japón;55696;57
55683;0430;(0430) República de Corea;República de Corea;55696;58
55687;0436;(0436) Turquía;Turquía;55696;59
55693;0501;(0501) Australia;Australia;55696;60
55580;102;(102) Austria;Austria;55581;1
55582;103;(103) Bélgica;Bélgica;55583;1
55588;107;(107) Dinamarca;Dinamarca;55589;1
55590;109;(109) Finlandia;Finlandia;55591;1
55592;111;(111) Grecia;Grecia;55593;1
55596;113;(113) Irlanda;Irlanda;55597;1
55600;115;(115) Italia;Italia;55601;1
55604;117;(117) Luxemburgo;Luxemburgo;55605;1
55614;123;(123) Portugal;Portugal;55615;1
55624;131;(131) Suecia;Suecia;55625;1
55586;106;(106) Chipre;Chipre;55587;1
55644;144;(144) Eslovaquia;Eslovaquia;55645;1
55650;147;(147) Eslovenia;Eslovenia;55651;1
55638;141;(141) Estonia;Estonia;55639;1
55594;112;(112) Hungría;Hungría;55595;1
55630;136;(136) Letonia;Letonia;55631;1
55640;142;(142) Lituania;Lituania;55641;1
55606;118;(118) Malta;Malta;55607;1
55612;122;(122) Polonia;Polonia;55613;1
55642;143;(143) República Checa;República Checa;55643;1
55584;104;(104) Bulgaria;Bulgaria;55585;1
55618;128;(128) Rumanía;Rumanía;55619;1
55662;28;(28) Resto UE;Resto UE;55663;1
55598;114;(114) Islandia;Islandia;55599;1
55610;120;(120) Noruega;Noruega;55611;1
55654;154;(154) Rusia;Rusia;55655;1
55626;132;(132) Suiza;Suiza;55627;1
55656;155;(155) Yugoslavia;Yugoslavia;55657;1
55578;101;(101) Albania;Albania;55579;1
55616;124;(124) Andorra;Andorra;55617;1
55652;148;(148) Armenia;Armenia;55653;1
55634;138;(138) Bielorrusia;Bielorrusia;55635;1
55646;145;(145) Bosnia-Herzegovina;Bosnia-Herzegovina;55647;1
55648;146;(146) Croacia;Croacia;55649;1
55636;139;(139) Georgia;Georgia;55637;1
55602;116;(116) Liechtenstein;Liechtenstein;55603;1
55658;156;(156) Macedonia;Macedonia;55659;1
55632;137;(137) Moldova;Moldova;55633;1
55608;119;(119) Mónaco;Mónaco;55609;1
55620;129;(129) San Marino;San Marino;55621;1
55622;130;(130) Santa Sede;Santa Sede;55623;1
55628;135;(135) Ucrania;Ucrania;55629;1
55674;36;(36) Resto Europa;Resto Europa;55675;1
55666;302;(302) Estados Unidos;Estados Unidos;55667;1
55680;42;(42) Resto de América;Resto de América;55681;1
55684;43;(43) Países africanos;Países africanos;55685;1
55688;45;(45) Resto Países Africanos;Resto Países Africanos;55689;1
55690;49;(49) Resto de Asia;Resto de Asia;55691;1
55694;51;(51) Resto del mundo;Resto del mundo;55695;1
55660;236;(236) Sudáfrica;Sudáfrica;55661;1
55664;301;(301) Canadá;Canadá;55665;1
55668;303;(303) México;México;55669;1
55670;340;(340) Argentina;Argentina;55671;1
55672;342;(342) Brasil;Brasil;55673;1
55676;407;(407) China;China;55677;1
55678;415;(415) Japón;Japón;55679;1
55682;430;(430) República de Corea;República de Corea;55683;1
55686;436;(436) Turquía;Turquía;55687;1
55692;501;(501) Australia;Australia;55693;1
61808;066NC;(066NC) No consta;No consta;61806;1
516645;66NC0;(66NC0) No consta;No consta;61808;0
313256;NC0;(NC0) No consta;No consta;313255;1
313257;NC00;(NC00) No consta;No consta;313256;1
313258;NC000;(NC000) No consta;No consta;313257;1
_Z;No aplica;No aplica;No aplica;;
