ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
126;Total;(Total) CNAE09 (G-Resto);CNAE09 (G-Resto);;0
6949;00;(00) TOTAL;TOTAL;;1
7057;S2;(S2) Industria, Construcción y Servicios;Industria, Construcción y Servicios;6949;2
7058;S20;(S20) Total Industria (CNAE 10-39);Total Industria (CNAE 10-39);7057;5
7663;S30;(S30) Total Construcción (CNAE 41-43);Total Construcción (CNAE 41-43);7057;6
7716;S41;(S41) Total Servicios (Cnae 45-82, excluidas Cnae 56 y financieras);Total Servicios (Cnae 45-82, excluidas Cnae 56 y financieras);7057;7
7605;C;"(C) Alimentación, bebidas y tabaco; industria textil, prendas de vestir, cuero y calzado; madera y corcho; papel, artes gráficas y reproducción de soportes grabados (CNAE 10-18)";"Alimentación, bebidas y tabaco; industria textil, prendas de vestir, cuero y calzado; madera y corcho; papel, artes gráficas y reproducción de soportes grabados (CNAE 10-18)";7058;1
818472;19-23;"(19-23) Coquerías y refino de petróleo; productos farmacéuticos; caucho y plásticos; productos minerales no metálicos (CNAE 19-23)";"Coquerías y refino de petróleo; productos farmacéuticos; caucho y plásticos; productos minerales no metálicos (CNAE 19-23)";7058;2
818473;24-25;(24-25) Metalurgia y fabricación de productos metálicos (CNAE 24-25);Metalurgia y fabricación de productos metálicos (CNAE 24-25);7058;3
818474;26-33;"(26-33) Productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo mecánico; vehículos a motor; material de transporte; muebles, industria manufacturera; reparación de maquinaria y equipo (CNAE 26-33)";"Productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo mecánico; vehículos a motor; material de transporte; muebles, industria manufacturera; reparación de maquinaria y equipo (CNAE 26-33)";7058;4
818475;35-39;(35-39) Energía y agua (CNAE 35-39);Energía y agua (CNAE 35-39);7058;5
7158;10;(10) 10. Industria de la alimentación;10. Industria de la alimentación;7605;37
7170;11;(11) 11. Fabricación de bebidas;11. Fabricación de bebidas;7605;38
7176;12;(12) 12. Industria del tabaco;12. Industria del tabaco;7605;39
7197;13;(13) 13. Industria textil;13. Industria textil;7605;40
7214;14;(14) 14. Confección de prendas de vestir;14. Confección de prendas de vestir;7605;41
7224;15;(15) 15. Industria del cuero y del calzado;15. Industria del cuero y del calzado;7605;42
7237;16;"(16) 16. Industria de la madera y del corcho, excepto muebles; cestería y espartería";"16. Industria de la madera y del corcho, excepto muebles; cestería y espartería";7605;43
7251;17;(17) 17. Industria del papel;17. Industria del papel;7605;44
7263;18;(18) 18. Artes gráficas y reproducción de soportes grabados;18. Artes gráficas y reproducción de soportes grabados;7605;45
7114;101;(101) 101. Procesado y conservación de carne y elaboración de productos cárnicos;101. Procesado y conservación de carne y elaboración de productos cárnicos;7158;132
7118;102;(102) 102. Procesado y conservación de pescados, crustáceos y moluscos;102. Procesado y conservación de pescados, crustáceos y moluscos;7158;133
7123;103;(103) 103. Procesado y conservación de frutas y hortalizas;103. Procesado y conservación de frutas y hortalizas;7158;134
7128;104;(104) 104. Fabricación de aceites y grasas vegetales y animales;104. Fabricación de aceites y grasas vegetales y animales;7158;135
7133;105;(105) 105. Fabricación de productos lácteos;105. Fabricación de productos lácteos;7158;136
7137;106;(106) 106. Fabricación de productos de molinería, almidones y productos amiláceos;106. Fabricación de productos de molinería, almidones y productos amiláceos;7158;137
