ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
143;TOTAL;(TOTAL) Estrato 10-50-250+;Estrato 10-50-250+;;0
38282;00;(00) TOTAL;TOTAL;;1
24142;20:1;(20:1) De 10 a 49;De 10 a 49;38282;3
24097;100:1;(100:1) De 50 a 249;De 50 a 249;38282;5
38221;250:1;(250:1) De 250 y más;De 250 y más;38282;6
24098;10;(10) 10 asalariados;10 asalariados;24142;19
24099;11;(11) 11 asalariados;11 asalariados;24142;20
24100;12;(12) 12 asalariados;12 asalariados;24142;21
24101;13;(13) 13 asalariados;13 asalariados;24142;22
24102;14;(14) 14 asalariados;14 asalariados;24142;23
24103;15;(15) 15 asalariados;15 asalariados;24142;24
24104;16;(16) 16 asalariados;16 asalariados;24142;25
24105;17;(17) 17 asalariados;17 asalariados;24142;26
24106;18;(18) 18 asalariados;18 asalariados;24142;27
24107;19;(19) 19 asalariados;19 asalariados;24142;28
24112;20;(20) 20 asalariados;20 asalariados;24142;29
24113;21;(21) 21 asalariados;21 asalariados;24142;30
24114;22;(22) 22 asalariados;22 asalariados;24142;31
24115;23;(23) 23 asalariados;23 asalariados;24142;32
24116;24;(24) 24 asalariados;24 asalariados;24142;33
24117;25;(25) 25 asalariados;25 asalariados;24142;34
24118;26;(26) 26 asalariados;26 asalariados;24142;35
24119;27;(27) 27 asalariados;27 asalariados;24142;36
24120;28;(28) 28 asalariados;28 asalariados;24142;37
24121;29;(29) 29 asalariados;29 asalariados;24142;38
24122;30;(30) 30 asalariados;30 asalariados;24142;39
24123;31;(31) 31 asalariados;31 asalariados;24142;40
24124;32;(32) 32 asalariados;32 asalariados;24142;41
24125;33;(33) 33 asalariados;33 asalariados;24142;42
24126;34;(34) 34 asalariados;34 asalariados;24142;43
24127;35;(35) 35 asalariados;35 asalariados;24142;44
24128;36;(36) 36 asalariados;36 asalariados;24142;45
24129;37;(37) 37 asalariados;37 asalariados;24142;46
24130;38;(38) 38 asalariados;38 asalariados;24142;47
24131;39;(39) 39 asalariados;39 asalariados;24142;48
24132;40;(40) 40 asalariados;40 asalariados;24142;49
24133;41;(41) 41 asalariados;41 asalariados;24142;50
24134;42;(42) 42 asalariados;42 asalariados;24142;51
24135;43;(43) 43 asalariados;43 asalariados;24142;52
24136;44;(44) 44 asalariados;44 asalariados;24142;53
24137;45;(45) 45 asalariados;45 asalariados;24142;54
24138;46;(46) 46 asalariados;46 asalariados;24142;55
24139;47;(47) 47 asalariados;47 asalariados;24142;56
24140;48;(48) 48 asalariados;48 asalariados;24142;57
24141;49;(49) 49 asalariados;49 asalariados;24142;58
38226;50;(50) 50 asalariados;50 asalariados;24097;112
38227;51;(51) 51 asalariados;51 asalariados;24097;113
38228;52;(52) 52 asalariados;52 asalariados;24097;114
38229;53;(53) 53 asalariados;53 asalariados;24097;115
38230;54;(54) 54 asalariados;54 asalariados;24097;116
38231;55;(55) 55 asalariados;55 asalariados;24097;117
38232;56;(56) 56 asalariados;56 asalariados;24097;118
38233;57;(57) 57 asalariados;57 asalariados;24097;119
38234;58;(58) 58 asalariados;58 asalariados;24097;120
38235;59;(59) 59 asalariados;59 asalariados;24097;121
38236;60;(60) 60 asalariados;60 asalariados;24097;122
38237;61;(61) 61 asalariados;61 asalariados;24097;123
38238;62;(62) 62 asalariados;62 asalariados;24097;124
38239;63;(63) 63 asalariados;63 asalariados;24097;125
38240;64;(64) 64 asalariados;64 asalariados;24097;126
38241;65;(65) 65 asalariados;65 asalariados;24097;127
38242;66;(66) 66 asalariados;66 asalariados;24097;128
38243;67;(67) 67 asalariados;67 asalariados;24097;129
38244;68;(68) 68 asalariados;68 asalariados;24097;130
38245;69;(69) 69 asalariados;69 asalariados;24097;131
38246;70;(70) 70 asalariados;70 asalariados;24097;132
38247;71;(71) 71 asalariados;71 asalariados;24097;133
38248;72;(72) 72 asalariados;72 asalariados;24097;134
38249;73;(73) 73 asalariados;73 asalariados;24097;135
38250;74;(74) 74 asalariados;74 asalariados;24097;136
38251;75;(75) 75 asalariados;75 asalariados;24097;137
38252;76;(76) 76 asalariados;76 asalariados;24097;138
38253;77;(77) 77 asalariados;77 asalariados;24097;139
38254;78;(78) 78 asalariados;78 asalariados;24097;140
38255;79;(79) 79 asalariados;79 asalariados;24097;141
38256;80;(80) 80 asalariados;80 asalariados;24097;142
38257;81;(81) 81 asalariados;81 asalariados;24097;143
38258;82;(82) 82 asalariados;82 asalariados;24097;144
38259;83;(83) 83 asalariados;83 asalariados;24097;145
38260;84;(84) 84 asalariados;84 asalariados;24097;146
38261;85;(85) 85 asalariados;85 asalariados;24097;147
38262;86;(86) 86 asalariados;86 asalariados;24097;148
38263;87;(87) 87 asalariados;87 asalariados;24097;149
38264;88;(88) 88 asalariados;88 asalariados;24097;150
38265;89;(89) 89 asalariados;89 asalariados;24097;151
38266;90;(90) 90 asalariados;90 asalariados;24097;152
38267;91;(91) 91 asalariados;91 asalariados;24097;153
38268;92;(92) 92 asalariados;92 asalariados;24097;154
38269;93;(93) 93 asalariados;93 asalariados;24097;155
38270;94;(94) 94 asalariados;94 asalariados;24097;156
38271;95;(95) 95 asalariados;95 asalariados;24097;157
38272;96;(96) 96 asalariados;96 asalariados;24097;158
38273;97;(97) 97 asalariados;97 asalariados;24097;159
38274;98;(98) 98 asalariados;98 asalariados;24097;160
38275;99;(99) 99 asalariados;99 asalariados;24097;161
23947;100;(100) 100 asalariados;100 asalariados;24097;162
23948;101;(101) 101 asalariados;101 asalariados;24097;163
23949;102;(102) 102 asalariados;102 asalariados;24097;164
23950;103;(103) 103 asalariados;103 asalariados;24097;165
23951;104;(104) 104 asalariados;104 asalariados;24097;166
23952;105;(105) 105 asalariados;105 asalariados;24097;167
23953;106;(106) 106 asalariados;106 asalariados;24097;168
23954;107;(107) 107 asalariados;107 asalariados;24097;169
23955;108;(108) 108 asalariados;108 asalariados;24097;170
23956;109;(109) 109 asalariados;109 asalariados;24097;171
23957;110;(110) 110 asalariados;110 asalariados;24097;172
23958;111;(111) 111 asalariados;111 asalariados;24097;173
23959;112;(112) 112 asalariados;112 asalariados;24097;174
23960;113;(113) 113 asalariados;113 asalariados;24097;175
23961;114;(114) 114 asalariados;114 asalariados;24097;176
23962;115;(115) 115 asalariados;115 asalariados;24097;177
23963;116;(116) 116 asalariados;116 asalariados;24097;178
23964;117;(117) 117 asalariados;117 asalariados;24097;179
23965;118;(118) 118 asalariados;118 asalariados;24097;180
23966;119;(119) 119 asalariados;119 asalariados;24097;181
23967;120;(120) 120 asalariados;120 asalariados;24097;182
23968;121;(121) 121 asalariados;121 asalariados;24097;183
23969;122;(122) 122 asalariados;122 asalariados;24097;184
23970;123;(123) 123 asalariados;123 asalariados;24097;185
23971;124;(124) 124 asalariados;124 asalariados;24097;186
23972;125;(125) 125 asalariados;125 asalariados;24097;187
23973;126;(126) 126 asalariados;126 asalariados;24097;188
23974;127;(127) 127 asalariados;127 asalariados;24097;189
23975;128;(128) 128 asalariados;128 asalariados;24097;190
23976;129;(129) 129 asalariados;129 asalariados;24097;191
23977;130;(130) 130 asalariados;130 asalariados;24097;192
23978;131;(131) 131 asalariados;131 asalariados;24097;193
23979;132;(132) 132 asalariados;132 asalariados;24097;194
23980;133;(133) 133 asalariados;133 asalariados;24097;195
23981;134;(134) 134 asalariados;134 asalariados;24097;196
23982;135;(135) 135 asalariados;135 asalariados;24097;197
23983;136;(136) 136 asalariados;136 asalariados;24097;198
23984;137;(137) 137 asalariados;137 asalariados;24097;199
23985;138;(138) 138 asalariados;138 asalariados;24097;200
23986;139;(139) 139 asalariados;139 asalariados;24097;201
23987;140;(140) 140 asalariados;140 asalariados;24097;202
23988;141;(141) 141 asalariados;141 asalariados;24097;203
23989;142;(142) 142 asalariados;142 asalariados;24097;204
23990;143;(143) 143 asalariados;143 asalariados;24097;205
23991;144;(144) 144 asalariados;144 asalariados;24097;206
23992;145;(145) 145 asalariados;145 asalariados;24097;207
23993;146;(146) 146 asalariados;146 asalariados;24097;208
23994;147;(147) 147 asalariados;147 asalariados;24097;209
23995;148;(148) 148 asalariados;148 asalariados;24097;210
23996;149;(149) 149 asalariados;149 asalariados;24097;211
23997;150;(150) 150 asalariados;150 asalariados;24097;212
23998;151;(151) 151 asalariados;151 asalariados;24097;213
23999;152;(152) 152 asalariados;152 asalariados;24097;214
24000;153;(153) 153 asalariados;153 asalariados;24097;215
24001;154;(154) 154 asalariados;154 asalariados;24097;216
24002;155;(155) 155 asalariados;155 asalariados;24097;217
24003;156;(156) 156 asalariados;156 asalariados;24097;218
24004;157;(157) 157 asalariados;157 asalariados;24097;219
24005;158;(158) 158 asalariados;158 asalariados;24097;220
24006;159;(159) 159 asalariados;159 asalariados;24097;221
24007;160;(160) 160 asalariados;160 asalariados;24097;222
24008;161;(161) 161 asalariados;161 asalariados;24097;223
24009;162;(162) 162 asalariados;162 asalariados;24097;224
24010;163;(163) 163 asalariados;163 asalariados;24097;225
24011;164;(164) 164 asalariados;164 asalariados;24097;226
24012;165;(165) 165 asalariados;165 asalariados;24097;227
24013;166;(166) 166 asalariados;166 asalariados;24097;228
24014;167;(167) 167 asalariados;167 asalariados;24097;229
24015;168;(168) 168 asalariados;168 asalariados;24097;230
24016;169;(169) 169 asalariados;169 asalariados;24097;231
24017;170;(170) 170 asalariados;170 asalariados;24097;232
24018;171;(171) 171 asalariados;171 asalariados;24097;233
24019;172;(172) 172 asalariados;172 asalariados;24097;234
24020;173;(173) 173 asalariados;173 asalariados;24097;235
24021;174;(174) 174 asalariados;174 asalariados;24097;236
24022;175;(175) 175 asalariados;175 asalariados;24097;237
24023;176;(176) 176 asalariados;176 asalariados;24097;238
24024;177;(177) 177 asalariados;177 asalariados;24097;239
24025;178;(178) 178 asalariados;178 asalariados;24097;240
24026;179;(179) 179 asalariados;179 asalariados;24097;241
24027;180;(180) 180 asalariados;180 asalariados;24097;242
24028;181;(181) 181 asalariados;181 asalariados;24097;243
24029;182;(182) 182 asalariados;182 asalariados;24097;244
24030;183;(183) 183 asalariados;183 asalariados;24097;245
24031;184;(184) 184 asalariados;184 asalariados;24097;246
24032;185;(185) 185 asalariados;185 asalariados;24097;247
24033;186;(186) 186 asalariados;186 asalariados;24097;248
24034;187;(187) 187 asalariados;187 asalariados;24097;249
24035;188;(188) 188 asalariados;188 asalariados;24097;250
24036;189;(189) 189 asalariados;189 asalariados;24097;251
24037;190;(190) 190 asalariados;190 asalariados;24097;252
24038;191;(191) 191 asalariados;191 asalariados;24097;253
24039;192;(192) 192 asalariados;192 asalariados;24097;254
24040;193;(193) 193 asalariados;193 asalariados;24097;255
24041;194;(194) 194 asalariados;194 asalariados;24097;256
24042;195;(195) 195 asalariados;195 asalariados;24097;257
24043;196;(196) 196 asalariados;196 asalariados;24097;258
24044;197;(197) 197 asalariados;197 asalariados;24097;259
24045;198;(198) 198 asalariados;198 asalariados;24097;260
24046;199;(199) 199 asalariados;199 asalariados;24097;261
24047;200;(200) 200 asalariados;200 asalariados;24097;262
24048;201;(201) 201 asalariados;201 asalariados;24097;263
24049;202;(202) 202 asalariados;202 asalariados;24097;264
24050;203;(203) 203 asalariados;203 asalariados;24097;265
24051;204;(204) 204 asalariados;204 asalariados;24097;266
24052;205;(205) 205 asalariados;205 asalariados;24097;267
24053;206;(206) 206 asalariados;206 asalariados;24097;268
24054;207;(207) 207 asalariados;207 asalariados;24097;269
24055;208;(208) 208 asalariados;208 asalariados;24097;270
24056;209;(209) 209 asalariados;209 asalariados;24097;271
24057;210;(210) 210 asalariados;210 asalariados;24097;272
24058;211;(211) 211 asalariados;211 asalariados;24097;273
24059;212;(212) 212 asalariados;212 asalariados;24097;274
24060;213;(213) 213 asalariados;213 asalariados;24097;275
24061;214;(214) 214 asalariados;214 asalariados;24097;276
24062;215;(215) 215 asalariados;215 asalariados;24097;277
24063;216;(216) 216 asalariados;216 asalariados;24097;278
24064;217;(217) 217 asalariados;217 asalariados;24097;279
24065;218;(218) 218 asalariados;218 asalariados;24097;280
24066;219;(219) 219 asalariados;219 asalariados;24097;281
24067;220;(220) 220 asalariados;220 asalariados;24097;282
24068;221;(221) 221 asalariados;221 asalariados;24097;283
24069;222;(222) 222 asalariados;222 asalariados;24097;284
24070;223;(223) 223 asalariados;223 asalariados;24097;285
24071;224;(224) 224 asalariados;224 asalariados;24097;286
24072;225;(225) 225 asalariados;225 asalariados;24097;287
24073;226;(226) 226 asalariados;226 asalariados;24097;288
24074;227;(227) 227 asalariados;227 asalariados;24097;289
24075;228;(228) 228 asalariados;228 asalariados;24097;290
24076;229;(229) 229 asalariados;229 asalariados;24097;291
24077;230;(230) 230 asalariados;230 asalariados;24097;292
24078;231;(231) 231 asalariados;231 asalariados;24097;293
24079;232;(232) 232 asalariados;232 asalariados;24097;294
24080;233;(233) 233 asalariados;233 asalariados;24097;295
24081;234;(234) 234 asalariados;234 asalariados;24097;296
24082;235;(235) 235 asalariados;235 asalariados;24097;297
24083;236;(236) 236 asalariados;236 asalariados;24097;298
24084;237;(237) 237 asalariados;237 asalariados;24097;299
24085;238;(238) 238 asalariados;238 asalariados;24097;300
24086;239;(239) 239 asalariados;239 asalariados;24097;301
24087;240;(240) 240 asalariados;240 asalariados;24097;302
