ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
21;TOTAL;(TOTAL) Territorio;Territorio;;0
3676;00;(00) TOTAL;TOTAL;;1
2240;108;(108) España;España;3676;1
3675;66;(66) Extranjero;Extranjero;3676;2
3683;NP000;(NP000) No procede;No procede;3676;3
3677;NC000;(NC000) No consta;No consta;3676;4
3143;C01;(C01) Andalucía;Andalucía;2240;1
3160;C02;(C02) Aragón;Aragón;2240;2
3165;C03;(C03) Principado de Asturias;Principado de Asturias;2240;3
3170;C04;(C04) Islas Baleares/Illes Balears;Islas Baleares/Illes Balears;2240;4
3179;C05;(C05) Canarias;Canarias;2240;5
3184;C06;(C06) Cantabria;Cantabria;2240;6
3205;C07;(C07) Castilla-La Mancha;Castilla-La Mancha;2240;7
3242;C08;(C08) Castilla y León;Castilla y León;2240;8
3259;C09;(C09) Cataluña/Catalunya;Cataluña/Catalunya;2240;9
3272;C10;(C10) Comunidad Valenciana/Comunitat Valenciana;Comunidad Valenciana/Comunitat Valenciana;2240;10
3281;C11;(C11) Extremadura;Extremadura;2240;11
3298;C12;(C12) Galicia;Galicia;2240;12
3303;C13;(C13) Comunidad de Madrid;Comunidad de Madrid;2240;13
3308;C14;(C14) Región de Murcia;Región de Murcia;2240;14
3313;C15;(C15) Comunidad Foral de Navarra;Comunidad Foral de Navarra;2240;15
3326;C16;(C16) País Vasco/Euskadi;País Vasco/Euskadi;2240;16
3331;C17;(C17) La Rioja;La Rioja;2240;17
3340;C18;(C18) Ciudades Autónomas de Ceuta y Melilla;Ciudades Autónomas de Ceuta y Melilla;2240;18
3341;RE00;(RE00) Resto de España;Resto de España;2240;21
2352;04;(04) Almería;Almería;3143;1
2402;11;(11) Cádiz;Cádiz;3143;2
2482;14;(14) Córdoba;Córdoba;3143;3
2713;18;(18) Granada;Granada;3143;4
2797;21;(21) Huelva;Huelva;3143;5
2911;23;(23) Jaén;Jaén;3143;6
3023;29;(29) Málaga;Málaga;3143;7
3142;41;(41) Sevilla;Sevilla;3143;8
3144;C01NC;(C01NC) Provincia sin especificar;Provincia sin especificar;3143;9
2351;04_1;(04_1) Almería;Almería;2352;1
2350;04_2;(04_2) Almería;Almería;2351;1
2241;04001;(04001) Abla;Abla;2350;1
2242;04002;(04002) Abrucena;Abrucena;2350;2
2243;04003;(04003) Adra;Adra;2350;3
2244;04004;(04004) Albanchez;Albanchez;2350;4
2245;04005;(04005) Alboloduy;Alboloduy;2350;5
2246;04006;(04006) Albox;Albox;2350;6
2247;04007;(04007) Alcolea;Alcolea;2350;7
2248;04008;(04008) Alcóntar;Alcóntar;2350;8
2249;04009;(04009) Alcudia de Monteagud;Alcudia de Monteagud;2350;9
2250;04010;(04010) Alhabia;Alhabia;2350;10
2251;04011;(04011) Alhama de Almería;Alhama de Almería;2350;11
2252;04012;(04012) Alicún;Alicún;2350;12
2253;04013;(04013) Almería (capital);Almería (capital);2350;13
2254;04014;(04014) Almócita;Almócita;2350;14
2255;04015;(04015) Alsodux;Alsodux;2350;15
2256;04016;(04016) Antas;Antas;2350;16
2257;04017;(04017) Arboleas;Arboleas;2350;17
2258;04018;(04018) Armuña de Almanzora;Armuña de Almanzora;2350;18
2259;04019;(04019) Bacares;Bacares;2350;19
9563;04904;(04904) Balanegra;Balanegra;2350;20
2260;04020;(04020) Bayárcal;Bayárcal;2350;21
2261;04021;(04021) Bayarque;Bayarque;2350;22
2262;04022;(04022) Bédar;Bédar;2350;23
2263;04023;(04023) Beires;Beires;2350;24
2264;04024;(04024) Benahadux;Benahadux;2350;25
2265;04025;(04025) Benínar;Benínar;2350;26
2266;04026;(04026) Benitagla;Benitagla;2350;27
2267;04027;(04027) Benizalón;Benizalón;2350;28
2268;04028;(04028) Bentarique;Bentarique;2350;29
2269;04029;(04029) Berja;Berja;2350;30
2270;04030;(04030) Canjáyar;Canjáyar;2350;31
2271;04031;(04031) Cantoria;Cantoria;2350;32
2272;04032;(04032) Carboneras;Carboneras;2350;33
2273;04033;(04033) Castro de Filabres;Castro de Filabres;2350;34
2277;04036;(04036) Chercos;Chercos;2350;35
2278;04037;(04037) Chirivel;Chirivel;2350;36
2274;04034;(04034) Cóbdar;Cóbdar;2350;37
2275;04035;(04035) Cuevas del Almanzora;Cuevas del Almanzora;2350;39
2279;04038;(04038) Dalías;Dalías;2350;40
2280;04039;(04039) Darrical;Darrical;2350;41
2281;04040;(04040) Doña María Ocaña;Doña María Ocaña;2350;42
2347;04902;(04902) El Ejido;El Ejido;2350;43
2282;04041;(04041) Enix;Enix;2350;44
2283;04042;(04042) Escúllar;Escúllar;2350;45
2284;04043;(04043) Felix;Felix;2350;46
2285;04044;(04044) Fines;Fines;2350;47
2286;04045;(04045) Fiñana;Fiñana;2350;48
2287;04046;(04046) Fondón;Fondón;2350;49
2288;04047;(04047) Gádor;Gádor;2350;50
2290;04049;(04049) Garrucha;Garrucha;2350;51
2291;04050;(04050) Gérgal;Gérgal;2350;52
2292;04051;(04051) Huécija;Huécija;2350;53
2293;04052;(04052) Huércal de Almería;Huércal de Almería;2350;54
2294;04053;(04053) Huércal-Overa;Huércal-Overa;2350;55
2295;04054;(04054) Íllar;Íllar;2350;56
2296;04055;(04055) Instinción;Instinción;2350;57
2348;04903;(04903) La Mojonera;La Mojonera;2350;58
2297;04056;(04056) Laroya;Laroya;2350;59
2346;04901;(04901) Las Tres Villas;Las Tres Villas;2350;60
2298;04057;(04057) Láujar de Andarax;Láujar de Andarax;2350;61
2299;04058;(04058) Líjar;Líjar;2350;62
2289;04048;(04048) Los Gallardos;Los Gallardos;2350;63
2300;04059;(04059) Lubrín;Lubrín;2350;64
2301;04060;(04060) Lucainena de las Torres;Lucainena de las Torres;2350;65
2302;04061;(04061) Lúcar;Lúcar;2350;66
2303;04062;(04062) Macael;Macael;2350;67
2304;04063;(04063) María;María;2350;68
2305;04064;(04064) Mojácar;Mojácar;2350;69
2306;04065;(04065) Nacimiento;Nacimiento;2350;70
2307;04066;(04066) Níjar;Níjar;2350;71
2345;04504;(04504) Ocaña;Ocaña;2350;72
2308;04067;(04067) Ohanes;Ohanes;2350;73
2309;04068;(04068) Olula de Castro;Olula de Castro;2350;74
2310;04069;(04069) Olula del Río;Olula del Río;2350;75
2311;04070;(04070) Oria;Oria;2350;76
2312;04071;(04071) Padules;Padules;2350;77
2313;04072;(04072) Partaloa;Partaloa;2350;78
2314;04073;(04073) Paterna del Río;Paterna del Río;2350;79
2315;04074;(04074) Pechina;Pechina;2350;80
2316;04075;(04075) Pulpí;Pulpí;2350;81
2317;04076;(04076) Purchena;Purchena;2350;82
2318;04077;(04077) Rágol;Rágol;2350;83
2319;04078;(04078) Rioja;Rioja;2350;84
2320;04079;(04079) Roquetas de Mar;Roquetas de Mar;2350;85
2321;04080;(04080) Santa Cruz de Marchena;Santa Cruz de Marchena;2350;86
2322;04081;(04081) Santa Fe de Mondújar;Santa Fe de Mondújar;2350;87
2323;04082;(04082) Senés;Senés;2350;88
2324;04083;(04083) Serón;Serón;2350;89
2325;04084;(04084) Sierro;Sierro;2350;90
2326;04085;(04085) Somontín;Somontín;2350;91
2327;04086;(04086) Sorbas;Sorbas;2350;92
2328;04087;(04087) Suflí;Suflí;2350;93
2329;04088;(04088) Tabernas;Tabernas;2350;94
2330;04089;(04089) Taberno;Taberno;2350;95
2331;04090;(04090) Tahal;Tahal;2350;96
2332;04091;(04091) Terque;Terque;2350;97
2333;04092;(04092) Tíjola;Tíjola;2350;98
2334;04093;(04093) Turre;Turre;2350;99
2335;04094;(04094) Turrillas;Turrillas;2350;100
2336;04095;(04095) Uleila del Campo;Uleila del Campo;2350;101
2337;04096;(04096) Urrácal;Urrácal;2350;102
2338;04097;(04097) Velefique;Velefique;2350;103
2339;04098;(04098) Vélez-Blanco;Vélez-Blanco;2350;104
2340;04099;(04099) Vélez-Rubio;Vélez-Rubio;2350;105
2341;04100;(04100) Vera;Vera;2350;106
2342;04101;(04101) Viator;Viator;2350;107
2343;04102;(04102) Vícar;Vícar;2350;108
2344;04103;(04103) Zurgena;Zurgena;2350;109
2349;04NC;(04NC) Municipio de Almería sin especificar;Municipio de Almería sin especificar;2350;110
2401;11_1;(11_1) Cádiz;Cádiz;2402;2
2400;11_2;(11_2) Cádiz;Cádiz;2401;2
2353;11001;(11001) Alcalá de los Gazules;Alcalá de los Gazules;2400;1
2354;11002;(11002) Alcalá del Valle;Alcalá del Valle;2400;2
2355;11003;(11003) Algar;Algar;2400;3
2356;11004;(11004) Algeciras;Algeciras;2400;4
2357;11005;(11005) Algodonales;Algodonales;2400;5
2358;11006;(11006) Arcos de la Frontera;Arcos de la Frontera;2400;6
2360;11007;(11007) Barbate;Barbate;2400;7
2396;11901;(11901) Benalup-Casas Viejas;Benalup-Casas Viejas;2400;10
2362;11009;(11009) Benaocaz;Benaocaz;2400;11
2363;11010;(11010) Bornos;Bornos;2400;12
2365;11012;(11012) Cádiz (capital);Cádiz (capital);2400;13
