ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES61;2020;PERS_MEDI_EMPL;2887.503559677;A;_Z;_Z;_Z
A;ES61;2019;PERS_MEDI_EMPL;4821.319179383;A;_Z;_Z;_Z
A;ES61;2018;PERS_MEDI_EMPL;4589.074675564;A;_Z;_Z;_Z
A;ES61;2017;PERS_MEDI_EMPL;4504.268904882;A;_Z;_Z;_Z
A;ES61;2016;PERS_MEDI_EMPL;4055.70805272;A;_Z;_Z;_Z
A;ES61;2015;PERS_MEDI_EMPL;3897.561508709;A;_Z;_Z;_Z
A;ES61;2014;PERS_MEDI_EMPL;3618.666400353;A;_Z;_Z;_Z
A;ES611;2020;PERS_MEDI_EMPL;200.167021507;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_EMPL;297.493188354;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_EMPL;274.03225421;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_EMPL;270.34934464;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_EMPL;242.20387027;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_EMPL;219.86441842;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_EMPL;188.92344527;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_EMPL;252.677767668;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_EMPL;330.416254721;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_EMPL;358.9758075;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_EMPL;328.46800412;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_EMPL;297.97692269;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_EMPL;290.94569423;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_EMPL;340.01412314;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_EMPL;65.067163513;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_EMPL;86.822828656;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_EMPL;85.270357415;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_EMPL;86.2544269;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_EMPL;81.390861186;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_EMPL;76.317951839;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_EMPL;61.205834324;A;_Z;_Z;_Z
A;ES614;2020;PERS_MEDI_EMPL;296.268380223;A;_Z;_Z;_Z
A;ES614;2019;PERS_MEDI_EMPL;493.496100707;A;_Z;_Z;_Z
A;ES614;2018;PERS_MEDI_EMPL;439.33155711;A;_Z;_Z;_Z
A;ES614;2017;PERS_MEDI_EMPL;383.15148071;A;_Z;_Z;_Z
A;ES614;2016;PERS_MEDI_EMPL;396.63048302;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_EMPL;407.25260777;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_EMPL;329.80967824;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_EMPL;56.970937355;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_EMPL;89.473525751;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_EMPL;74.885385869;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_EMPL;80.226645662;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_EMPL;65.420139014;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_EMPL;58.07012272;A;_Z;_Z;_Z
A;ES615;2014;PERS_MEDI_EMPL;42.609178819;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_EMPL;106.099985057;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_EMPL;165.310847297;A;_Z;_Z;_Z
A;ES616;2018;PERS_MEDI_EMPL;145.85620453;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_EMPL;138.85717404;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_EMPL;149.91132072;A;_Z;_Z;_Z
A;ES616;2015;PERS_MEDI_EMPL;127.65651781;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_EMPL;134.43620054;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_EMPL;1605.992316513;A;_Z;_Z;_Z
