ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO
A;ES611;2020;PERS_MEDI_EMPL;108.89605766200002;A;_Z;_Z
A;ES611;2019;PERS_MEDI_EMPL;122.33819857300001;A;_Z;_Z
A;ES611;2018;PERS_MEDI_EMPL;118.414290599;A;_Z;_Z
A;ES611;2017;PERS_MEDI_EMPL;114.070332196;A;_Z;_Z
A;ES611;2016;PERS_MEDI_EMPL;106.08983337200002;A;_Z;_Z
A;ES611;2015;PERS_MEDI_EMPL;104.849470172;A;_Z;_Z
A;ES611;2014;PERS_MEDI_EMPL;105.256776258;A;_Z;_Z
A;ES611;2013;PERS_MEDI_EMPL;107.088284755;A;_Z;_Z
A;ES611;2012;PERS_MEDI_EMPL;104.583333334;A;_Z;_Z
A;ES611;2011;PERS_MEDI_EMPL;96.32282067;A;_Z;_Z
A;ES611;2010;PERS_MEDI_EMPL;88.331547421;A;_Z;_Z
A;ES611;2009;PERS_MEDI_EMPL;85.15801779;A;_Z;_Z
A;ES611;2008;PERS_MEDI_EMPL;91.370981928;A;_Z;_Z
A;ES611;2007;PERS_MEDI_EMPL;106.683332428;A;_Z;_Z
A;ES612;2020;PERS_MEDI_EMPL;175.80401226200001;A;_Z;_Z
A;ES612;2019;PERS_MEDI_EMPL;222.976781942;A;_Z;_Z
A;ES612;2018;PERS_MEDI_EMPL;226.552613402;A;_Z;_Z
A;ES612;2017;PERS_MEDI_EMPL;209.45481442599998;A;_Z;_Z
A;ES612;2016;PERS_MEDI_EMPL;201.383925488;A;_Z;_Z
A;ES612;2015;PERS_MEDI_EMPL;194.93183516800002;A;_Z;_Z
A;ES612;2014;PERS_MEDI_EMPL;196.334916411;A;_Z;_Z
A;ES612;2013;PERS_MEDI_EMPL;194.61885458700002;A;_Z;_Z
A;ES612;2012;PERS_MEDI_EMPL;186.929756193;A;_Z;_Z
A;ES612;2011;PERS_MEDI_EMPL;183.90145374;A;_Z;_Z
A;ES612;2010;PERS_MEDI_EMPL;175.44125173700002;A;_Z;_Z
A;ES612;2009;PERS_MEDI_EMPL;193.711536965;A;_Z;_Z
A;ES612;2008;PERS_MEDI_EMPL;199.347526503;A;_Z;_Z
A;ES612;2007;PERS_MEDI_EMPL;227.066655283;A;_Z;_Z
A;ES613;2020;PERS_MEDI_EMPL;29.824598139000003;A;_Z;_Z
A;ES613;2019;PERS_MEDI_EMPL;41.429419499999995;A;_Z;_Z
A;ES613;2018;PERS_MEDI_EMPL;38.360813817;A;_Z;_Z
A;ES613;2017;PERS_MEDI_EMPL;44.928605832;A;_Z;_Z
A;ES613;2016;PERS_MEDI_EMPL;35.80206099;A;_Z;_Z
A;ES613;2015;PERS_MEDI_EMPL;34.097458969;A;_Z;_Z
A;ES613;2014;PERS_MEDI_EMPL;33.336279451;A;_Z;_Z
A;ES613;2013;PERS_MEDI_EMPL;34.094528555000004;A;_Z;_Z
A;ES613;2012;PERS_MEDI_EMPL;37.083333333;A;_Z;_Z
A;ES613;2011;PERS_MEDI_EMPL;37.576684892;A;_Z;_Z
A;ES613;2010;PERS_MEDI_EMPL;43.211310926;A;_Z;_Z
A;ES613;2009;PERS_MEDI_EMPL;47.082939808999996;A;_Z;_Z
A;ES613;2008;PERS_MEDI_EMPL;52.131921894;A;_Z;_Z
A;ES613;2007;PERS_MEDI_EMPL;53.322424763;A;_Z;_Z
A;ES614;2020;PERS_MEDI_EMPL;72.744097754;A;_Z;_Z
A;ES614;2019;PERS_MEDI_EMPL;110.042989053;A;_Z;_Z
A;ES614;2018;PERS_MEDI_EMPL;106.47612722999999;A;_Z;_Z
A;ES614;2017;PERS_MEDI_EMPL;103.02120921;A;_Z;_Z
A;ES614;2016;PERS_MEDI_EMPL;109.43106568;A;_Z;_Z
A;ES614;2015;PERS_MEDI_EMPL;110.583694288;A;_Z;_Z
A;ES614;2014;PERS_MEDI_EMPL;112.62010716500001;A;_Z;_Z
A;ES614;2013;PERS_MEDI_EMPL;110.021970877;A;_Z;_Z
A;ES614;2012;PERS_MEDI_EMPL;102.07862198199999;A;_Z;_Z
A;ES614;2011;PERS_MEDI_EMPL;98.38164239899999;A;_Z;_Z
A;ES614;2010;PERS_MEDI_EMPL;90.888350645;A;_Z;_Z
A;ES614;2009;PERS_MEDI_EMPL;104.339795955;A;_Z;_Z
A;ES614;2008;PERS_MEDI_EMPL;110.75350657800001;A;_Z;_Z
A;ES614;2007;PERS_MEDI_EMPL;101.228298573;A;_Z;_Z
A;ES615;2020;PERS_MEDI_EMPL;88.32846993800001;A;_Z;_Z
A;ES615;2019;PERS_MEDI_EMPL;152.171403004;A;_Z;_Z
A;ES615;2018;PERS_MEDI_EMPL;115.465978862;A;_Z;_Z
A;ES615;2017;PERS_MEDI_EMPL;98.783037492;A;_Z;_Z
A;ES615;2016;PERS_MEDI_EMPL;118.78433661599999;A;_Z;_Z
A;ES615;2015;PERS_MEDI_EMPL;116.40593207399999;A;_Z;_Z
A;ES615;2014;PERS_MEDI_EMPL;101.20768492600001;A;_Z;_Z
A;ES615;2013;PERS_MEDI_EMPL;107.96545241;A;_Z;_Z
A;ES615;2012;PERS_MEDI_EMPL;115.936354587;A;_Z;_Z
A;ES615;2011;PERS_MEDI_EMPL;126.78735372900002;A;_Z;_Z
