MACROECO,TIME_PERIOD,OBS_STATUS,REF_AREA,INDICATOR,OBS_VALUE,FREQ,CNAE_CRA_NEW
93017,2021,1E,3143,TAS_INTER_PREC_CORR,8.768814659,A,_Z
93017,2020,AV,3143,TAS_INTER_PREC_CORR,-7.242574136,A,_Z
93017,2019,P,3143,TAS_INTER_PREC_CORR,1.02870874,A,_Z
93017,2018,A,3143,TAS_INTER_PREC_CORR,2.985107247,A,_Z
93017,2017,A,3143,TAS_INTER_PREC_CORR,4.387909803,A,_Z
93017,2016,A,3143,TAS_INTER_PREC_CORR,2.587242576,A,_Z
93017,2015,A,3143,TAS_INTER_PREC_CORR,2.250037396,A,_Z
93017,2014,A,3143,TAS_INTER_PREC_CORR,1.282165577,A,_Z
93017,2013,A,3143,TAS_INTER_PREC_CORR,-2.020692986,A,_Z
93017,2012,A,3143,TAS_INTER_PREC_CORR,-2.953963765,A,_Z
93017,2011,A,3143,TAS_INTER_PREC_CORR,-0.415148608,A,_Z
93017,2010,A,3143,TAS_INTER_PREC_CORR,1.896823806,A,_Z
93017,2009,A,3143,TAS_INTER_PREC_CORR,-1.999318386,A,_Z
93017,2008,A,3143,TAS_INTER_PREC_CORR,5.009903253,A,_Z
93017,2007,A,3143,TAS_INTER_PREC_CORR,8.103375404,A,_Z
93018,2021,1E,3143,TAS_INTER_PREC_CORR,8.783777781,A,_Z
93018,2020,AV,3143,TAS_INTER_PREC_CORR,-12.538928773,A,_Z
93018,2019,P,3143,TAS_INTER_PREC_CORR,-0.249254158,A,_Z
93018,2018,A,3143,TAS_INTER_PREC_CORR,2.792730385,A,_Z
93018,2017,A,3143,TAS_INTER_PREC_CORR,5.189571242,A,_Z
93018,2016,A,3143,TAS_INTER_PREC_CORR,2.848973126,A,_Z
93018,2015,A,3143,TAS_INTER_PREC_CORR,1.754457926,A,_Z
93018,2014,A,3143,TAS_INTER_PREC_CORR,1.824491877,A,_Z
93018,2013,A,3143,TAS_INTER_PREC_CORR,-2.260879228,A,_Z
93018,2012,A,3143,TAS_INTER_PREC_CORR,-1.783187265,A,_Z
93018,2011,A,3143,TAS_INTER_PREC_CORR,-0.351692986,A,_Z
93018,2010,A,3143,TAS_INTER_PREC_CORR,2.413224772,A,_Z
93018,2009,A,3143,TAS_INTER_PREC_CORR,-4.609217503,A,_Z
93018,2008,A,3143,TAS_INTER_PREC_CORR,3.221659358,A,_Z
93018,2007,A,3143,TAS_INTER_PREC_CORR,7.417237409,A,_Z
93011,2021,1E,3143,TAS_INTER_PREC_CORR,8.736837307,A,_Z
93011,2020,AV,3143,TAS_INTER_PREC_CORR,6.546012327,A,_Z
93011,2019,P,3143,TAS_INTER_PREC_CORR,4.514665689,A,_Z
93011,2018,A,3143,TAS_INTER_PREC_CORR,3.513542008,A,_Z
93011,2017,A,3143,TAS_INTER_PREC_CORR,2.247439092,A,_Z
93011,2016,A,3143,TAS_INTER_PREC_CORR,1.894893411,A,_Z
93011,2015,A,3143,TAS_INTER_PREC_CORR,3.584559091,A,_Z
93011,2014,A,3143,TAS_INTER_PREC_CORR,-0.149920628,A,_Z
93011,2013,A,3143,TAS_INTER_PREC_CORR,-1.380737234,A,_Z
93011,2012,A,3143,TAS_INTER_PREC_CORR,-5.941332294,A,_Z
93011,2011,A,3143,TAS_INTER_PREC_CORR,-0.576697196,A,_Z
93011,2010,A,3143,TAS_INTER_PREC_CORR,0.605351334,A,_Z
93011,2009,A,3143,TAS_INTER_PREC_CORR,5.1989284,A,_Z
93011,2008,A,3143,TAS_INTER_PREC_CORR,10.279198419,A,_Z
93011,2007,A,3143,TAS_INTER_PREC_CORR,10.177117152,A,_Z
93020,2019,P,3143,TAS_INTER_PREC_CORR,5.472443432,A,_Z
93020,2018,A,3143,TAS_INTER_PREC_CORR,3.524912982,A,_Z
93020,2017,A,3143,TAS_INTER_PREC_CORR,2.630702135,A,_Z
93020,2016,A,3143,TAS_INTER_PREC_CORR,3.520949438,A,_Z
93020,2015,A,3143,TAS_INTER_PREC_CORR,3.418312439,A,_Z
93020,2014,A,3143,TAS_INTER_PREC_CORR,-0.297771,A,_Z
93020,2013,A,3143,TAS_INTER_PREC_CORR,-1.293528085,A,_Z
93020,2012,A,3143,TAS_INTER_PREC_CORR,-7.705608888,A,_Z
93020,2011,A,3143,TAS_INTER_PREC_CORR,-2.302424166,A,_Z
93020,2010,A,3143,TAS_INTER_PREC_CORR,-0.413668568,A,_Z
93020,2009,A,3143,TAS_INTER_PREC_CORR,4.921057631,A,_Z
93020,2008,A,3143,TAS_INTER_PREC_CORR,14.084329611,A,_Z
93020,2007,A,3143,TAS_INTER_PREC_CORR,10.104858444,A,_Z
93012,2019,P,3143,TAS_INTER_PREC_CORR,3.096250651,A,_Z
93012,2018,A,3143,TAS_INTER_PREC_CORR,3.496706823,A,_Z
93012,2017,A,3143,TAS_INTER_PREC_CORR,1.685230132,A,_Z
93012,2016,A,3143,TAS_INTER_PREC_CORR,-0.400025296,A,_Z
93012,2015,A,3143,TAS_INTER_PREC_CORR,3.82010128,A,_Z
93012,2014,A,3143,TAS_INTER_PREC_CORR,0.06030962,A,_Z
93012,2013,A,3143,TAS_INTER_PREC_CORR,-1.504475974,A,_Z
93012,2012,A,3143,TAS_INTER_PREC_CORR,-3.319071887,A,_Z
93012,2011,A,3143,TAS_INTER_PREC_CORR,2.103952076,A,_Z
93012,2010,A,3143,TAS_INTER_PREC_CORR,2.230265141,A,_Z
93012,2009,A,3143,TAS_INTER_PREC_CORR,5.645074518,A,_Z
93012,2008,A,3143,TAS_INTER_PREC_CORR,4.67368483,A,_Z
93012,2007,A,3143,TAS_INTER_PREC_CORR,10.283737713,A,_Z
93016,2021,1E,3143,TAS_INTER_PREC_CORR,7.035148071,A,_Z
93016,2020,AV,3143,TAS_INTER_PREC_CORR,-10.340212461,A,_Z
93016,2019,P,3143,TAS_INTER_PREC_CORR,7.82616882,A,_Z
93016,2018,A,3143,TAS_INTER_PREC_CORR,12.206319046,A,_Z
93016,2017,A,3143,TAS_INTER_PREC_CORR,7.669704039,A,_Z
93016,2016,A,3143,TAS_INTER_PREC_CORR,-0.726785514,A,_Z
93016,2015,A,3143,TAS_INTER_PREC_CORR,10.07351064,A,_Z
93016,2014,A,3143,TAS_INTER_PREC_CORR,1.856944562,A,_Z
93016,2013,A,3143,TAS_INTER_PREC_CORR,-8.234917569,A,_Z
93016,2012,A,3143,TAS_INTER_PREC_CORR,-14.305605433,A,_Z
93016,2011,A,3143,TAS_INTER_PREC_CORR,-10.716951049,A,_Z
93016,2010,A,3143,TAS_INTER_PREC_CORR,-6.310343211,A,_Z
93016,2009,A,3143,TAS_INTER_PREC_CORR,-20.402567009,A,_Z
93016,2008,A,3143,TAS_INTER_PREC_CORR,-5.761338923,A,_Z
93016,2007,A,3143,TAS_INTER_PREC_CORR,4.793857658,A,_Z
93013,2021,1E,3143,TAS_INTER_PREC_CORR,8.483362795,A,_Z
93013,2020,AV,3143,TAS_INTER_PREC_CORR,-7.767243248,A,_Z
93013,2019,P,3143,TAS_INTER_PREC_CORR,2.119104813,A,_Z
93013,2018,A,3143,TAS_INTER_PREC_CORR,4.360877827,A,_Z
93013,2017,A,3143,TAS_INTER_PREC_CORR,4.864785867,A,_Z
93013,2016,A,3143,TAS_INTER_PREC_CORR,2.092009063,A,_Z
93013,2015,A,3143,TAS_INTER_PREC_CORR,3.347706572,A,_Z
93013,2014,A,3143,TAS_INTER_PREC_CORR,1.362418168,A,_Z
93013,2013,A,3143,TAS_INTER_PREC_CORR,-2.938423165,A,_Z
93013,2012,A,3143,TAS_INTER_PREC_CORR,-4.816042689,A,_Z
93013,2011,A,3143,TAS_INTER_PREC_CORR,-2.264987007,A,_Z
93013,2010,A,3143,TAS_INTER_PREC_CORR,0.318832285,A,_Z
93013,2009,A,3143,TAS_INTER_PREC_CORR,-6.17038163,A,_Z
93013,2008,A,3143,TAS_INTER_PREC_CORR,2.358279252,A,_Z
93013,2007,A,3143,TAS_INTER_PREC_CORR,7.269404485,A,_Z
93015,2021,1E,3143,TAS_INTER_PREC_CORR,19.579114151,A,_Z
93015,2020,AV,3143,TAS_INTER_PREC_CORR,-23.899603547,A,_Z
93015,2019,P,3143,TAS_INTER_PREC_CORR,1.473038868,A,_Z
93015,2018,A,3143,TAS_INTER_PREC_CORR,3.986098788,A,_Z
93015,2017,A,3143,TAS_INTER_PREC_CORR,9.792086887,A,_Z
93015,2016,A,3143,TAS_INTER_PREC_CORR,5.861725224,A,_Z
93015,2015,A,3143,TAS_INTER_PREC_CORR,0.426693505,A,_Z
93015,2014,A,3143,TAS_INTER_PREC_CORR,1.890116886,A,_Z
93015,2013,A,3143,TAS_INTER_PREC_CORR,0.650623971,A,_Z
93015,2012,A,3143,TAS_INTER_PREC_CORR,3.845890019,A,_Z
93015,2011,A,3143,TAS_INTER_PREC_CORR,11.258242667,A,_Z
93015,2010,A,3143,TAS_INTER_PREC_CORR,10.516523878,A,_Z
93015,2009,A,3143,TAS_INTER_PREC_CORR,-10.796670185,A,_Z
93015,2008,A,3143,TAS_INTER_PREC_CORR,4.487296269,A,_Z
93015,2007,A,3143,TAS_INTER_PREC_CORR,5.931964949,A,_Z
93019,2021,1E,3143,TAS_INTER_PREC_CORR,17.444313686,A,_Z
93019,2020,AV,3143,TAS_INTER_PREC_CORR,-18.372748825,A,_Z
93019,2019,P,3143,TAS_INTER_PREC_CORR,0.001982695,A,_Z
93019,2018,A,3143,TAS_INTER_PREC_CORR,6.025847361,A,_Z
93019,2017,A,3143,TAS_INTER_PREC_CORR,8.217054458,A,_Z
93019,2016,A,3143,TAS_INTER_PREC_CORR,4.005042447,A,_Z
93019,2015,A,3143,TAS_INTER_PREC_CORR,-2.246189662,A,_Z
93019,2014,A,3143,TAS_INTER_PREC_CORR,2.34190711,A,_Z
93019,2013,A,3143,TAS_INTER_PREC_CORR,-3.441580301,A,_Z
93019,2012,A,3143,TAS_INTER_PREC_CORR,-1.819240386,A,_Z
93019,2011,A,3143,TAS_INTER_PREC_CORR,5.161511785,A,_Z
93019,2010,A,3143,TAS_INTER_PREC_CORR,7.668453987,A,_Z
93019,2009,A,3143,TAS_INTER_PREC_CORR,-12.398154347,A,_Z
93019,2008,A,3143,TAS_INTER_PREC_CORR,4.060854703,A,_Z
93019,2007,A,3143,TAS_INTER_PREC_CORR,6.528854615,A,_Z
93023,2021,1E,3143,TAS_INTER_PREC_CORR,8.638074151,A,_Z
93023,2020,AV,3143,TAS_INTER_PREC_CORR,-9.633555973,A,_Z
93023,2019,P,3143,TAS_INTER_PREC_CORR,2.87269482,A,_Z
93023,2018,A,3143,TAS_INTER_PREC_CORR,3.406389888,A,_Z
93023,2017,A,3143,TAS_INTER_PREC_CORR,5.349411789,A,_Z
93023,2016,A,3143,TAS_INTER_PREC_CORR,2.729621672,A,_Z
93023,2015,A,3143,TAS_INTER_PREC_CORR,4.870954437,A,_Z
93023,2014,A,3143,TAS_INTER_PREC_CORR,1.106609808,A,_Z
93023,2013,A,3143,TAS_INTER_PREC_CORR,-1.223154762,A,_Z
93023,2012,A,3143,TAS_INTER_PREC_CORR,-2.981976206,A,_Z
93023,2011,A,3143,TAS_INTER_PREC_CORR,-1.105792032,A,_Z
93023,2010,A,3143,TAS_INTER_PREC_CORR,0.298281107,A,_Z
93023,2009,A,3143,TAS_INTER_PREC_CORR,-4.780774899,A,_Z
93023,2008,A,3143,TAS_INTER_PREC_CORR,2.261130646,A,_Z
93023,2007,A,3143,TAS_INTER_PREC_CORR,7.176416553,A,_Z
93077,2021,1E,3143,TAS_INTER_PREC_CORR,7.70568507,A,_Z
93077,2020,AV,3143,TAS_INTER_PREC_CORR,-8.873196839,A,_Z
93077,2019,P,3143,TAS_INTER_PREC_CORR,3.033479215,A,_Z
93077,2018,A,3143,TAS_INTER_PREC_CORR,3.174731332,A,_Z
93077,2017,A,3143,TAS_INTER_PREC_CORR,5.30762541,A,_Z
93077,2016,A,3143,TAS_INTER_PREC_CORR,2.575175942,A,_Z
93077,2015,A,3143,TAS_INTER_PREC_CORR,4.692267399,A,_Z
93077,2014,A,3143,TAS_INTER_PREC_CORR,0.763375554,A,_Z
93077,2013,A,3143,TAS_INTER_PREC_CORR,-1.928045754,A,_Z
93077,2012,A,3143,TAS_INTER_PREC_CORR,-3.145126974,A,_Z
93077,2011,A,3143,TAS_INTER_PREC_CORR,-0.783627933,A,_Z
93077,2010,A,3143,TAS_INTER_PREC_CORR,-1.707207181,A,_Z
93077,2009,A,3143,TAS_INTER_PREC_CORR,-3.264662918,A,_Z
93077,2008,A,3143,TAS_INTER_PREC_CORR,4.576113252,A,_Z
93077,2007,A,3143,TAS_INTER_PREC_CORR,7.752699934,A,_Z
93065,2021,1E,3143,TAS_INTER_PREC_CORR,2.150232194,A,_Z
93065,2020,AV,3143,TAS_INTER_PREC_CORR,15.840808646,A,_Z
93065,2019,P,3143,TAS_INTER_PREC_CORR,-12.342189876,A,_Z
93065,2018,A,3143,TAS_INTER_PREC_CORR,-0.508022112,A,_Z
93065,2017,A,3143,TAS_INTER_PREC_CORR,11.414543673,A,_Z
93065,2016,A,3143,TAS_INTER_PREC_CORR,0.716787078,A,_Z
93065,2015,A,3143,TAS_INTER_PREC_CORR,34.695357896,A,_Z
93065,2014,A,3143,TAS_INTER_PREC_CORR,-4.15233942,A,_Z
93065,2013,A,3143,TAS_INTER_PREC_CORR,23.43686643,A,_Z
93065,2012,A,3143,TAS_INTER_PREC_CORR,-10.083487846,A,_Z
93065,2011,A,3143,TAS_INTER_PREC_CORR,-6.062327425,A,_Z
93065,2010,A,3143,TAS_INTER_PREC_CORR,7.242681573,A,_Z
93065,2009,A,3143,TAS_INTER_PREC_CORR,-10.384182813,A,_Z
93065,2008,A,3143,TAS_INTER_PREC_CORR,-8.857668029,A,_Z
93065,2007,A,3143,TAS_INTER_PREC_CORR,9.683728128,A,_Z
93066,2021,1E,3143,TAS_INTER_PREC_CORR,20.027679411,A,_Z
93066,2020,AV,3143,TAS_INTER_PREC_CORR,-15.046559808,A,_Z
93066,2019,P,3143,TAS_INTER_PREC_CORR,0.990862006,A,_Z
93066,2018,A,3143,TAS_INTER_PREC_CORR,1.161681014,A,_Z
93066,2017,A,3143,TAS_INTER_PREC_CORR,8.982815975,A,_Z
93066,2016,A,3143,TAS_INTER_PREC_CORR,1.718678544,A,_Z
93066,2015,A,3143,TAS_INTER_PREC_CORR,2.793491844,A,_Z
93066,2014,A,3143,TAS_INTER_PREC_CORR,0.644997816,A,_Z
93066,2013,A,3143,TAS_INTER_PREC_CORR,-5.327855048,A,_Z
93066,2012,A,3143,TAS_INTER_PREC_CORR,-1.90075214,A,_Z
93066,2011,A,3143,TAS_INTER_PREC_CORR,2.664999942,A,_Z
93066,2010,A,3143,TAS_INTER_PREC_CORR,9.81757268,A,_Z
93066,2009,A,3143,TAS_INTER_PREC_CORR,-12.516660435,A,_Z
93066,2008,A,3143,TAS_INTER_PREC_CORR,5.662163814,A,_Z
93066,2007,A,3143,TAS_INTER_PREC_CORR,3.514935438,A,_Z
93067,2021,1E,3143,TAS_INTER_PREC_CORR,15.411402684,A,_Z
93067,2020,AV,3143,TAS_INTER_PREC_CORR,-13.647163152,A,_Z
93067,2019,P,3143,TAS_INTER_PREC_CORR,1.061954492,A,_Z
93067,2018,A,3143,TAS_INTER_PREC_CORR,0.663322548,A,_Z
93067,2017,A,3143,TAS_INTER_PREC_CORR,10.763989552,A,_Z
93067,2016,A,3143,TAS_INTER_PREC_CORR,2.678456719,A,_Z
93067,2015,A,3143,TAS_INTER_PREC_CORR,5.124449347,A,_Z
93067,2014,A,3143,TAS_INTER_PREC_CORR,1.135916045,A,_Z
93067,2013,A,3143,TAS_INTER_PREC_CORR,-7.913672252,A,_Z
93067,2012,A,3143,TAS_INTER_PREC_CORR,-3.377003301,A,_Z
93067,2011,A,3143,TAS_INTER_PREC_CORR,-1.402183096,A,_Z
93067,2010,A,3143,TAS_INTER_PREC_CORR,10.940610094,A,_Z
93067,2009,A,3143,TAS_INTER_PREC_CORR,-19.291241322,A,_Z
93067,2008,A,3143,TAS_INTER_PREC_CORR,2.818038793,A,_Z
93067,2007,A,3143,TAS_INTER_PREC_CORR,2.266224811,A,_Z
93068,2021,1E,3143,TAS_INTER_PREC_CORR,5.566858987,A,_Z
93068,2020,AV,3143,TAS_INTER_PREC_CORR,-10.810288502,A,_Z
93068,2019,P,3143,TAS_INTER_PREC_CORR,11.460566181,A,_Z
93068,2018,A,3143,TAS_INTER_PREC_CORR,6.252971359,A,_Z
93068,2017,A,3143,TAS_INTER_PREC_CORR,4.875512646,A,_Z
93068,2016,A,3143,TAS_INTER_PREC_CORR,2.619470639,A,_Z
93068,2015,A,3143,TAS_INTER_PREC_CORR,6.125616805,A,_Z
93068,2014,A,3143,TAS_INTER_PREC_CORR,-1.209956927,A,_Z
93068,2013,A,3143,TAS_INTER_PREC_CORR,-13.581470822,A,_Z
93068,2012,A,3143,TAS_INTER_PREC_CORR,-16.387467299,A,_Z
93068,2011,A,3143,TAS_INTER_PREC_CORR,-16.879911258,A,_Z
93068,2010,A,3143,TAS_INTER_PREC_CORR,-21.932338469,A,_Z
93068,2009,A,3143,TAS_INTER_PREC_CORR,-14.754197074,A,_Z
93068,2008,A,3143,TAS_INTER_PREC_CORR,0.760426163,A,_Z
93068,2007,A,3143,TAS_INTER_PREC_CORR,5.132278163,A,_Z
93070,2021,1E,3143,TAS_INTER_PREC_CORR,6.718490307,A,_Z
93070,2020,AV,3143,TAS_INTER_PREC_CORR,-9.705269768,A,_Z
93070,2019,P,3143,TAS_INTER_PREC_CORR,4.068383464,A,_Z
93070,2018,A,3143,TAS_INTER_PREC_CORR,3.596700178,A,_Z
93070,2017,A,3143,TAS_INTER_PREC_CORR,4.23760626,A,_Z
93070,2016,A,3143,TAS_INTER_PREC_CORR,2.873401366,A,_Z
93070,2015,A,3143,TAS_INTER_PREC_CORR,2.760440174,A,_Z
93070,2014,A,3143,TAS_INTER_PREC_CORR,1.305535862,A,_Z
93070,2013,A,3143,TAS_INTER_PREC_CORR,-1.820250885,A,_Z
93070,2012,A,3143,TAS_INTER_PREC_CORR,-1.467874739,A,_Z
93070,2011,A,3143,TAS_INTER_PREC_CORR,1.152011773,A,_Z
93070,2010,A,3143,TAS_INTER_PREC_CORR,-0.550914953,A,_Z
93070,2009,A,3143,TAS_INTER_PREC_CORR,1.053540909,A,_Z
93070,2008,A,3143,TAS_INTER_PREC_CORR,6.336136153,A,_Z
