TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;57628;ES61;_T;DEATHS;78461.0;A
2020;57628;ES61;M;DEATHS;40280.0;A
2020;57628;ES61;F;DEATHS;38181.0;A
2020;57628;ES611;_T;DEATHS;5698.0;A
2020;57628;ES611;M;DEATHS;3051.0;A
2020;57628;ES611;F;DEATHS;2647.0;A
2020;57628;ES612;_T;DEATHS;11224.0;A
2020;57628;ES612;M;DEATHS;5914.0;A
2020;57628;ES612;F;DEATHS;5310.0;A
2020;57628;ES613;_T;DEATHS;8299.0;A
2020;57628;ES613;M;DEATHS;4132.0;A
2020;57628;ES613;F;DEATHS;4167.0;A
2020;57628;ES614;_T;DEATHS;9599.0;A
2020;57628;ES614;M;DEATHS;4819.0;A
2020;57628;ES614;F;DEATHS;4780.0;A
2020;57628;ES615;_T;DEATHS;4696.0;A
2020;57628;ES615;M;DEATHS;2421.0;A
2020;57628;ES615;F;DEATHS;2275.0;A
2020;57628;ES616;_T;DEATHS;7356.0;A
2020;57628;ES616;M;DEATHS;3666.0;A
2020;57628;ES616;F;DEATHS;3690.0;A
2020;57628;ES617;_T;DEATHS;14174.0;A
2020;57628;ES617;M;DEATHS;7388.0;A
2020;57628;ES617;F;DEATHS;6786.0;A
2020;57628;ES618;_T;DEATHS;17415.0;A
2020;57628;ES618;M;DEATHS;8889.0;A
2020;57628;ES618;F;DEATHS;8526.0;A
2020;56093;ES61;_T;DEATHS;7653.0;A
2020;56093;ES61;M;DEATHS;4082.0;A
2020;56093;ES61;F;DEATHS;3571.0;A
2020;56093;ES611;_T;DEATHS;380.0;A
2020;56093;ES611;M;DEATHS;210.0;A
2020;56093;ES611;F;DEATHS;170.0;A
2020;56093;ES612;_T;DEATHS;891.0;A
2020;56093;ES612;M;DEATHS;497.0;A
2020;56093;ES612;F;DEATHS;394.0;A
2020;56093;ES613;_T;DEATHS;769.0;A
2020;56093;ES613;M;DEATHS;399.0;A
2020;56093;ES613;F;DEATHS;370.0;A
2020;56093;ES614;_T;DEATHS;1491.0;A
2020;56093;ES614;M;DEATHS;770.0;A
2020;56093;ES614;F;DEATHS;721.0;A
2020;56093;ES615;_T;DEATHS;255.0;A
2020;56093;ES615;M;DEATHS;134.0;A
2020;56093;ES615;F;DEATHS;121.0;A
2020;56093;ES616;_T;DEATHS;967.0;A
2020;56093;ES616;M;DEATHS;505.0;A
2020;56093;ES616;F;DEATHS;462.0;A
2020;56093;ES617;_T;DEATHS;1236.0;A
2020;56093;ES617;M;DEATHS;684.0;A
2020;56093;ES617;F;DEATHS;552.0;A
2020;56093;ES618;_T;DEATHS;1664.0;A
2020;56093;ES618;M;DEATHS;883.0;A
2020;56093;ES618;F;DEATHS;781.0;A
2020;518590;ES61;_T;DEATHS;5815.0;A
2020;518590;ES61;M;DEATHS;3165.0;A
2020;518590;ES61;F;DEATHS;2650.0;A
2020;518590;ES611;_T;DEATHS;266.0;A
2020;518590;ES611;M;DEATHS;151.0;A
2020;518590;ES611;F;DEATHS;115.0;A
2020;518590;ES612;_T;DEATHS;640.0;A
2020;518590;ES612;M;DEATHS;374.0;A
2020;518590;ES612;F;DEATHS;266.0;A
2020;518590;ES613;_T;DEATHS;579.0;A
2020;518590;ES613;M;DEATHS;305.0;A
2020;518590;ES613;F;DEATHS;274.0;A
2020;518590;ES614;_T;DEATHS;1228.0;A
2020;518590;ES614;M;DEATHS;647.0;A
2020;518590;ES614;F;DEATHS;581.0;A
2020;518590;ES615;_T;DEATHS;169.0;A
2020;518590;ES615;M;DEATHS;92.0;A
2020;518590;ES615;F;DEATHS;77.0;A
2020;518590;ES616;_T;DEATHS;722.0;A
2020;518590;ES616;M;DEATHS;381.0;A
2020;518590;ES616;F;DEATHS;341.0;A
2020;518590;ES617;_T;DEATHS;841.0;A
2020;518590;ES617;M;DEATHS;474.0;A
2020;518590;ES617;F;DEATHS;367.0;A
2020;518590;ES618;_T;DEATHS;1370.0;A
2020;518590;ES618;M;DEATHS;741.0;A
2020;518590;ES618;F;DEATHS;629.0;A
2020;518591;ES61;_T;DEATHS;710.0;A
2020;518591;ES61;M;DEATHS;355.0;A
2020;518591;ES61;F;DEATHS;355.0;A
2020;518591;ES611;_T;DEATHS;33.0;A
2020;518591;ES611;M;DEATHS;18.0;A
2020;518591;ES611;F;DEATHS;15.0;A
2020;518591;ES612;_T;DEATHS;67.0;A
2020;518591;ES612;M;DEATHS;29.0;A
2020;518591;ES612;F;DEATHS;38.0;A
2020;518591;ES613;_T;DEATHS;73.0;A
2020;518591;ES613;M;DEATHS;43.0;A
2020;518591;ES613;F;DEATHS;30.0;A
2020;518591;ES614;_T;DEATHS;125.0;A
2020;518591;ES614;M;DEATHS;64.0;A
2020;518591;ES614;F;DEATHS;61.0;A
2020;518591;ES615;_T;DEATHS;17.0;A
2020;518591;ES615;M;DEATHS;7.0;A
2020;518591;ES615;F;DEATHS;10.0;A
2020;518591;ES616;_T;DEATHS;145.0;A
2020;518591;ES616;M;DEATHS;75.0;A
2020;518591;ES616;F;DEATHS;70.0;A
2020;518591;ES617;_T;DEATHS;185.0;A
2020;518591;ES617;M;DEATHS;94.0;A
2020;518591;ES617;F;DEATHS;91.0;A
2020;518591;ES618;_T;DEATHS;65.0;A
2020;518591;ES618;M;DEATHS;25.0;A
2020;518591;ES618;F;DEATHS;40.0;A
2020;56232;ES61;_T;DEATHS;18323.0;A
2020;56232;ES61;M;DEATHS;11151.0;A
2020;56232;ES61;F;DEATHS;7172.0;A
2020;56232;ES611;_T;DEATHS;1332.0;A
2020;56232;ES611;M;DEATHS;812.0;A
2020;56232;ES611;F;DEATHS;520.0;A
2020;56232;ES612;_T;DEATHS;2788.0;A
2020;56232;ES612;M;DEATHS;1730.0;A
2020;56232;ES612;F;DEATHS;1058.0;A
2020;56232;ES613;_T;DEATHS;1837.0;A
2020;56232;ES613;M;DEATHS;1083.0;A
2020;56232;ES613;F;DEATHS;754.0;A
2020;56232;ES614;_T;DEATHS;2039.0;A
2020;56232;ES614;M;DEATHS;1246.0;A
2020;56232;ES614;F;DEATHS;793.0;A
2020;56232;ES615;_T;DEATHS;1211.0;A
2020;56232;ES615;M;DEATHS;744.0;A
2020;56232;ES615;F;DEATHS;467.0;A
2020;56232;ES616;_T;DEATHS;1421.0;A
2020;56232;ES616;M;DEATHS;839.0;A
2020;56232;ES616;F;DEATHS;582.0;A
2020;56232;ES617;_T;DEATHS;3451.0;A
2020;56232;ES617;M;DEATHS;2113.0;A
2020;56232;ES617;F;DEATHS;1338.0;A
2020;56232;ES618;_T;DEATHS;4244.0;A
2020;56232;ES618;M;DEATHS;2584.0;A
2020;56232;ES618;F;DEATHS;1660.0;A
2020;56266;ES61;_T;DEATHS;312.0;A
2020;56266;ES61;M;DEATHS;144.0;A
2020;56266;ES61;F;DEATHS;168.0;A
2020;56266;ES611;_T;DEATHS;30.0;A
2020;56266;ES611;M;DEATHS;19.0;A
2020;56266;ES611;F;DEATHS;11.0;A
2020;56266;ES612;_T;DEATHS;44.0;A
2020;56266;ES612;M;DEATHS;25.0;A
2020;56266;ES612;F;DEATHS;19.0;A
2020;56266;ES613;_T;DEATHS;38.0;A
2020;56266;ES613;M;DEATHS;10.0;A
2020;56266;ES613;F;DEATHS;28.0;A
2020;56266;ES614;_T;DEATHS;23.0;A
2020;56266;ES614;M;DEATHS;10.0;A
2020;56266;ES614;F;DEATHS;13.0;A
2020;56266;ES615;_T;DEATHS;24.0;A
2020;56266;ES615;M;DEATHS;8.0;A
2020;56266;ES615;F;DEATHS;16.0;A
2020;56266;ES616;_T;DEATHS;34.0;A
2020;56266;ES616;M;DEATHS;14.0;A
2020;56266;ES616;F;DEATHS;20.0;A
2020;56266;ES617;_T;DEATHS;61.0;A
2020;56266;ES617;M;DEATHS;30.0;A
2020;56266;ES617;F;DEATHS;31.0;A
2020;56266;ES618;_T;DEATHS;58.0;A
2020;56266;ES618;M;DEATHS;28.0;A
2020;56266;ES618;F;DEATHS;30.0;A
2020;56338;ES61;_T;DEATHS;2565.0;A
2020;56338;ES61;M;DEATHS;1121.0;A
2020;56338;ES61;F;DEATHS;1444.0;A
2020;56338;ES611;_T;DEATHS;208.0;A
2020;56338;ES611;M;DEATHS;109.0;A
2020;56338;ES611;F;DEATHS;99.0;A
2020;56338;ES612;_T;DEATHS;377.0;A
2020;56338;ES612;M;DEATHS;169.0;A
2020;56338;ES612;F;DEATHS;208.0;A
2020;56338;ES613;_T;DEATHS;337.0;A
2020;56338;ES613;M;DEATHS;141.0;A
2020;56338;ES613;F;DEATHS;196.0;A
2020;56338;ES614;_T;DEATHS;295.0;A
2020;56338;ES614;M;DEATHS;118.0;A
2020;56338;ES614;F;DEATHS;177.0;A
2020;56338;ES615;_T;DEATHS;171.0;A
2020;56338;ES615;M;DEATHS;74.0;A
2020;56338;ES615;F;DEATHS;97.0;A
2020;56338;ES616;_T;DEATHS;331.0;A
2020;56338;ES616;M;DEATHS;148.0;A
2020;56338;ES616;F;DEATHS;183.0;A
2020;56338;ES617;_T;DEATHS;385.0;A
2020;56338;ES617;M;DEATHS;162.0;A
2020;56338;ES617;F;DEATHS;223.0;A
2020;56338;ES618;_T;DEATHS;461.0;A
