TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES61;TOTAL;4948;DIV;13992.45022;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4826;DIV;66.44534;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4832;DIV;370.92472;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4839;DIV;1264.70311;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4845;DIV;2121.83561;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4851;DIV;2947.93777;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4858;DIV;2895.0573;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4864;DIV;2019.7398;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4870;DIV;1229.21899;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4876;DIV;594.70121;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4882;DIV;302.54249;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4888;DIV;107.71168;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4947;DIV;71.6322;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y15-19;4948;DIV;13.28702;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y15-19;4826;DIV;2.35115;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y15-19;4832;DIV;2.13486;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y15-19;4839;DIV;6.47184;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y15-19;4858;DIV;2.32917;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4948;DIV;240.88527;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4826;DIV;28.4117;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4832;DIV;119.16007;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4839;DIV;75.18189;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4845;DIV;12.94169;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y25-29;4851;DIV;5.18992;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y30-34;4948;DIV;784.63161;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;Y30-34;4826;DIV;7.91865;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
