TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES61;TOTAL;4967;DIV;13992.45022;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4958;DIV;12984.57027;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4962;DIV;50.81271;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;TOTAL;4965;DIV;957.06724;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4316;4967;DIV;12774.03164;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4316;4958;DIV;12252.15162;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4316;4962;DIV;40.50876;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4316;4965;DIV;481.37126;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4320;4967;DIV;91.07744;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4320;4958;DIV;70.01074;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4320;4962;DIV;1.71681;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4320;4965;DIV;19.34989;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4323;4967;DIV;1127.34114;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4323;4958;DIV;662.40791;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4323;4962;DIV;8.58714;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES61;4323;4965;DIV;456.34609;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4967;DIV;1287.5417;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4958;DIV;1161.18004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4962;DIV;6.40458;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;TOTAL;4965;DIV;119.95708;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4316;4967;DIV;1192.0251;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4316;4958;DIV;1101.07268;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4316;4962;DIV;6.40458;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4316;4965;DIV;84.54784;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4320;4967;DIV;4.26972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4320;4958;DIV;4.26972;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4323;4967;DIV;91.24688;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4323;4958;DIV;55.83764;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES611;4323;4965;DIV;35.40924;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;TOTAL;4967;DIV;1956.38358;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;TOTAL;4958;DIV;1815.78686;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;TOTAL;4962;DIV;7.34955;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;TOTAL;4965;DIV;133.24717;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4316;4967;DIV;1777.88894;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4316;4958;DIV;1733.83062;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4316;4962;DIV;5.24411;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4316;4965;DIV;38.81421;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4320;4967;DIV;19.98219;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4320;4958;DIV;14.73808;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4320;4965;DIV;5.24411;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4323;4967;DIV;158.51245;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4323;4958;DIV;67.21816;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4323;4962;DIV;2.10544;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES612;4323;4965;DIV;89.18885;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;TOTAL;4967;DIV;1295.68526;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;TOTAL;4958;DIV;1207.81489;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;TOTAL;4962;DIV;7.07445;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;TOTAL;4965;DIV;80.79592;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES613;4316;4967;DIV;1172.8272;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
