TIME_PERIOD,REF_AREA,ESTADO_CIVIL,D_ESTADOCIVILC2_0,INDICATOR,OBS_VALUE,FREQ
2020,ES61,TOTAL,,DIV,13992.45022,A
2020,ES61,TOTAL,,DIV,12984.57027,A
2020,ES61,TOTAL,,DIV,50.81271,A
2020,ES61,TOTAL,,DIV,957.06724,A
2020,ES61,,,DIV,12774.03164,A
2020,ES61,,,DIV,12252.15162,A
2020,ES61,,,DIV,40.50876,A
2020,ES61,,,DIV,481.37126,A
2020,ES61,,,DIV,91.07744,A
2020,ES61,,,DIV,70.01074,A
2020,ES61,,,DIV,1.71681,A
2020,ES61,,,DIV,19.34989,A
2020,ES61,,,DIV,1127.34114,A
2020,ES61,,,DIV,662.40791,A
2020,ES61,,,DIV,8.58714,A
2020,ES61,,,DIV,456.34609,A
2020,ES611,TOTAL,,DIV,1287.5417,A
2020,ES611,TOTAL,,DIV,1161.18004,A
2020,ES611,TOTAL,,DIV,6.40458,A
2020,ES611,TOTAL,,DIV,119.95708,A
2020,ES611,,,DIV,1192.0251,A
2020,ES611,,,DIV,1101.07268,A
2020,ES611,,,DIV,6.40458,A
2020,ES611,,,DIV,84.54784,A
2020,ES611,,,DIV,4.26972,A
2020,ES611,,,DIV,4.26972,A
2020,ES611,,,DIV,91.24688,A
2020,ES611,,,DIV,55.83764,A
2020,ES611,,,DIV,35.40924,A
2020,ES612,TOTAL,,DIV,1956.38358,A
2020,ES612,TOTAL,,DIV,1815.78686,A
2020,ES612,TOTAL,,DIV,7.34955,A
2020,ES612,TOTAL,,DIV,133.24717,A
2020,ES612,,,DIV,1777.88894,A
2020,ES612,,,DIV,1733.83062,A
2020,ES612,,,DIV,5.24411,A
2020,ES612,,,DIV,38.81421,A
2020,ES612,,,DIV,19.98219,A
2020,ES612,,,DIV,14.73808,A
2020,ES612,,,DIV,5.24411,A
2020,ES612,,,DIV,158.51245,A
2020,ES612,,,DIV,67.21816,A
2020,ES612,,,DIV,2.10544,A
2020,ES612,,,DIV,89.18885,A
2020,ES613,TOTAL,,DIV,1295.68526,A
2020,ES613,TOTAL,,DIV,1207.81489,A
2020,ES613,TOTAL,,DIV,7.07445,A
2020,ES613,TOTAL,,DIV,80.79592,A
2020,ES613,,,DIV,1172.8272,A
2020,ES613,,,DIV,1136.33444,A
2020,ES613,,,DIV,5.02571,A
2020,ES613,,,DIV,31.46705,A
2020,ES613,,,DIV,10.05142,A
2020,ES613,,,DIV,8.00268,A
2020,ES613,,,DIV,2.04874,A
2020,ES613,,,DIV,112.80664,A
2020,ES613,,,DIV,63.47777,A
2020,ES613,,,DIV,2.04874,A
2020,ES613,,,DIV,47.28013,A
2020,ES614,TOTAL,,DIV,1333.9225,A
2020,ES614,TOTAL,,DIV,1255.01003,A
2020,ES614,TOTAL,,DIV,2.59639,A
2020,ES614,TOTAL,,DIV,76.31608,A
2020,ES614,,,DIV,1240.31934,A
2020,ES614,,,DIV,1203.90332,A
2020,ES614,,,DIV,2.59639,A
2020,ES614,,,DIV,33.81963,A
2020,ES614,,,DIV,93.60316,A
2020,ES614,,,DIV,51.10671,A
2020,ES614,,,DIV,42.49645,A
2020,ES615,TOTAL,,DIV,832.55851,A
2020,ES615,TOTAL,,DIV,765.02667,A
2020,ES615,TOTAL,,DIV,6.11231,A
2020,ES615,TOTAL,,DIV,61.41953,A
2020,ES615,,,DIV,763.27627,A
2020,ES615,,,DIV,723.39804,A
2020,ES615,,,DIV,6.11231,A
2020,ES615,,,DIV,33.76592,A
2020,ES615,,,DIV,69.28224,A
2020,ES615,,,DIV,41.62863,A
2020,ES615,,,DIV,27.65361,A
2020,ES616,TOTAL,,DIV,886.77634,A
2020,ES616,TOTAL,,DIV,839.78409,A
2020,ES616,TOTAL,,DIV,46.99225,A
2020,ES616,,,DIV,796.74465,A
2020,ES616,,,DIV,772.10263,A
2020,ES616,,,DIV,24.64202,A
2020,ES616,,,DIV,9.39845,A
2020,ES616,,,DIV,9.39845,A
2020,ES616,,,DIV,80.63324,A
2020,ES616,,,DIV,58.28301,A
2020,ES616,,,DIV,22.35023,A
2020,ES617,TOTAL,,DIV,3009.31704,A
2020,ES617,TOTAL,,DIV,2751.77361,A
2020,ES617,TOTAL,,DIV,11.69204,A
2020,ES617,TOTAL,,DIV,245.85139,A
2020,ES617,,,DIV,2701.25574,A
2020,ES617,,,DIV,2550.21181,A
2020,ES617,,,DIV,11.69204,A
2020,ES617,,,DIV,139.35189,A
2020,ES617,,,DIV,35.07612,A
2020,ES617,,,DIV,25.73523,A
2020,ES617,,,DIV,9.34089,A
2020,ES617,,,DIV,272.98518,A
2020,ES617,,,DIV,175.82657,A
2020,ES617,,,DIV,97.15861,A
2020,ES618,TOTAL,,DIV,3390.26529,A
2020,ES618,TOTAL,,DIV,3188.19408,A
2020,ES618,TOTAL,,DIV,9.58339,A
2020,ES618,TOTAL,,DIV,192.48782,A
2020,ES618,,,DIV,3129.6944,A
2020,ES618,,,DIV,3031.29808,A
2020,ES618,,,DIV,3.43362,A
2020,ES618,,,DIV,94.9627,A
2020,ES618,,,DIV,12.29954,A
2020,ES618,,,DIV,7.86658,A
2020,ES618,,,DIV,1.71681,A
2020,ES618,,,DIV,2.71615,A
2020,ES618,,,DIV,248.27135,A
2020,ES618,,,DIV,149.02942,A
2020,ES618,,,DIV,4.43296,A
2020,ES618,,,DIV,94.80897,A
2019,ES61,TOTAL,,DIV,17078.2748,A
2019,ES61,TOTAL,,DIV,15922.65804,A
2019,ES61,TOTAL,,DIV,77.31374,A
2019,ES61,TOTAL,,DIV,1078.30302,A
2019,ES61,,,DIV,15656.69183,A
2019,ES61,,,DIV,15067.10054,A
2019,ES61,,,DIV,48.70722,A
2019,ES61,,,DIV,540.88407,A
2019,ES61,,,DIV,100.20274,A
2019,ES61,,,DIV,55.09186,A
2019,ES61,,,DIV,12.2575,A
2019,ES61,,,DIV,32.85338,A
2019,ES61,,,DIV,1321.38023,A
2019,ES61,,,DIV,800.46564,A
2019,ES61,,,DIV,16.34902,A
2019,ES61,,,DIV,504.56557,A
2019,ES611,TOTAL,,DIV,1684.43364,A
2019,ES611,TOTAL,,DIV,1532.63931,A
2019,ES611,TOTAL,,DIV,8.12148,A
2019,ES611,TOTAL,,DIV,143.67285,A
2019,ES611,,,DIV,1512.88671,A
2019,ES611,,,DIV,1441.78992,A
2019,ES611,,,DIV,6.09111,A
2019,ES611,,,DIV,65.00568,A
2019,ES611,,,DIV,4.06074,A
2019,ES611,,,DIV,2.03037,A
2019,ES611,,,DIV,2.03037,A
2019,ES611,,,DIV,167.48619,A
2019,ES611,,,DIV,90.84939,A
2019,ES611,,,DIV,76.6368,A
2019,ES612,TOTAL,,DIV,2350.11045,A
2019,ES612,TOTAL,,DIV,2162.79095,A
2019,ES612,TOTAL,,DIV,12.66128,A
2019,ES612,TOTAL,,DIV,174.65822,A
2019,ES612,,,DIV,2182.91411,A
2019,ES612,,,DIV,2067.20201,A
2019,ES612,,,DIV,12.66128,A
2019,ES612,,,DIV,103.05082,A
2019,ES612,,,DIV,14.84142,A
2019,ES612,,,DIV,10.48114,A
2019,ES612,,,DIV,4.36028,A
2019,ES612,,,DIV,152.35492,A
2019,ES612,,,DIV,85.1078,A
2019,ES612,,,DIV,67.24712,A
2019,ES613,TOTAL,,DIV,1369.08113,A
2019,ES613,TOTAL,,DIV,1289.30587,A
2019,ES613,TOTAL,,DIV,1.46233,A
2019,ES613,TOTAL,,DIV,78.31293,A
2019,ES613,,,DIV,1273.73287,A
2019,ES613,,,DIV,1224.22947,A
2019,ES613,,,DIV,49.5034,A
2019,ES613,,,DIV,7.16596,A
2019,ES613,,,DIV,3.58298,A
2019,ES613,,,DIV,1.46233,A
2019,ES613,,,DIV,2.12065,A
2019,ES613,,,DIV,88.1823,A
2019,ES613,,,DIV,61.49342,A
2019,ES613,,,DIV,26.68888,A
2019,ES614,TOTAL,,DIV,1634.5488,A
2019,ES614,TOTAL,,DIV,1519.65056,A
2019,ES614,TOTAL,,DIV,12.97776,A
2019,ES614,TOTAL,,DIV,101.92048,A
2019,ES614,,,DIV,1497.49824,A
2019,ES614,,,DIV,1449.47152,A
2019,ES614,,,DIV,7.19184,A
2019,ES614,,,DIV,40.83488,A
2019,ES614,,,DIV,17.27664,A
2019,ES614,,,DIV,10.0848,A
2019,ES614,,,DIV,7.19184,A
2019,ES614,,,DIV,119.77392,A
2019,ES614,,,DIV,60.09424,A
2019,ES614,,,DIV,5.78592,A
2019,ES614,,,DIV,53.89376,A
2019,ES615,TOTAL,,DIV,1003.79841,A
2019,ES615,TOTAL,,DIV,925.618,A
2019,ES615,TOTAL,,DIV,3.05689,A
2019,ES615,TOTAL,,DIV,75.12352,A
2019,ES615,,,DIV,916.44733,A
2019,ES615,,,DIV,879.88455,A
2019,ES615,,,DIV,36.56278,A
2019,ES615,,,DIV,6.11378,A
2019,ES615,,,DIV,3.05689,A
2019,ES615,,,DIV,3.05689,A
2019,ES615,,,DIV,81.2373,A
2019,ES615,,,DIV,42.67656,A
2019,ES615,,,DIV,38.56074,A
2019,ES616,TOTAL,,DIV,1181.24056,A
2019,ES616,TOTAL,,DIV,1120.40558,A
2019,ES616,TOTAL,,DIV,3.04022,A
2019,ES616,TOTAL,,DIV,57.79476,A
