TIME_PERIOD,REF_AREA,D_TIPOMATRIMONIO_0,INDICATOR,OBS_VALUE,FREQ
2020,ES61,5669,DIV,13992.45022,A
2020,ES61,5664,DIV,13849.59059,A
2020,ES61,5668,DIV,142.85963,A
2020,ES61,5666,DIV,63.90317,A
2020,ES61,5667,DIV,78.95646,A
2020,ES611,5669,DIV,1287.5417,A
2020,ES611,5664,DIV,1280.21692,A
2020,ES611,5668,DIV,7.32478,A
2020,ES611,5666,DIV,2.13486,A
2020,ES611,5667,DIV,5.18992,A
2020,ES612,5669,DIV,1956.38358,A
2020,ES612,5664,DIV,1931.19626,A
2020,ES612,5668,DIV,25.18732,A
2020,ES612,5666,DIV,12.59366,A
2020,ES612,5667,DIV,12.59366,A
2020,ES613,5669,DIV,1295.68526,A
2020,ES613,5664,DIV,1287.68258,A
2020,ES613,5668,DIV,8.00268,A
2020,ES613,5666,DIV,2.97697,A
2020,ES613,5667,DIV,5.02571,A
2020,ES614,5669,DIV,1333.9225,A
2020,ES614,5664,DIV,1327.84207,A
2020,ES614,5668,DIV,6.08043,A
2020,ES614,5667,DIV,6.08043,A
2020,ES615,5669,DIV,832.55851,A
2020,ES615,5664,DIV,821.20909,A
2020,ES615,5668,DIV,11.34942,A
2020,ES615,5666,DIV,3.78314,A
2020,ES615,5667,DIV,7.56628,A
2020,ES616,5669,DIV,886.77634,A
2020,ES616,5664,DIV,877.37789,A
2020,ES616,5668,DIV,9.39845,A
2020,ES616,5666,DIV,6.47589,A
2020,ES616,5667,DIV,2.92256,A
2020,ES617,5669,DIV,3009.31704,A
2020,ES617,5664,DIV,2985.99667,A
2020,ES617,5668,DIV,23.32037,A
2020,ES617,5666,DIV,9.34089,A
2020,ES617,5667,DIV,13.97948,A
2020,ES618,5669,DIV,3390.26529,A
2020,ES618,5664,DIV,3338.06911,A
2020,ES618,5668,DIV,52.19618,A
2020,ES618,5666,DIV,26.59776,A
2020,ES618,5667,DIV,25.59842,A
2019,ES61,5669,DIV,17078.2748,A
2019,ES61,5664,DIV,16906.61714,A
2019,ES61,5668,DIV,171.65766,A
2019,ES61,5666,DIV,83.76808,A
2019,ES61,5667,DIV,87.88958,A
