TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA;TIPO_ALOJAM_ECTA
1998;;ESTANCIA_MEDIA;12.077384571;A;_Z;_Z;_Z
1998;ES611;ESTANCIA_MEDIA;11.176910787;A;_Z;_Z;_Z
1998;ES612;ESTANCIA_MEDIA;9.574617926;A;_Z;_Z;_Z
1998;ES613;ESTANCIA_MEDIA;4.709976132;A;_Z;_Z;_Z
1998;ES614;ESTANCIA_MEDIA;8.529787945;A;_Z;_Z;_Z
1998;ES615;ESTANCIA_MEDIA;8.692087147;A;_Z;_Z;_Z
1998;ES616;ESTANCIA_MEDIA;4.029780182;A;_Z;_Z;_Z
1998;ES617;ESTANCIA_MEDIA;14.835764934;A;_Z;_Z;_Z
1998;ES618;ESTANCIA_MEDIA;5.418201487;A;_Z;_Z;_Z
1999;;ESTANCIA_MEDIA;10.504657378;A;_Z;_Z;_Z
1999;ES611;ESTANCIA_MEDIA;10.749182491;A;_Z;_Z;_Z
1999;ES612;ESTANCIA_MEDIA;8.223745366;A;_Z;_Z;_Z
1999;ES613;ESTANCIA_MEDIA;2.543592221;A;_Z;_Z;_Z
1999;ES614;ESTANCIA_MEDIA;5.484792829;A;_Z;_Z;_Z
1999;ES615;ESTANCIA_MEDIA;9.376794665;A;_Z;_Z;_Z
1999;ES616;ESTANCIA_MEDIA;3.117622891;A;_Z;_Z;_Z
1999;ES617;ESTANCIA_MEDIA;11.976814154;A;_Z;_Z;_Z
1999;ES618;ESTANCIA_MEDIA;3.232467813;A;_Z;_Z;_Z
2000;;ESTANCIA_MEDIA;10.901667026;A;_Z;_Z;_Z
2000;ES611;ESTANCIA_MEDIA;9.30221355;A;_Z;_Z;_Z
2000;ES612;ESTANCIA_MEDIA;8.780725337;A;_Z;_Z;_Z
2000;ES613;ESTANCIA_MEDIA;2.303201477;A;_Z;_Z;_Z
2000;ES614;ESTANCIA_MEDIA;5.959584023;A;_Z;_Z;_Z
2000;ES615;ESTANCIA_MEDIA;8.018368296;A;_Z;_Z;_Z
2000;ES616;ESTANCIA_MEDIA;2.728108729;A;_Z;_Z;_Z
2000;ES617;ESTANCIA_MEDIA;13.041566881;A;_Z;_Z;_Z
2000;ES618;ESTANCIA_MEDIA;3.858808209;A;_Z;_Z;_Z
2001;;ESTANCIA_MEDIA;11.456943973;A;_Z;_Z;_Z
2001;ES611;ESTANCIA_MEDIA;13.052435341;A;_Z;_Z;_Z
2001;ES612;ESTANCIA_MEDIA;8.200989637;A;_Z;_Z;_Z
2001;ES613;ESTANCIA_MEDIA;2.608025206;A;_Z;_Z;_Z
2001;ES614;ESTANCIA_MEDIA;5.367688659;A;_Z;_Z;_Z
2001;ES615;ESTANCIA_MEDIA;10.603345873;A;_Z;_Z;_Z
2001;ES616;ESTANCIA_MEDIA;2.853014708;A;_Z;_Z;_Z
2001;ES617;ESTANCIA_MEDIA;15.493935512;A;_Z;_Z;_Z
2001;ES618;ESTANCIA_MEDIA;5.081820765;A;_Z;_Z;_Z
2002;;ESTANCIA_MEDIA;11.597492749;A;_Z;_Z;_Z
2002;ES611;ESTANCIA_MEDIA;14.270080932;A;_Z;_Z;_Z
2002;ES612;ESTANCIA_MEDIA;8.226004649;A;_Z;_Z;_Z
2002;ES613;ESTANCIA_MEDIA;2.647372557;A;_Z;_Z;_Z
2002;ES614;ESTANCIA_MEDIA;5.437081583;A;_Z;_Z;_Z
