TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ;TERRITORIO;TIPO_ALOJAM_ECTA
1998;_T;6782;TURISTAS;100.0;A;_Z;_Z
1998;_T;6775;TURISTAS;23.294820551759944;A;_Z;_Z
1998;_T;6776;TURISTAS;31.071551324169604;A;_Z;_Z
1998;_T;6778;TURISTAS;38.28585554475427;A;_Z;_Z
1998;_T;6779;TURISTAS;7.3477725793161905;A;_Z;_Z
1998;M;6782;TURISTAS;49.12727280806421;A;_Z;_Z
1998;M;6775;TURISTAS;11.605483403608376;A;_Z;_Z
1998;M;6776;TURISTAS;15.327686557464135;A;_Z;_Z
1998;M;6778;TURISTAS;18.584654002739843;A;_Z;_Z
1998;M;6779;TURISTAS;3.6094488442518604;A;_Z;_Z
1998;F;6782;TURISTAS;50.87272719193581;A;_Z;_Z
1998;F;6775;TURISTAS;11.689337148151564;A;_Z;_Z
1998;F;6776;TURISTAS;15.743864766705473;A;_Z;_Z
1998;F;6778;TURISTAS;19.70120154201443;A;_Z;_Z
1998;F;6779;TURISTAS;3.7383237350643297;A;_Z;_Z
1999;_T;6782;TURISTAS;100.0;A;_Z;_Z
1999;_T;6775;TURISTAS;23.05644771788288;A;_Z;_Z
1999;_T;6776;TURISTAS;32.70746586078877;A;_Z;_Z
1999;_T;6778;TURISTAS;34.26821234565291;A;_Z;_Z
1999;_T;6779;TURISTAS;9.967874075675455;A;_Z;_Z
1999;M;6782;TURISTAS;49.158213771402174;A;_Z;_Z
1999;M;6775;TURISTAS;11.51398526168608;A;_Z;_Z
1999;M;6776;TURISTAS;16.151820793014586;A;_Z;_Z
1999;M;6778;TURISTAS;16.65054365672676;A;_Z;_Z
1999;M;6779;TURISTAS;4.84186405997474;A;_Z;_Z
1999;F;6782;TURISTAS;50.841786228597826;A;_Z;_Z
1999;F;6775;TURISTAS;11.542462456196793;A;_Z;_Z
1999;F;6776;TURISTAS;16.555645067774176;A;_Z;_Z
1999;F;6778;TURISTAS;17.61766868892615;A;_Z;_Z
1999;F;6779;TURISTAS;5.126010015700713;A;_Z;_Z
2000;_T;6782;TURISTAS;100.0;A;_Z;_Z
2000;_T;6775;TURISTAS;19.168583207454798;A;_Z;_Z
2000;_T;6776;TURISTAS;35.07799769957339;A;_Z;_Z
2000;_T;6778;TURISTAS;37.04339475145204;A;_Z;_Z
2000;_T;6779;TURISTAS;8.710024341519768;A;_Z;_Z
2000;M;6782;TURISTAS;49.11912404135535;A;_Z;_Z
2000;M;6775;TURISTAS;9.57413672189463;A;_Z;_Z
2000;M;6776;TURISTAS;17.317600385003683;A;_Z;_Z
2000;M;6778;TURISTAS;17.993727586485893;A;_Z;_Z
2000;M;6779;TURISTAS;4.233659347971138;A;_Z;_Z
2000;F;6782;TURISTAS;50.880875958644666;A;_Z;_Z
2000;F;6775;TURISTAS;9.594446485560171;A;_Z;_Z
2000;F;6776;TURISTAS;17.760397314569705;A;_Z;_Z
2000;F;6778;TURISTAS;19.049667164966152;A;_Z;_Z
2000;F;6779;TURISTAS;4.476364993548632;A;_Z;_Z
2001;_T;6782;TURISTAS;100.0;A;_Z;_Z
2001;_T;6775;TURISTAS;18.343316907407477;A;_Z;_Z
2001;_T;6776;TURISTAS;35.761649652984985;A;_Z;_Z
2001;_T;6778;TURISTAS;37.39870655482902;A;_Z;_Z
2001;_T;6779;TURISTAS;8.496326884778512;A;_Z;_Z
2001;M;6782;TURISTAS;49.10535835964935;A;_Z;_Z
2001;M;6775;TURISTAS;9.1532198880707;A;_Z;_Z
2001;M;6776;TURISTAS;17.65003460134234;A;_Z;_Z
2001;M;6778;TURISTAS;18.17108650613759;A;_Z;_Z
2001;M;6779;TURISTAS;4.131017364098727;A;_Z;_Z
2001;F;6782;TURISTAS;50.894641640350635;A;_Z;_Z
2001;F;6775;TURISTAS;9.190097019336779;A;_Z;_Z
2001;F;6776;TURISTAS;18.111615051642644;A;_Z;_Z
2001;F;6778;TURISTAS;19.227620048691428;A;_Z;_Z
2001;F;6779;TURISTAS;4.365309520679785;A;_Z;_Z
2002;_T;6782;TURISTAS;100.0;A;_Z;_Z
2002;_T;6775;TURISTAS;20.12782213601322;A;_Z;_Z
2002;_T;6776;TURISTAS;34.53620853707798;A;_Z;_Z
2002;_T;6778;TURISTAS;36.77443593206969;A;_Z;_Z
2002;_T;6779;TURISTAS;8.561533394839119;A;_Z;_Z
2002;M;6782;TURISTAS;51.012056378064976;A;_Z;_Z
2002;M;6775;TURISTAS;10.40792448256374;A;_Z;_Z
2002;M;6776;TURISTAS;18.01394764339958;A;_Z;_Z
2002;M;6778;TURISTAS;18.018349731335295;A;_Z;_Z
2002;M;6779;TURISTAS;4.571834520766372;A;_Z;_Z
2002;F;6782;TURISTAS;48.98794362193501;A;_Z;_Z
2002;F;6775;TURISTAS;9.719897653449477;A;_Z;_Z
2002;F;6776;TURISTAS;16.522260893678396;A;_Z;_Z
2002;F;6778;TURISTAS;18.756086200734394;A;_Z;_Z
2002;F;6779;TURISTAS;3.9896988740727446;A;_Z;_Z
2003;_T;6782;TURISTAS;100.0;A;_Z;_Z
2003;_T;6775;TURISTAS;23.005030763313606;A;_Z;_Z
2003;_T;6776;TURISTAS;34.374670927455334;A;_Z;_Z
2003;_T;6778;TURISTAS;34.404097186458515;A;_Z;_Z
2003;_T;6779;TURISTAS;8.21620112277255;A;_Z;_Z
2003;M;6782;TURISTAS;50.101537583657375;A;_Z;_Z
2003;M;6775;TURISTAS;11.600727803408773;A;_Z;_Z
2003;M;6776;TURISTAS;17.38356131467008;A;_Z;_Z
2003;M;6778;TURISTAS;17.030424719596525;A;_Z;_Z
2003;M;6779;TURISTAS;4.086823745982005;A;_Z;_Z
2003;F;6782;TURISTAS;49.89846241634262;A;_Z;_Z
2003;F;6775;TURISTAS;11.404302959904832;A;_Z;_Z
2003;F;6776;TURISTAS;16.99110961278525;A;_Z;_Z
2003;F;6778;TURISTAS;17.37367246686199;A;_Z;_Z
2003;F;6779;TURISTAS;4.1293773767905435;A;_Z;_Z
2004;_T;6782;TURISTAS;100.0;A;_Z;_Z
2004;_T;6775;TURISTAS;24.361914821468194;A;_Z;_Z
2004;_T;6776;TURISTAS;34.79032252353875;A;_Z;_Z
