TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
1998;ES61;ESTANCIA_MEDIA;12.077384571;A
1998;ES611;ESTANCIA_MEDIA;11.176910787;A
1998;ES612;ESTANCIA_MEDIA;9.574617926;A
1998;ES613;ESTANCIA_MEDIA;4.709976132;A
1998;ES614;ESTANCIA_MEDIA;8.529787945;A
1998;ES615;ESTANCIA_MEDIA;8.692087147;A
1998;ES616;ESTANCIA_MEDIA;4.029780182;A
1998;ES617;ESTANCIA_MEDIA;14.835764934;A
1998;ES618;ESTANCIA_MEDIA;5.418201487;A
1999;ES61;ESTANCIA_MEDIA;10.504657378;A
1999;ES611;ESTANCIA_MEDIA;10.749182491;A
1999;ES612;ESTANCIA_MEDIA;8.223745366;A
1999;ES613;ESTANCIA_MEDIA;2.543592221;A
1999;ES614;ESTANCIA_MEDIA;5.484792829;A
1999;ES615;ESTANCIA_MEDIA;9.376794665;A
1999;ES616;ESTANCIA_MEDIA;3.117622891;A
1999;ES617;ESTANCIA_MEDIA;11.976814154;A
1999;ES618;ESTANCIA_MEDIA;3.232467813;A
2000;ES61;ESTANCIA_MEDIA;10.901667026;A
2000;ES611;ESTANCIA_MEDIA;9.30221355;A
2000;ES612;ESTANCIA_MEDIA;8.780725337;A
2000;ES613;ESTANCIA_MEDIA;2.303201477;A
2000;ES614;ESTANCIA_MEDIA;5.959584023;A
2000;ES615;ESTANCIA_MEDIA;8.018368296;A
2000;ES616;ESTANCIA_MEDIA;2.728108729;A
2000;ES617;ESTANCIA_MEDIA;13.041566881;A
2000;ES618;ESTANCIA_MEDIA;3.858808209;A
2001;ES61;ESTANCIA_MEDIA;11.456943973;A
2001;ES611;ESTANCIA_MEDIA;13.052435341;A
2001;ES612;ESTANCIA_MEDIA;8.200989637;A
2001;ES613;ESTANCIA_MEDIA;2.608025206;A
2001;ES614;ESTANCIA_MEDIA;5.367688659;A
2001;ES615;ESTANCIA_MEDIA;10.603345873;A
2001;ES616;ESTANCIA_MEDIA;2.853014708;A
2001;ES617;ESTANCIA_MEDIA;15.493935512;A
2001;ES618;ESTANCIA_MEDIA;5.081820765;A
2002;ES61;ESTANCIA_MEDIA;11.597492749;A
2002;ES611;ESTANCIA_MEDIA;14.270080932;A
2002;ES612;ESTANCIA_MEDIA;8.226004649;A
2002;ES613;ESTANCIA_MEDIA;2.647372557;A
2002;ES614;ESTANCIA_MEDIA;5.437081583;A
2002;ES615;ESTANCIA_MEDIA;8.727563365;A
2002;ES616;ESTANCIA_MEDIA;3.150820789;A
2002;ES617;ESTANCIA_MEDIA;14.795166482;A
2002;ES618;ESTANCIA_MEDIA;3.906182603;A
2003;ES61;ESTANCIA_MEDIA;10.532484337;A
2003;ES611;ESTANCIA_MEDIA;12.585617648;A
2003;ES612;ESTANCIA_MEDIA;8.553556164;A
2003;ES613;ESTANCIA_MEDIA;3.881461346;A
2003;ES614;ESTANCIA_MEDIA;5.557276303;A
2003;ES615;ESTANCIA_MEDIA;8.499863308;A
2003;ES616;ESTANCIA_MEDIA;3.663486951;A
2003;ES617;ESTANCIA_MEDIA;12.923494155;A
2003;ES618;ESTANCIA_MEDIA;4.183567469;A
2004;ES61;ESTANCIA_MEDIA;9.988952904;A
2004;ES611;ESTANCIA_MEDIA;9.477265771;A
2004;ES612;ESTANCIA_MEDIA;6.888914376;A
2004;ES613;ESTANCIA_MEDIA;4.753311255;A
2004;ES614;ESTANCIA_MEDIA;5.475077966;A
2004;ES615;ESTANCIA_MEDIA;8.162001191;A
2004;ES616;ESTANCIA_MEDIA;4.525690122;A
2004;ES617;ESTANCIA_MEDIA;14.229000678;A
2004;ES618;ESTANCIA_MEDIA;4.397237462;A
2005;ES61;ESTANCIA_MEDIA;7.543677646;A
2005;ES611;ESTANCIA_MEDIA;6.801530029;A
2005;ES612;ESTANCIA_MEDIA;7.664815561;A
2005;ES613;ESTANCIA_MEDIA;3.404460401;A
2005;ES614;ESTANCIA_MEDIA;5.474261277;A
2005;ES615;ESTANCIA_MEDIA;8.036260139;A
2005;ES616;ESTANCIA_MEDIA;4.353119493;A
2005;ES617;ESTANCIA_MEDIA;13.414015277;A
2005;ES618;ESTANCIA_MEDIA;4.454271738;A
2006;ES61;ESTANCIA_MEDIA;8.975502801;A
2006;ES611;ESTANCIA_MEDIA;8.206014417;A
2006;ES612;ESTANCIA_MEDIA;7.120393897;A
2006;ES613;ESTANCIA_MEDIA;3.647200355;A
2006;ES614;ESTANCIA_MEDIA;4.47415215;A
2006;ES615;ESTANCIA_MEDIA;9.658111481;A
2006;ES616;ESTANCIA_MEDIA;4.53986292;A
2006;ES617;ESTANCIA_MEDIA;11.316963932;A
2006;ES618;ESTANCIA_MEDIA;4.043909411;A
2007;ES61;ESTANCIA_MEDIA;8.223302548;A
2007;ES611;ESTANCIA_MEDIA;7.534650651;A
2007;ES612;ESTANCIA_MEDIA;6.606045092;A
2007;ES613;ESTANCIA_MEDIA;3.097931031;A
2007;ES614;ESTANCIA_MEDIA;5.130785348;A
2007;ES615;ESTANCIA_MEDIA;8.785986069;A
2007;ES616;ESTANCIA_MEDIA;4.353401302;A
2007;ES617;ESTANCIA_MEDIA;10.374025313;A
2007;ES618;ESTANCIA_MEDIA;4.040498111;A
2008;ES61;ESTANCIA_MEDIA;8.55107921;A
2008;ES611;ESTANCIA_MEDIA;7.496669282;A
2008;ES612;ESTANCIA_MEDIA;7.266211568;A
2008;ES613;ESTANCIA_MEDIA;2.937347726;A
2008;ES614;ESTANCIA_MEDIA;5.039534306;A
2008;ES615;ESTANCIA_MEDIA;7.902512169;A
2008;ES616;ESTANCIA_MEDIA;4.325959952;A
2008;ES617;ESTANCIA_MEDIA;11.189517577;A
2008;ES618;ESTANCIA_MEDIA;4.070347939;A
2009;ES61;ESTANCIA_MEDIA;8.788552838;A
2009;ES611;ESTANCIA_MEDIA;7.82244169;A
2009;ES612;ESTANCIA_MEDIA;7.810492021;A
2009;ES613;ESTANCIA_MEDIA;2.902318775;A
2009;ES614;ESTANCIA_MEDIA;5.302892539;A
2009;ES615;ESTANCIA_MEDIA;7.920065556;A
2009;ES616;ESTANCIA_MEDIA;3.278087412;A
2009;ES617;ESTANCIA_MEDIA;12.027595851;A
2009;ES618;ESTANCIA_MEDIA;3.721812493;A
2010;ES61;ESTANCIA_MEDIA;9.011505791;A
2010;ES611;ESTANCIA_MEDIA;8.025346048;A
2010;ES612;ESTANCIA_MEDIA;7.749888327;A
2010;ES613;ESTANCIA_MEDIA;3.208538953;A
2010;ES614;ESTANCIA_MEDIA;5.298074532;A
2010;ES615;ESTANCIA_MEDIA;7.262250492;A
2010;ES616;ESTANCIA_MEDIA;3.650327152;A
2010;ES617;ESTANCIA_MEDIA;11.90420292;A
2010;ES618;ESTANCIA_MEDIA;3.361217333;A
2011;ES61;ESTANCIA_MEDIA;9.053612601;A
2011;ES611;ESTANCIA_MEDIA;8.319546708;A
2011;ES612;ESTANCIA_MEDIA;7.6357846;A
2011;ES613;ESTANCIA_MEDIA;3.691044479;A
2011;ES614;ESTANCIA_MEDIA;5.920274028;A
2011;ES615;ESTANCIA_MEDIA;8.062124346;A
2011;ES616;ESTANCIA_MEDIA;2.780300707;A
2011;ES617;ESTANCIA_MEDIA;11.368585633;A
2011;ES618;ESTANCIA_MEDIA;3.32764201;A
2012;ES61;ESTANCIA_MEDIA;9.145334408;A
2012;ES611;ESTANCIA_MEDIA;9.647107459;A
2012;ES612;ESTANCIA_MEDIA;7.991140931;A
2012;ES613;ESTANCIA_MEDIA;3.781889873;A
2012;ES614;ESTANCIA_MEDIA;5.546486251;A
2012;ES615;ESTANCIA_MEDIA;8.294437536;A
2012;ES616;ESTANCIA_MEDIA;2.734403479;A
2012;ES617;ESTANCIA_MEDIA;12.018032507;A
2012;ES618;ESTANCIA_MEDIA;3.633726414;A
2013;ES61;ESTANCIA_MEDIA;9.022718259;A
2013;ES611;ESTANCIA_MEDIA;9.154141654;A
2013;ES612;ESTANCIA_MEDIA;9.075329183;A
