TEMPORAL;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ
1997;6782;GAST_MEDI_DIAR;55.338097477;A
1997;6775;GAST_MEDI_DIAR;40.583324646;A
1997;6776;GAST_MEDI_DIAR;58.507099834;A
1997;6778;GAST_MEDI_DIAR;55.789769531;A
1997;6779;GAST_MEDI_DIAR;79.791686999;A
1998;6782;GAST_MEDI_DIAR;52.531877185;A
1998;6775;GAST_MEDI_DIAR;29.024575611;A
1998;6776;GAST_MEDI_DIAR;43.346488576;A
1998;6778;GAST_MEDI_DIAR;66.26965749;A
1998;6779;GAST_MEDI_DIAR;86.093667839;A
1999;6782;GAST_MEDI_DIAR;43.500212467;A
1999;6775;GAST_MEDI_DIAR;33.647510786;A
1999;6776;GAST_MEDI_DIAR;42.582849087;A
1999;6778;GAST_MEDI_DIAR;45.514073824;A
1999;6779;GAST_MEDI_DIAR;61.541945925;A
2000;6782;GAST_MEDI_DIAR;43.571978021;A
2000;6775;GAST_MEDI_DIAR;34.983421767;A
2000;6776;GAST_MEDI_DIAR;46.15419298;A
2000;6778;GAST_MEDI_DIAR;41.237417836;A
2000;6779;GAST_MEDI_DIAR;60.830884287;A
2001;6782;GAST_MEDI_DIAR;43.784255814;A
2001;6775;GAST_MEDI_DIAR;36.982743963;A
2001;6776;GAST_MEDI_DIAR;32.323547316;A
2001;6778;GAST_MEDI_DIAR;41.123107878;A
2001;6779;GAST_MEDI_DIAR;58.1073901;A
2002;6782;GAST_MEDI_DIAR;44.372753969;A
2002;6775;GAST_MEDI_DIAR;40.841053634;A
2002;6776;GAST_MEDI_DIAR;46.152116528;A
2002;6778;GAST_MEDI_DIAR;41.329216159;A
2002;6779;GAST_MEDI_DIAR;59.560685675;A
2003;6782;GAST_MEDI_DIAR;46.819149378;A
2003;6775;GAST_MEDI_DIAR;41.329453656;A
2003;6776;GAST_MEDI_DIAR;51.01003228;A
2003;6778;GAST_MEDI_DIAR;46.147589001;A
2003;6779;GAST_MEDI_DIAR;58.481602145;A
2004;6782;GAST_MEDI_DIAR;49.47593044;A
2004;6775;GAST_MEDI_DIAR;45.815831797;A
2004;6776;GAST_MEDI_DIAR;51.587706282;A
2004;6778;GAST_MEDI_DIAR;48.206721384;A
2004;6779;GAST_MEDI_DIAR;57.847273261;A
2005;6782;GAST_MEDI_DIAR;52.732449058;A
2005;6775;GAST_MEDI_DIAR;48.069280531;A
2005;6776;GAST_MEDI_DIAR;53.977034639;A
2005;6778;GAST_MEDI_DIAR;53.683712777;A
2005;6779;GAST_MEDI_DIAR;61.497062449;A
2006;6782;GAST_MEDI_DIAR;54.49967652;A
2006;6775;GAST_MEDI_DIAR;50.663017868;A
2006;6776;GAST_MEDI_DIAR;56.584800777;A
