SEXO;EPD_GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;ESTADOCIVIL;EPD_NIVELESTUDIOSTER;EPD_RELACTIVIDAD;EPD_SITUACPROFES;EPD_PERCEPPRESINVAL;EPD_SITUACIONDEPEND;EPD_COMPHOGACTIVIDAD;EPD_PRESENCDISCAPAC;EPD_AMBITOESTUDHOG
M;Y16-24;2020;5732;ES61;POP;406354.32855;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2020;5733;ES61;POP;13472.67151;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2019;5732;ES61;POP;399773.57588;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2019;5733;ES61;POP;13604.424140000001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2018;5732;ES61;POP;398031.16738;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2018;5733;ES61;POP;11579.58261;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2017;5732;ES61;POP;399339.73627;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2017;5733;ES61;POP;10793.01381;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2016;5732;ES61;POP;402703.5014;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2016;5733;ES61;POP;10611.74864;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2015;5732;ES61;POP;406893.21106;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2015;5733;ES61;POP;11600.53895;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2014;5732;ES61;POP;414100.2483;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y16-24;2014;5733;ES61;POP;9635.501639999999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2020;5732;ES61;POP;1095456.6678199999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2020;5733;ES61;POP;47787.33218;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2019;5732;ES61;POP;1110227.3530899999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2019;5733;ES61;POP;52650.89691;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2018;5732;ES61;POP;1122439.1280699999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2018;5733;ES61;POP;57440.37215;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2017;5732;ES61;POP;1144090.0505600001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2017;5733;ES61;POP;57115.44975;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2016;5732;ES61;POP;1170682.5137;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2016;5733;ES61;POP;55093.236750000004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2015;5732;ES61;POP;1201739.3093400002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2015;5733;ES61;POP;52550.69083;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2014;5732;ES61;POP;1221561.15496;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y25-44;2014;5733;ES61;POP;55316.09532;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2020;5732;ES61;POP;1065138.02094;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2020;5733;ES61;POP;160549.72907;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2019;5732;ES61;POP;1045380.2169;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2019;5733;ES61;POP;156771.53284;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2018;5732;ES61;POP;1022699.8685999999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2018;5733;ES61;POP;155522.13116;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2017;5732;ES61;POP;1009822.98495;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2017;5733;ES61;POP;148620.76517;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2016;5732;ES61;POP;984635.6818499999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2016;5733;ES61;POP;152960.56845000002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2015;5732;ES61;POP;966197.37964;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2015;5733;ES61;POP;145570.37007;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2014;5732;ES61;POP;951659.76102;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;Y45-64;2014;5733;ES61;POP;136657.49083;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2020;5732;ES61;POP;2566949.01731;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2020;5733;ES61;POP;221809.73276;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2019;5732;ES61;POP;2555381.14587;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2019;5733;ES61;POP;223026.85389;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2018;5732;ES61;POP;2543170.1640500003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2018;5733;ES61;POP;224542.08592;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2017;5732;ES61;POP;2553252.77178;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2017;5733;ES61;POP;216529.22873;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2016;5732;ES61;POP;2558021.6969500002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2016;5733;ES61;POP;218665.55384;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2015;5732;ES61;POP;2574829.90004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2015;5733;ES61;POP;209721.59985;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2014;5732;ES61;POP;2587321.16428;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
M;TOTAL;2014;5733;ES61;POP;201609.08779;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2020;5732;ES61;POP;387582.92146000004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2020;5733;ES61;POP;7736.57852;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2019;5732;ES61;POP;382473.42426;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2019;5733;ES61;POP;6950.82589;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2018;5732;ES61;POP;377627.08268;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2018;5733;ES61;POP;8763.1674;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2017;5732;ES61;POP;379577.66917999997;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2017;5733;ES61;POP;7988.58086;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2016;5732;ES61;POP;383534.49883;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2016;5733;ES61;POP;7780.75129;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2015;5732;ES61;POP;391533.62759;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2015;5733;ES61;POP;5758.12243;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2014;5732;ES61;POP;396498.51796;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y16-24;2014;5733;ES61;POP;6545.98193;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2020;5732;ES61;POP;1093474.63779;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2020;5733;ES61;POP;39234.11203;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2019;5732;ES61;POP;1111557.2651;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2019;5733;ES61;POP;37971.23529999999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2018;5732;ES61;POP;1126513.21236;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2018;5733;ES61;POP;38235.78763;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2017;5732;ES61;POP;1147159.0653799998;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2017;5733;ES61;POP;35530.68467;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2016;5732;ES61;POP;1166392.76884;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2016;5733;ES61;POP;38686.48129;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y25-44;2015;5732;ES61;POP;1191188.97587;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
