TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ;IPC_RUBRICAS;IPC_GRUPOSESPECIALES
2021-01;ES;CP01T12;INX;104.678;M;_Z;_Z
2021-01;ES;CP01;INX;107.173;M;_Z;_Z
2021-01;ES;CP02;INX;104.842;M;_Z;_Z
2021-01;ES;CP03;INX;95.721;M;_Z;_Z
2021-01;ES;CP04;INX;107.138;M;_Z;_Z
2021-01;ES;CP05;INX;100.86;M;_Z;_Z
2021-01;ES;CP06;INX;102.541;M;_Z;_Z
2021-01;ES;CP07;INX;106.744;M;_Z;_Z
2021-01;ES;CP08;INX;100.327;M;_Z;_Z
2021-01;ES;CP09;INX;99.151;M;_Z;_Z
2021-01;ES;CP10;INX;103.1;M;_Z;_Z
2021-01;ES;CP11;INX;106.418;M;_Z;_Z
2021-01;ES;CP12;INX;105.143;M;_Z;_Z
2021-01;ES61;CP01T12;INX;104.415;M;_Z;_Z
2021-01;ES61;CP01;INX;106.594;M;_Z;_Z
2021-01;ES61;CP02;INX;103.657;M;_Z;_Z
2021-01;ES61;CP03;INX;94.582;M;_Z;_Z
2021-01;ES61;CP04;INX;108.283;M;_Z;_Z
2021-01;ES61;CP05;INX;99.711;M;_Z;_Z
2021-01;ES61;CP06;INX;101.897;M;_Z;_Z
2021-01;ES61;CP07;INX;106.56;M;_Z;_Z
2021-01;ES61;CP08;INX;100.449;M;_Z;_Z
2021-01;ES61;CP09;INX;98.46;M;_Z;_Z
2021-01;ES61;CP10;INX;105.522;M;_Z;_Z
2021-01;ES61;CP11;INX;106.181;M;_Z;_Z
2021-01;ES61;CP12;INX;103.997;M;_Z;_Z
2021-01;ES611;CP01T12;INX;104.889;M;_Z;_Z
2021-01;ES611;CP01;INX;109.061;M;_Z;_Z
2021-01;ES611;CP02;INX;104.938;M;_Z;_Z
2021-01;ES611;CP03;INX;94.489;M;_Z;_Z
2021-01;ES611;CP04;INX;108.726;M;_Z;_Z
2021-01;ES611;CP05;INX;100.353;M;_Z;_Z
2021-01;ES611;CP06;INX;102.512;M;_Z;_Z
2021-01;ES611;CP07;INX;107.352;M;_Z;_Z
2021-01;ES611;CP08;INX;102.165;M;_Z;_Z
2021-01;ES611;CP09;INX;98.053;M;_Z;_Z
2021-01;ES611;CP10;INX;102.402;M;_Z;_Z
2021-01;ES611;CP11;INX;103.171;M;_Z;_Z
2021-01;ES611;CP12;INX;103.442;M;_Z;_Z
2021-01;ES612;CP01T12;INX;103.365;M;_Z;_Z
2021-01;ES612;CP01;INX;104.594;M;_Z;_Z
2021-01;ES612;CP02;INX;103.331;M;_Z;_Z
2021-01;ES612;CP03;INX;95.489;M;_Z;_Z
2021-01;ES612;CP04;INX;107.162;M;_Z;_Z
2021-01;ES612;CP05;INX;96.984;M;_Z;_Z
2021-01;ES612;CP06;INX;100.149;M;_Z;_Z
2021-01;ES612;CP07;INX;107.208;M;_Z;_Z
2021-01;ES612;CP08;INX;98.868;M;_Z;_Z
2021-01;ES612;CP09;INX;97.132;M;_Z;_Z
2021-01;ES612;CP10;INX;103.963;M;_Z;_Z
2021-01;ES612;CP11;INX;105.199;M;_Z;_Z
2021-01;ES612;CP12;INX;103.346;M;_Z;_Z
2021-01;ES613;CP01T12;INX;104.355;M;_Z;_Z
2021-01;ES613;CP01;INX;106.238;M;_Z;_Z
2021-01;ES613;CP02;INX;103.371;M;_Z;_Z
2021-01;ES613;CP03;INX;94.717;M;_Z;_Z
2021-01;ES613;CP04;INX;108.426;M;_Z;_Z
2021-01;ES613;CP05;INX;98.842;M;_Z;_Z
2021-01;ES613;CP06;INX;103.143;M;_Z;_Z
2021-01;ES613;CP07;INX;106.305;M;_Z;_Z
2021-01;ES613;CP08;INX;100.171;M;_Z;_Z
2021-01;ES613;CP09;INX;101.47;M;_Z;_Z
2021-01;ES613;CP10;INX;104.284;M;_Z;_Z
2021-01;ES613;CP11;INX;104.873;M;_Z;_Z
2021-01;ES613;CP12;INX;102.88;M;_Z;_Z
2021-01;ES614;CP01T12;INX;104.129;M;_Z;_Z
2021-01;ES614;CP01;INX;106.91;M;_Z;_Z
2021-01;ES614;CP02;INX;102.814;M;_Z;_Z
2021-01;ES614;CP03;INX;92.177;M;_Z;_Z
2021-01;ES614;CP04;INX;107.372;M;_Z;_Z
2021-01;ES614;CP05;INX;100.883;M;_Z;_Z
2021-01;ES614;CP06;INX;103.649;M;_Z;_Z
2021-01;ES614;CP07;INX;105.817;M;_Z;_Z
2021-01;ES614;CP08;INX;100.937;M;_Z;_Z
2021-01;ES614;CP09;INX;97.439;M;_Z;_Z
2021-01;ES614;CP10;INX;107.668;M;_Z;_Z
2021-01;ES614;CP11;INX;107.431;M;_Z;_Z
2021-01;ES614;CP12;INX;104.283;M;_Z;_Z
2021-01;ES615;CP01T12;INX;104.118;M;_Z;_Z
2021-01;ES615;CP01;INX;105.494;M;_Z;_Z
2021-01;ES615;CP02;INX;103.969;M;_Z;_Z
2021-01;ES615;CP03;INX;94.079;M;_Z;_Z
2021-01;ES615;CP04;INX;108.572;M;_Z;_Z
2021-01;ES615;CP05;INX;98.871;M;_Z;_Z
2021-01;ES615;CP06;INX;102.433;M;_Z;_Z
2021-01;ES615;CP07;INX;105.93;M;_Z;_Z
2021-01;ES615;CP08;INX;101.048;M;_Z;_Z
2021-01;ES615;CP09;INX;96.767;M;_Z;_Z
2021-01;ES615;CP10;INX;104.079;M;_Z;_Z
2021-01;ES615;CP11;INX;107.209;M;_Z;_Z
2021-01;ES615;CP12;INX;102.523;M;_Z;_Z
2021-01;ES616;CP01T12;INX;104.15;M;_Z;_Z
2021-01;ES616;CP01;INX;108.095;M;_Z;_Z
2021-01;ES616;CP02;INX;104.271;M;_Z;_Z
2021-01;ES616;CP03;INX;95.067;M;_Z;_Z
2021-01;ES616;CP04;INX;107.944;M;_Z;_Z
2021-01;ES616;CP05;INX;99.226;M;_Z;_Z
2021-01;ES616;CP06;INX;101.16;M;_Z;_Z
