TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ;IPC_GRUPOSESPECIALES
2021-01;ES;62032;INX;101.516;M;
2021-01;ES;62033;INX;103.063;M;
2021-01;ES;62034;INX;105.464;M;
2021-01;ES;62035;INX;113.764;M;
2021-01;ES;62036;INX;110.764;M;
2021-01;ES;62037;INX;105.863;M;
2021-01;ES;62038;INX;108.494;M;
2021-01;ES;62039;INX;117.649;M;
2021-01;ES;62040;INX;109.91;M;
2021-01;ES;62041;INX;105.638;M;
2021-01;ES;62042;INX;99.38;M;
2021-01;ES;62043;INX;103.252;M;
2021-01;ES;62044;INX;84.133;M;
2021-01;ES;62045;INX;113.407;M;
2021-01;ES;62046;INX;99.908;M;
2021-01;ES;62047;INX;123.614;M;
2021-01;ES;62048;INX;105.457;M;
2021-01;ES;62049;INX;108.514;M;
2021-01;ES;62050;INX;100.881;M;
2021-01;ES;62051;INX;106.121;M;
2021-01;ES;62052;INX;101.906;M;
2021-01;ES;62053;INX;114.043;M;
2021-01;ES;62054;INX;106.938;M;
2021-01;ES;62055;INX;103.801;M;
2021-01;ES;62056;INX;94.0;M;
2021-01;ES;62057;INX;96.19;M;
2021-01;ES;62058;INX;93.976;M;
2021-01;ES;62059;INX;98.004;M;
2021-01;ES;62060;INX;97.609;M;
2021-01;ES;62061;INX;97.921;M;
2021-01;ES;62062;INX;92.005;M;
2021-01;ES;62063;INX;107.661;M;
2021-01;ES;62064;INX;104.819;M;
2021-01;ES;62065;INX;109.653;M;
2021-01;ES;62066;INX;103.74;M;
2021-01;ES;62067;INX;101.951;M;
2021-01;ES;62068;INX;95.654;M;
2021-01;ES;62069;INX;96.88;M;
2021-01;ES;62070;INX;98.583;M;
2021-01;ES;62071;INX;100.146;M;
2021-01;ES;62072;INX;108.261;M;
2021-01;ES;62073;INX;107.676;M;
2021-01;ES;62074;INX;100.38;M;
2021-01;ES;62075;INX;107.405;M;
2021-01;ES;62076;INX;102.435;M;
2021-01;ES;62077;INX;96.033;M;
2021-01;ES;62078;INX;100.327;M;
2021-01;ES;62079;INX;89.109;M;
2021-01;ES;62080;INX;109.072;M;
2021-01;ES;62081;INX;102.592;M;
2021-01;ES;62082;INX;106.324;M;
2021-01;ES;62083;INX;108.248;M;
2021-01;ES;62084;INX;99.337;M;
2021-01;ES;62085;INX;105.659;M;
2021-01;ES;62086;INX;97.733;M;
2021-01;ES;62087;INX;105.492;M;
2021-01;ES;62088;INX;106.832;M;
2021-01;ES61;62032;INX;102.751;M;
2021-01;ES61;62033;INX;100.968;M;
2021-01;ES61;62034;INX;105.123;M;
2021-01;ES61;62035;INX;113.481;M;
2021-01;ES61;62036;INX;109.831;M;
2021-01;ES61;62037;INX;106.621;M;
2021-01;ES61;62038;INX;106.794;M;
2021-01;ES61;62039;INX;116.723;M;
2021-01;ES61;62040;INX;109.577;M;
2021-01;ES61;62041;INX;102.464;M;
2021-01;ES61;62042;INX;98.921;M;
2021-01;ES61;62043;INX;103.62;M;
2021-01;ES61;62044;INX;82.646;M;
2021-01;ES61;62045;INX;113.892;M;
2021-01;ES61;62046;INX;100.557;M;
2021-01;ES61;62047;INX;125.577;M;
2021-01;ES61;62048;INX;105.577;M;
2021-01;ES61;62049;INX;109.077;M;
2021-01;ES61;62050;INX;100.25;M;
2021-01;ES61;62051;INX;107.836;M;
2021-01;ES61;62052;INX;101.739;M;
2021-01;ES61;62053;INX;110.751;M;
2021-01;ES61;62054;INX;104.979;M;
2021-01;ES61;62055;INX;103.089;M;
2021-01;ES61;62056;INX;91.95;M;
2021-01;ES61;62057;INX;95.653;M;
2021-01;ES61;62058;INX;92.899;M;
2021-01;ES61;62059;INX;96.358;M;
2021-01;ES61;62060;INX;97.327;M;
2021-01;ES61;62061;INX;97.373;M;
2021-01;ES61;62062;INX;90.34;M;
2021-01;ES61;62063;INX;106.552;M;
2021-01;ES61;62064;INX;104.081;M;
2021-01;ES61;62065;INX;111.711;M;
2021-01;ES61;62066;INX;103.852;M;
2021-01;ES61;62067;INX;101.624;M;
2021-01;ES61;62068;INX;94.282;M;
2021-01;ES61;62069;INX;96.928;M;
2021-01;ES61;62070;INX;98.678;M;
2021-01;ES61;62071;INX;98.731;M;
2021-01;ES61;62072;INX;106.823;M;
2021-01;ES61;62073;INX;107.829;M;
2021-01;ES61;62074;INX;99.495;M;
2021-01;ES61;62075;INX;106.871;M;
2021-01;ES61;62076;INX;103.302;M;
2021-01;ES61;62077;INX;100.071;M;
2021-01;ES61;62078;INX;100.449;M;
2021-01;ES61;62079;INX;86.655;M;
2021-01;ES61;62080;INX;108.879;M;
2021-01;ES61;62081;INX;104.06;M;
2021-01;ES61;62082;INX;108.627;M;
2021-01;ES61;62083;INX;108.952;M;
2021-01;ES61;62084;INX;104.502;M;
2021-01;ES61;62085;INX;103.877;M;
2021-01;ES61;62086;INX;96.411;M;
2021-01;ES61;62087;INX;105.631;M;
2021-01;ES61;62088;INX;106.332;M;
2021-02;ES;62032;INX;101.626;M;
2021-02;ES;62033;INX;103.074;M;
2021-02;ES;62034;INX;105.507;M;
2021-02;ES;62035;INX;110.859;M;
2021-02;ES;62036;INX;110.368;M;
2021-02;ES;62037;INX;106.692;M;
2021-02;ES;62038;INX;108.351;M;
2021-02;ES;62039;INX;112.381;M;
2021-02;ES;62040;INX;109.819;M;
2021-02;ES;62041;INX;105.764;M;
2021-02;ES;62042;INX;98.511;M;
2021-02;ES;62043;INX;103.204;M;
2021-02;ES;62044;INX;84.86;M;
2021-02;ES;62045;INX;120.592;M;
2021-02;ES;62046;INX;100.016;M;
2021-02;ES;62047;INX;118.179;M;
2021-02;ES;62048;INX;105.247;M;
2021-02;ES;62049;INX;109.026;M;
2021-02;ES;62050;INX;100.46;M;
2021-02;ES;62051;INX;105.901;M;
2021-02;ES;62052;INX;101.994;M;
2021-02;ES;62053;INX;115.378;M;
2021-02;ES;62054;INX;107.449;M;
2021-02;ES;62055;INX;103.834;M;
2021-02;ES;62056;INX;92.491;M;
2021-02;ES;62057;INX;95.054;M;
2021-02;ES;62058;INX;92.843;M;
2021-02;ES;62059;INX;96.351;M;
2021-02;ES;62060;INX;96.056;M;
2021-02;ES;62061;INX;96.836;M;
2021-02;ES;62062;INX;90.225;M;
2021-02;ES;62063;INX;107.702;M;
2021-02;ES;62064;INX;104.876;M;
2021-02;ES;62065;INX;98.097;M;
2021-02;ES;62066;INX;103.953;M;
2021-02;ES;62067;INX;101.683;M;
2021-02;ES;62068;INX;95.551;M;
2021-02;ES;62069;INX;96.958;M;
2021-02;ES;62070;INX;98.646;M;
2021-02;ES;62071;INX;99.666;M;
2021-02;ES;62072;INX;109.399;M;
2021-02;ES;62073;INX;107.907;M;
2021-02;ES;62074;INX;100.171;M;
2021-02;ES;62075;INX;108.968;M;
2021-02;ES;62076;INX;102.461;M;
2021-02;ES;62077;INX;95.077;M;
2021-02;ES;62078;INX;100.292;M;
2021-02;ES;62079;INX;89.451;M;
2021-02;ES;62080;INX;109.172;M;
2021-02;ES;62081;INX;102.701;M;
2021-02;ES;62082;INX;106.361;M;
2021-02;ES;62083;INX;108.251;M;
2021-02;ES;62084;INX;99.313;M;
2021-02;ES;62085;INX;105.686;M;
2021-02;ES;62086;INX;97.416;M;
2021-02;ES;62087;INX;105.736;M;
2021-02;ES;62088;INX;106.82;M;
2021-02;ES61;62032;INX;101.964;M;
2021-02;ES61;62033;INX;100.865;M;
2021-02;ES61;62034;INX;105.166;M;
2021-02;ES61;62035;INX;111.349;M;
2021-02;ES61;62036;INX;109.946;M;
2021-02;ES61;62037;INX;107.855;M;
2021-02;ES61;62038;INX;106.89;M;
2021-02;ES61;62039;INX;112.016;M;
2021-02;ES61;62040;INX;109.381;M;
2021-02;ES61;62041;INX;102.2;M;
2021-02;ES61;62042;INX;98.235;M;
2021-02;ES61;62043;INX;103.287;M;
2021-02;ES61;62044;INX;83.578;M;
2021-02;ES61;62045;INX;121.778;M;
2021-02;ES61;62046;INX;100.25;M;
2021-02;ES61;62047;INX;119.502;M;
2021-02;ES61;62048;INX;105.484;M;
2021-02;ES61;62049;INX;109.747;M;
2021-02;ES61;62050;INX;99.661;M;
2021-02;ES61;62051;INX;107.465;M;
2021-02;ES61;62052;INX;101.614;M;
2021-02;ES61;62053;INX;111.771;M;
2021-02;ES61;62054;INX;105.634;M;
2021-02;ES61;62055;INX;103.116;M;
2021-02;ES61;62056;INX;90.858;M;
2021-02;ES61;62057;INX;94.79;M;
2021-02;ES61;62058;INX;92.12;M;
2021-02;ES61;62059;INX;95.562;M;
2021-02;ES61;62060;INX;96.554;M;
2021-02;ES61;62061;INX;96.125;M;
2021-02;ES61;62062;INX;88.391;M;
2021-02;ES61;62063;INX;106.552;M;
2021-02;ES61;62064;INX;104.241;M;
2021-02;ES61;62065;INX;98.177;M;
2021-02;ES61;62066;INX;103.983;M;
2021-02;ES61;62067;INX;101.564;M;
2021-02;ES61;62068;INX;94.446;M;
2021-02;ES61;62069;INX;97.057;M;
2021-02;ES61;62070;INX;98.96;M;
2021-02;ES61;62071;INX;98.07;M;
2021-02;ES61;62072;INX;107.801;M;
2021-02;ES61;62073;INX;108.439;M;
2021-02;ES61;62074;INX;99.826;M;
2021-02;ES61;62075;INX;108.376;M;
2021-02;ES61;62076;INX;103.489;M;
2021-02;ES61;62077;INX;99.58;M;
2021-02;ES61;62078;INX;100.415;M;
2021-02;ES61;62079;INX;86.741;M;
2021-02;ES61;62080;INX;108.93;M;
2021-02;ES61;62081;INX;104.168;M;
2021-02;ES61;62082;INX;108.627;M;
2021-02;ES61;62083;INX;108.952;M;
2021-02;ES61;62084;INX;104.459;M;
2021-02;ES61;62085;INX;103.744;M;
2021-02;ES61;62086;INX;96.001;M;
2021-02;ES61;62087;INX;105.949;M;
2021-02;ES61;62088;INX;106.184;M;
2021-03;ES;62032;INX;101.58;M;
2021-03;ES;62033;INX;103.203;M;
2021-03;ES;62034;INX;105.339;M;
2021-03;ES;62035;INX;109.996;M;
2021-03;ES;62036;INX;110.621;M;
2021-03;ES;62037;INX;108.414;M;
2021-03;ES;62038;INX;108.355;M;
2021-03;ES;62039;INX;109.14;M;
2021-03;ES;62040;INX;109.866;M;
2021-03;ES;62041;INX;105.958;M;
2021-03;ES;62042;INX;98.593;M;
2021-03;ES;62043;INX;103.443;M;
2021-03;ES;62044;INX;85.925;M;
2021-03;ES;62045;INX;120.569;M;
2021-03;ES;62046;INX;100.09;M;
2021-03;ES;62047;INX;118.58;M;
2021-03;ES;62048;INX;105.584;M;
2021-03;ES;62049;INX;109.892;M;
2021-03;ES;62050;INX;100.749;M;
2021-03;ES;62051;INX;105.042;M;
2021-03;ES;62052;INX;102.127;M;
2021-03;ES;62053;INX;115.725;M;
2021-03;ES;62054;INX;107.056;M;
2021-03;ES;62055;INX;103.838;M;
2021-03;ES;62056;INX;97.491;M;
2021-03;ES;62057;INX;98.746;M;
2021-03;ES;62058;INX;97.44;M;
2021-03;ES;62059;INX;101.547;M;
2021-03;ES;62060;INX;100.697;M;
2021-03;ES;62061;INX;99.418;M;
2021-03;ES;62062;INX;95.312;M;
2021-03;ES;62063;INX;107.798;M;
2021-03;ES;62064;INX;104.908;M;
2021-03;ES;62065;INX;104.846;M;
2021-03;ES;62066;INX;104.004;M;
2021-03;ES;62067;INX;102.531;M;
2021-03;ES;62068;INX;96.674;M;
2021-03;ES;62069;INX;97.235;M;
2021-03;ES;62070;INX;98.956;M;
2021-03;ES;62071;INX;99.819;M;
2021-03;ES;62072;INX;109.459;M;
2021-03;ES;62073;INX;108.137;M;
2021-03;ES;62074;INX;100.236;M;
2021-03;ES;62075;INX;111.0;M;
2021-03;ES;62076;INX;102.492;M;
2021-03;ES;62077;INX;95.241;M;
2021-03;ES;62078;INX;100.122;M;
2021-03;ES;62079;INX;89.236;M;
2021-03;ES;62080;INX;109.387;M;
2021-03;ES;62081;INX;102.718;M;
2021-03;ES;62082;INX;106.361;M;
2021-03;ES;62083;INX;108.252;M;
2021-03;ES;62084;INX;99.313;M;
2021-03;ES;62085;INX;105.736;M;
2021-03;ES;62086;INX;97.239;M;
2021-03;ES;62087;INX;105.978;M;
2021-03;ES;62088;INX;106.937;M;
2021-03;ES61;62032;INX;102.059;M;
2021-03;ES61;62033;INX;101.289;M;
2021-03;ES61;62034;INX;105.051;M;
2021-03;ES61;62035;INX;109.688;M;
2021-03;ES61;62036;INX;109.998;M;
2021-03;ES61;62037;INX;110.283;M;
2021-03;ES61;62038;INX;106.869;M;
2021-03;ES61;62039;INX;108.712;M;
2021-03;ES61;62040;INX;108.789;M;
2021-03;ES61;62041;INX;102.338;M;
2021-03;ES61;62042;INX;98.464;M;
2021-03;ES61;62043;INX;103.412;M;
2021-03;ES61;62044;INX;84.415;M;
2021-03;ES61;62045;INX;121.536;M;
2021-03;ES61;62046;INX;100.308;M;
2021-03;ES61;62047;INX;121.176;M;
2021-03;ES61;62048;INX;105.994;M;
2021-03;ES61;62049;INX;111.269;M;
2021-03;ES61;62050;INX;100.579;M;
2021-03;ES61;62051;INX;106.578;M;
2021-03;ES61;62052;INX;101.995;M;
2021-03;ES61;62053;INX;113.024;M;
2021-03;ES61;62054;INX;104.982;M;
2021-03;ES61;62055;INX;103.116;M;
2021-03;ES61;62056;INX;97.263;M;
2021-03;ES61;62057;INX;98.846;M;
2021-03;ES61;62058;INX;99.145;M;
2021-03;ES61;62059;INX;103.874;M;
2021-03;ES61;62060;INX;101.348;M;
2021-03;ES61;62061;INX;98.68;M;
2021-03;ES61;62062;INX;92.987;M;
2021-03;ES61;62063;INX;106.574;M;
2021-03;ES61;62064;INX;104.229;M;
2021-03;ES61;62065;INX;105.542;M;
2021-03;ES61;62066;INX;104.117;M;
2021-03;ES61;62067;INX;102.329;M;
2021-03;ES61;62068;INX;95.267;M;
2021-03;ES61;62069;INX;96.932;M;
2021-03;ES61;62070;INX;99.353;M;
2021-03;ES61;62071;INX;98.099;M;
2021-03;ES61;62072;INX;107.819;M;
2021-03;ES61;62073;INX;108.637;M;
2021-03;ES61;62074;INX;99.681;M;
2021-03;ES61;62075;INX;110.515;M;
2021-03;ES61;62076;INX;103.489;M;
2021-03;ES61;62077;INX;99.114;M;
2021-03;ES61;62078;INX;100.249;M;
2021-03;ES61;62079;INX;86.795;M;
2021-03;ES61;62080;INX;109.134;M;
2021-03;ES61;62081;INX;104.214;M;
2021-03;ES61;62082;INX;108.627;M;
2021-03;ES61;62083;INX;108.952;M;
2021-03;ES61;62084;INX;104.459;M;
2021-03;ES61;62085;INX;103.977;M;
2021-03;ES61;62086;INX;95.689;M;
2021-03;ES61;62087;INX;106.098;M;
2021-03;ES61;62088;INX;106.342;M;
2021-04;ES;62032;INX;102.082;M;
2021-04;ES;62033;INX;103.566;M;
