TEMPORAL;TERRITORIO;MULTIPLICIDAD_SEXO;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;DISTRIBUCION_MNP;REL_RESIDENANT
2020;ES61;69536;PART;63500.0;A;_Z;_Z;_Z;_Z
2020;ES61;69533;PART;32543.0;A;_Z;_Z;_Z;_Z
2020;ES61;69534;PART;30957.0;A;_Z;_Z;_Z;_Z
2020;ES61;69548;PART;1102.0;A;_Z;_Z;_Z;_Z
2020;ES61;69540;PART;1088.0;A;_Z;_Z;_Z;_Z
2020;ES61;69537;PART;343.0;A;_Z;_Z;_Z;_Z
2020;ES61;69538;PART;377.0;A;_Z;_Z;_Z;_Z
2020;ES61;69539;PART;368.0;A;_Z;_Z;_Z;_Z
2020;ES61;69545;PART;14.0;A;_Z;_Z;_Z;_Z
2020;ES61;69541;PART;4.0;A;_Z;_Z;_Z;_Z
2020;ES61;69542;PART;6.0;A;_Z;_Z;_Z;_Z
2020;ES61;69543;PART;2.0;A;_Z;_Z;_Z;_Z
2020;ES61;69544;PART;2.0;A;_Z;_Z;_Z;_Z
2020;ES61;69549;PART;64602.0;A;_Z;_Z;_Z;_Z
2020;ES611;69536;PART;6664.0;A;_Z;_Z;_Z;_Z
2020;ES611;69533;PART;3483.0;A;_Z;_Z;_Z;_Z
2020;ES611;69534;PART;3181.0;A;_Z;_Z;_Z;_Z
2020;ES611;69548;PART;113.0;A;_Z;_Z;_Z;_Z
2020;ES611;69540;PART;111.0;A;_Z;_Z;_Z;_Z
2020;ES611;69537;PART;32.0;A;_Z;_Z;_Z;_Z
2020;ES611;69538;PART;37.0;A;_Z;_Z;_Z;_Z
2020;ES611;69539;PART;42.0;A;_Z;_Z;_Z;_Z
2020;ES611;69545;PART;2.0;A;_Z;_Z;_Z;_Z
2020;ES611;69543;PART;2.0;A;_Z;_Z;_Z;_Z
2020;ES611;69549;PART;6777.0;A;_Z;_Z;_Z;_Z
2020;2241;69536;PART;6.0;A;_Z;_Z;_Z;_Z
2020;2241;69533;PART;5.0;A;_Z;_Z;_Z;_Z
2020;2241;69534;PART;1.0;A;_Z;_Z;_Z;_Z
2020;2241;69549;PART;6.0;A;_Z;_Z;_Z;_Z
2020;2242;69536;PART;8.0;A;_Z;_Z;_Z;_Z
2020;2242;69533;PART;2.0;A;_Z;_Z;_Z;_Z
2020;2242;69534;PART;6.0;A;_Z;_Z;_Z;_Z
2020;2242;69549;PART;8.0;A;_Z;_Z;_Z;_Z
