TIME_PERIOD,REF_AREA,D_DISTRIBUCION_MNP_0,INDICATOR,OBS_VALUE,FREQ,SEXO,D_MULTIPLICIDAD_SEXO_0,EDAD,D_REL_RESIDENANT_0
2020,ES611,70395,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2020,ES611,70391,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2020,ES611,70394,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2020,ES612,70395,LATE_FETAL_DEATH,57.0,A,_Z,_Z,_Z,_Z
2020,ES612,70391,LATE_FETAL_DEATH,29.0,A,_Z,_Z,_Z,_Z
2020,ES612,70394,LATE_FETAL_DEATH,28.0,A,_Z,_Z,_Z,_Z
2020,ES613,70395,LATE_FETAL_DEATH,34.0,A,_Z,_Z,_Z,_Z
2020,ES613,70391,LATE_FETAL_DEATH,17.0,A,_Z,_Z,_Z,_Z
2020,ES613,70394,LATE_FETAL_DEATH,17.0,A,_Z,_Z,_Z,_Z
2020,ES614,70395,LATE_FETAL_DEATH,72.0,A,_Z,_Z,_Z,_Z
2020,ES614,70391,LATE_FETAL_DEATH,35.0,A,_Z,_Z,_Z,_Z
2020,ES614,70394,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2020,ES615,70395,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2020,ES615,70391,LATE_FETAL_DEATH,1.0,A,_Z,_Z,_Z,_Z
2020,ES616,70395,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2020,ES616,70391,LATE_FETAL_DEATH,21.0,A,_Z,_Z,_Z,_Z
2020,ES616,70394,LATE_FETAL_DEATH,19.0,A,_Z,_Z,_Z,_Z
2020,ES617,70395,LATE_FETAL_DEATH,77.0,A,_Z,_Z,_Z,_Z
2020,ES617,70391,LATE_FETAL_DEATH,38.0,A,_Z,_Z,_Z,_Z
2020,ES617,70394,LATE_FETAL_DEATH,39.0,A,_Z,_Z,_Z,_Z
2020,ES618,70395,LATE_FETAL_DEATH,76.0,A,_Z,_Z,_Z,_Z
2020,ES618,70391,LATE_FETAL_DEATH,37.0,A,_Z,_Z,_Z,_Z
2020,ES618,70394,LATE_FETAL_DEATH,39.0,A,_Z,_Z,_Z,_Z
2020,ES61,70395,LATE_FETAL_DEATH,394.0,A,_Z,_Z,_Z,_Z
2020,ES61,70391,LATE_FETAL_DEATH,196.0,A,_Z,_Z,_Z,_Z
2020,ES61,70394,LATE_FETAL_DEATH,198.0,A,_Z,_Z,_Z,_Z
2019,ES611,70395,LATE_FETAL_DEATH,48.0,A,_Z,_Z,_Z,_Z
2019,ES611,70391,LATE_FETAL_DEATH,25.0,A,_Z,_Z,_Z,_Z
2019,ES611,70394,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2019,ES612,70395,LATE_FETAL_DEATH,59.0,A,_Z,_Z,_Z,_Z
2019,ES612,70391,LATE_FETAL_DEATH,27.0,A,_Z,_Z,_Z,_Z
2019,ES612,70394,LATE_FETAL_DEATH,32.0,A,_Z,_Z,_Z,_Z
2019,ES613,70395,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2019,ES613,70391,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2019,ES613,70394,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2019,ES614,70395,LATE_FETAL_DEATH,97.0,A,_Z,_Z,_Z,_Z
2019,ES614,70391,LATE_FETAL_DEATH,46.0,A,_Z,_Z,_Z,_Z
2019,ES614,70394,LATE_FETAL_DEATH,51.0,A,_Z,_Z,_Z,_Z
2019,ES615,70395,LATE_FETAL_DEATH,4.0,A,_Z,_Z,_Z,_Z
2019,ES615,70391,LATE_FETAL_DEATH,4.0,A,_Z,_Z,_Z,_Z
2019,ES616,70395,LATE_FETAL_DEATH,40.0,A,_Z,_Z,_Z,_Z
2019,ES616,70391,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2019,ES616,70394,LATE_FETAL_DEATH,20.0,A,_Z,_Z,_Z,_Z
2019,ES617,70395,LATE_FETAL_DEATH,60.0,A,_Z,_Z,_Z,_Z
2019,ES617,70391,LATE_FETAL_DEATH,31.0,A,_Z,_Z,_Z,_Z
2019,ES617,70394,LATE_FETAL_DEATH,29.0,A,_Z,_Z,_Z,_Z
2019,ES618,70395,LATE_FETAL_DEATH,83.0,A,_Z,_Z,_Z,_Z
2019,ES618,70391,LATE_FETAL_DEATH,41.0,A,_Z,_Z,_Z,_Z
2019,ES618,70394,LATE_FETAL_DEATH,42.0,A,_Z,_Z,_Z,_Z
2019,ES61,70395,LATE_FETAL_DEATH,431.0,A,_Z,_Z,_Z,_Z
2019,ES61,70391,LATE_FETAL_DEATH,214.0,A,_Z,_Z,_Z,_Z
2019,ES61,70394,LATE_FETAL_DEATH,217.0,A,_Z,_Z,_Z,_Z
2018,ES611,70395,LATE_FETAL_DEATH,47.0,A,_Z,_Z,_Z,_Z
2018,ES611,70391,LATE_FETAL_DEATH,24.0,A,_Z,_Z,_Z,_Z
2018,ES611,70394,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2018,ES612,70395,LATE_FETAL_DEATH,61.0,A,_Z,_Z,_Z,_Z
2018,ES612,70391,LATE_FETAL_DEATH,30.0,A,_Z,_Z,_Z,_Z
2018,ES612,70394,LATE_FETAL_DEATH,31.0,A,_Z,_Z,_Z,_Z
2018,ES613,70395,LATE_FETAL_DEATH,50.0,A,_Z,_Z,_Z,_Z
2018,ES613,70391,LATE_FETAL_DEATH,24.0,A,_Z,_Z,_Z,_Z
2018,ES613,70394,LATE_FETAL_DEATH,26.0,A,_Z,_Z,_Z,_Z
2018,ES614,70395,LATE_FETAL_DEATH,68.0,A,_Z,_Z,_Z,_Z
2018,ES614,70391,LATE_FETAL_DEATH,32.0,A,_Z,_Z,_Z,_Z
2018,ES614,70394,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2018,ES615,70395,LATE_FETAL_DEATH,3.0,A,_Z,_Z,_Z,_Z
2018,ES615,70391,LATE_FETAL_DEATH,3.0,A,_Z,_Z,_Z,_Z
2018,ES616,70395,LATE_FETAL_DEATH,45.0,A,_Z,_Z,_Z,_Z
2018,ES616,70391,LATE_FETAL_DEATH,23.0,A,_Z,_Z,_Z,_Z
2018,ES616,70394,LATE_FETAL_DEATH,22.0,A,_Z,_Z,_Z,_Z
2018,ES617,70395,LATE_FETAL_DEATH,87.0,A,_Z,_Z,_Z,_Z
2018,ES617,70391,LATE_FETAL_DEATH,43.0,A,_Z,_Z,_Z,_Z
2018,ES617,70394,LATE_FETAL_DEATH,44.0,A,_Z,_Z,_Z,_Z
2018,ES618,70395,LATE_FETAL_DEATH,106.0,A,_Z,_Z,_Z,_Z
2018,ES618,70391,LATE_FETAL_DEATH,50.0,A,_Z,_Z,_Z,_Z
2018,ES618,70394,LATE_FETAL_DEATH,56.0,A,_Z,_Z,_Z,_Z
2018,ES61,70395,LATE_FETAL_DEATH,467.0,A,_Z,_Z,_Z,_Z
2018,ES61,70391,LATE_FETAL_DEATH,229.0,A,_Z,_Z,_Z,_Z
2018,ES61,70394,LATE_FETAL_DEATH,238.0,A,_Z,_Z,_Z,_Z
2017,ES611,70395,LATE_FETAL_DEATH,36.0,A,_Z,_Z,_Z,_Z
2017,ES611,70391,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2017,ES611,70394,LATE_FETAL_DEATH,18.0,A,_Z,_Z,_Z,_Z
2017,ES612,70395,LATE_FETAL_DEATH,107.0,A,_Z,_Z,_Z,_Z
2017,ES612,70391,LATE_FETAL_DEATH,53.0,A,_Z,_Z,_Z,_Z
