TIME_PERIOD,REF_AREA,D_REL_RESIDENANT_0,INDICATOR,OBS_VALUE,FREQ
2020,ES61,61638,MARRIAGE,15175.0,A
2020,ES61,61631,MARRIAGE,687.0,A
2020,ES61,61635,MARRIAGE,2056.0,A
2020,ES61,61633,MARRIAGE,1190.0,A
2020,ES61,61634,MARRIAGE,866.0,A
2020,ES61,61636,MARRIAGE,12432.0,A
2020,ES611,61638,MARRIAGE,1181.0,A
2020,ES611,61631,MARRIAGE,56.0,A
2020,ES611,61635,MARRIAGE,147.0,A
2020,ES611,61633,MARRIAGE,88.0,A
2020,ES611,61634,MARRIAGE,59.0,A
2020,ES611,61636,MARRIAGE,978.0,A
2020,2241,61638,MARRIAGE,2.0,A
2020,2241,61636,MARRIAGE,2.0,A
2020,2242,61638,MARRIAGE,1.0,A
2020,2242,61636,MARRIAGE,1.0,A
2020,2243,61638,MARRIAGE,42.0,A
2020,2243,61635,MARRIAGE,2.0,A
2020,2243,61634,MARRIAGE,2.0,A
2020,2243,61636,MARRIAGE,40.0,A
2020,2244,61638,MARRIAGE,2.0,A
2020,2244,61636,MARRIAGE,2.0,A
2020,2245,61638,MARRIAGE,1.0,A
2020,2245,61635,MARRIAGE,1.0,A
2020,2245,61634,MARRIAGE,1.0,A
2020,2246,61638,MARRIAGE,20.0,A
2020,2246,61631,MARRIAGE,1.0,A
2020,2246,61635,MARRIAGE,7.0,A
2020,2246,61633,MARRIAGE,6.0,A
2020,2246,61634,MARRIAGE,1.0,A
2020,2246,61636,MARRIAGE,12.0,A
2020,2247,61638,MARRIAGE,2.0,A
2020,2247,61636,MARRIAGE,2.0,A
2020,2248,61638,MARRIAGE,1.0,A
2020,2248,61636,MARRIAGE,1.0,A
2020,2250,61638,MARRIAGE,1.0,A
2020,2250,61636,MARRIAGE,1.0,A
2020,2251,61638,MARRIAGE,8.0,A
2020,2251,61635,MARRIAGE,2.0,A
2020,2251,61634,MARRIAGE,2.0,A
2020,2251,61636,MARRIAGE,6.0,A
2020,2253,61638,MARRIAGE,363.0,A
2020,2253,61631,MARRIAGE,11.0,A
2020,2253,61635,MARRIAGE,32.0,A
2020,2253,61633,MARRIAGE,22.0,A
2020,2253,61634,MARRIAGE,10.0,A
2020,2253,61636,MARRIAGE,320.0,A
2020,2254,61638,MARRIAGE,1.0,A
2020,2254,61636,MARRIAGE,1.0,A
2020,2256,61638,MARRIAGE,5.0,A
2020,2256,61631,MARRIAGE,3.0,A
2020,2256,61636,MARRIAGE,2.0,A
2020,2257,61638,MARRIAGE,4.0,A
2020,2257,61636,MARRIAGE,4.0,A
2020,9563,61638,MARRIAGE,1.0,A
2020,9563,61631,MARRIAGE,1.0,A
2020,2260,61638,MARRIAGE,1.0,A
2020,2260,61636,MARRIAGE,1.0,A
2020,2264,61638,MARRIAGE,5.0,A
2020,2264,61631,MARRIAGE,2.0,A
2020,2264,61635,MARRIAGE,1.0,A
2020,2264,61634,MARRIAGE,1.0,A
2020,2264,61636,MARRIAGE,2.0,A
2020,2267,61638,MARRIAGE,1.0,A
2020,2267,61635,MARRIAGE,1.0,A
2020,2267,61634,MARRIAGE,1.0,A
2020,2269,61638,MARRIAGE,26.0,A
2020,2269,61631,MARRIAGE,2.0,A
2020,2269,61635,MARRIAGE,6.0,A
2020,2269,61633,MARRIAGE,3.0,A
2020,2269,61634,MARRIAGE,3.0,A
2020,2269,61636,MARRIAGE,18.0,A
2020,2271,61638,MARRIAGE,1.0,A
2020,2271,61635,MARRIAGE,1.0,A
2020,2271,61633,MARRIAGE,1.0,A
2020,2272,61638,MARRIAGE,13.0,A
2020,2272,61631,MARRIAGE,1.0,A
2020,2272,61635,MARRIAGE,2.0,A
2020,2272,61633,MARRIAGE,1.0,A
2020,2272,61634,MARRIAGE,1.0,A
2020,2272,61636,MARRIAGE,10.0,A
2020,2278,61638,MARRIAGE,1.0,A
2020,2278,61636,MARRIAGE,1.0,A
2020,2276,61638,MARRIAGE,24.0,A
2020,2276,61635,MARRIAGE,2.0,A
2020,2276,61633,MARRIAGE,1.0,A
2020,2276,61634,MARRIAGE,1.0,A
2020,2276,61636,MARRIAGE,22.0,A
2020,2279,61638,MARRIAGE,5.0,A
2020,2279,61631,MARRIAGE,1.0,A
2020,2279,61636,MARRIAGE,4.0,A
2020,2347,61638,MARRIAGE,129.0,A
2020,2347,61631,MARRIAGE,2.0,A
2020,2347,61635,MARRIAGE,22.0,A
2020,2347,61633,MARRIAGE,13.0,A
2020,2347,61634,MARRIAGE,9.0,A
2020,2347,61636,MARRIAGE,105.0,A
2020,2284,61638,MARRIAGE,1.0,A
2020,2284,61636,MARRIAGE,1.0,A
2020,2285,61638,MARRIAGE,5.0,A
2020,2285,61635,MARRIAGE,2.0,A
2020,2285,61633,MARRIAGE,1.0,A
2020,2285,61634,MARRIAGE,1.0,A
2020,2285,61636,MARRIAGE,3.0,A
2020,2286,61638,MARRIAGE,3.0,A
2020,2286,61636,MARRIAGE,3.0,A
2020,2287,61638,MARRIAGE,3.0,A
2020,2287,61635,MARRIAGE,1.0,A
2020,2287,61633,MARRIAGE,1.0,A
2020,2287,61636,MARRIAGE,2.0,A
2020,2288,61638,MARRIAGE,5.0,A
2020,2288,61631,MARRIAGE,1.0,A
2020,2288,61636,MARRIAGE,4.0,A
2020,2289,61638,MARRIAGE,5.0,A
2020,2289,61631,MARRIAGE,1.0,A
2020,2289,61636,MARRIAGE,4.0,A
2020,2290,61638,MARRIAGE,16.0,A
2020,2290,61631,MARRIAGE,1.0,A
2020,2290,61635,MARRIAGE,3.0,A
2020,2290,61633,MARRIAGE,3.0,A
2020,2290,61636,MARRIAGE,12.0,A
2020,2293,61638,MARRIAGE,37.0,A
2020,2293,61631,MARRIAGE,1.0,A
2020,2293,61635,MARRIAGE,4.0,A
2020,2293,61633,MARRIAGE,2.0,A
2020,2293,61634,MARRIAGE,2.0,A
2020,2293,61636,MARRIAGE,32.0,A
2020,2294,61638,MARRIAGE,36.0,A
2020,2294,61631,MARRIAGE,1.0,A
2020,2294,61635,MARRIAGE,5.0,A
2020,2294,61633,MARRIAGE,4.0,A
2020,2294,61634,MARRIAGE,1.0,A
2020,2294,61636,MARRIAGE,30.0,A
2020,2295,61638,MARRIAGE,1.0,A
2020,2295,61636,MARRIAGE,1.0,A
2020,2297,61638,MARRIAGE,1.0,A
2020,2297,61636,MARRIAGE,1.0,A
