TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;ES61;54888;_T;HAB;8472407.0;A
2021;TOTAL;ES61;54888;M;HAB;4173339.0;A
2021;TOTAL;ES61;54888;F;HAB;4299068.0;A
2021;TOTAL;ES61;53700;_T;HAB;7577504.0;A
2021;TOTAL;ES61;53700;M;HAB;3734952.0;A
2021;TOTAL;ES61;53700;F;HAB;3842552.0;A
2021;TOTAL;ES61;54560;_T;HAB;7038618.0;A
2021;TOTAL;ES61;54560;M;HAB;3477729.0;A
2021;TOTAL;ES61;54560;F;HAB;3560889.0;A
2021;TOTAL;ES61;53809;_T;HAB;487860.0;A
2021;TOTAL;ES61;53809;M;HAB;242918.0;A
2021;TOTAL;ES61;53809;F;HAB;244942.0;A
2021;TOTAL;ES61;53855;_T;HAB;1123392.0;A
2021;TOTAL;ES61;53855;M;HAB;554609.0;A
2021;TOTAL;ES61;53855;F;HAB;568783.0;A
2021;TOTAL;ES61;53933;_T;HAB;746724.0;A
2021;TOTAL;ES61;53933;M;HAB;367088.0;A
2021;TOTAL;ES61;53933;F;HAB;379636.0;A
2021;TOTAL;ES61;54155;_T;HAB;802536.0;A
2021;TOTAL;ES61;54155;M;HAB;395676.0;A
2021;TOTAL;ES61;54155;F;HAB;406860.0;A
2021;TOTAL;ES61;54236;_T;HAB;449044.0;A
2021;TOTAL;ES61;54236;M;HAB;220966.0;A
2021;TOTAL;ES61;54236;F;HAB;228078.0;A
2021;TOTAL;ES61;54344;_T;HAB;619582.0;A
2021;TOTAL;ES61;54344;M;HAB;305030.0;A
2021;TOTAL;ES61;54344;F;HAB;314552.0;A
2021;TOTAL;ES61;54452;_T;HAB;1130664.0;A
2021;TOTAL;ES61;54452;M;HAB;560860.0;A
2021;TOTAL;ES61;54452;F;HAB;569804.0;A
2021;TOTAL;ES61;54559;_T;HAB;1678816.0;A
2021;TOTAL;ES61;54559;M;HAB;830582.0;A
2021;TOTAL;ES61;54559;F;HAB;848234.0;A
2021;TOTAL;ES61;54565;_T;HAB;538886.0;A
2021;TOTAL;ES61;54565;M;HAB;257223.0;A
2021;TOTAL;ES61;54565;F;HAB;281663.0;A
2021;TOTAL;ES61;54887;_T;HAB;894903.0;A
2021;TOTAL;ES61;54887;M;HAB;438387.0;A
2021;TOTAL;ES61;54887;F;HAB;456516.0;A
2021;TOTAL;ES611;54888;_T;HAB;731792.0;A
2021;TOTAL;ES611;54888;M;HAB;373136.0;A
2021;TOTAL;ES611;54888;F;HAB;358656.0;A
2021;TOTAL;ES611;53700;_T;HAB;569036.0;A
2021;TOTAL;ES611;53700;M;HAB;282887.0;A
2021;TOTAL;ES611;53700;F;HAB;286149.0;A
