ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES611;2020;PERS_MEDI_EMPL;143.267805218;A;_Z;_Z;_Z
A;ES611;2019;PERS_MEDI_EMPL;159.112748945;A;_Z;_Z;_Z
A;ES611;2018;PERS_MEDI_EMPL;140.410466;A;_Z;_Z;_Z
A;ES611;2017;PERS_MEDI_EMPL;136.95702803;A;_Z;_Z;_Z
A;ES611;2016;PERS_MEDI_EMPL;122.245339003;A;_Z;_Z;_Z
A;ES611;2015;PERS_MEDI_EMPL;111.64751487;A;_Z;_Z;_Z
A;ES611;2014;PERS_MEDI_EMPL;118.219891867;A;_Z;_Z;_Z
A;ES611;2013;PERS_MEDI_EMPL;109.82177071;A;_Z;_Z;_Z
A;ES612;2020;PERS_MEDI_EMPL;127.99737413;A;_Z;_Z;_Z
A;ES612;2019;PERS_MEDI_EMPL;189.394775031;A;_Z;_Z;_Z
A;ES612;2018;PERS_MEDI_EMPL;191.78550284;A;_Z;_Z;_Z
A;ES612;2017;PERS_MEDI_EMPL;163.82803656;A;_Z;_Z;_Z
A;ES612;2016;PERS_MEDI_EMPL;116.263990783;A;_Z;_Z;_Z
A;ES612;2015;PERS_MEDI_EMPL;165.971949143;A;_Z;_Z;_Z
A;ES612;2014;PERS_MEDI_EMPL;171.129305276;A;_Z;_Z;_Z
A;ES612;2013;PERS_MEDI_EMPL;156.565648658;A;_Z;_Z;_Z
A;ES613;2020;PERS_MEDI_EMPL;275.789069719;A;_Z;_Z;_Z
A;ES613;2019;PERS_MEDI_EMPL;333.689065731;A;_Z;_Z;_Z
A;ES613;2018;PERS_MEDI_EMPL;325.74957654;A;_Z;_Z;_Z
A;ES613;2017;PERS_MEDI_EMPL;280.08619548;A;_Z;_Z;_Z
A;ES613;2016;PERS_MEDI_EMPL;261.519656037;A;_Z;_Z;_Z
A;ES613;2015;PERS_MEDI_EMPL;250.785404938;A;_Z;_Z;_Z
A;ES613;2014;PERS_MEDI_EMPL;285.398316734;A;_Z;_Z;_Z
A;ES613;2013;PERS_MEDI_EMPL;291.714862889;A;_Z;_Z;_Z
